,Lat,Lon,Elev,Name
0.0,65.01879,-15.57452,0.443,ADA
1.0,65.1124,-15.98219,0.551,ARNA
2.0,65.05194,-16.64806,0.955,ASK
3.0,65.2183,-16.97939,0.487,BOTN
4.0,64.82886,-16.0885,0.751,BRU
5.0,65.20461,-16.86597,0.536,BRUN
6.0,65.07733,-16.9367,0.801,DALR
7.0,65.07739,-16.93341,0.801,DDAL
8.0,65.04944,-16.59703,0.82,DREK
9.0,64.92149,-16.72847,0.705,DSAN
10.0,65.1055,-16.92232,0.71,DYFE
11.0,64.79086,-17.36648,1.146,DYN
12.0,64.9349,-16.67546,0.688,DYSA
13.0,65.03358,-16.96212,0.883,EFJA
14.0,65.26197,-16.1413,0.521,FERJ
15.0,65.00945,-17.03759,0.837,FJAL
16.0,65.0247,-17.09217,0.798,FJAS
17.0,64.85661,-16.94212,0.769,FLAE
18.0,65.18279,-16.49796,0.728,FLAT
19.0,64.84354,-17.02693,0.838,FLUR
20.0,65.3519,-16.28355,0.533,FREF
21.0,64.87353,-16.91978,0.774,FYDU
22.0,64.98064,-15.08544,0.115,GLU
23.0,65.03704,-16.85982,1.266,GODA
24.0,65.10812,-16.05815,0.536,HALI
25.0,65.33727,-16.31449,0.55,HEFL
26.0,65.19875,-16.21843,0.491,HELI
27.0,65.18157,-16.39731,0.686,HERD
28.0,65.1287,-16.31698,0.581,HETO
29.0,64.83521,-16.89245,0.776,HOLA
30.0,65.05251,-16.5163,0.708,HOTR
31.0,65.04748,-16.52985,0.718,HOTT
32.0,64.89633,-16.97921,0.849,HRIM
33.0,65.15577,-16.67551,0.697,HRUR
34.0,65.15576,-16.67443,0.701,HRUT
35.0,64.95473,-15.86928,0.703,HVA
36.0,65.33217,-16.72778,0.531,HVAF
37.0,65.30373,-16.69773,0.583,HVAM
38.0,65.11055,-16.24406,0.548,JOAF
39.0,65.07747,-16.8057,1.174,JONS
40.0,64.99901,-16.96539,0.885,KATT
41.0,65.07529,-16.75322,1.114,KLUR
42.0,65.36317,-16.84383,0.517,KODA
43.0,65.29024,-16.56726,0.593,KOLL
44.0,65.29024,-16.56726,0.593,KOLLA
45.0,65.29024,-16.56726,0.593,KOLLS
46.0,64.78369,-16.38282,0.76,KRE
47.0,64.99332,-16.26532,0.625,KREP
48.0,64.76347,-16.61068,0.829,KVER
49.0,64.85278,-16.4523,0.726,LIND
50.0,65.15841,-16.82334,0.73,LOGR
51.0,65.15699,-16.82042,0.734,LOKA
52.0,65.15699,-16.82042,0.734,LOKAA
53.0,65.15699,-16.82042,0.734,LOKAS
54.0,65.13623,-16.91511,0.63,LOKT
55.0,65.05589,-16.36302,0.606,MFLS
56.0,65.08676,-16.32961,0.572,MIDF
57.0,64.9784,-16.33826,0.69,MKO
58.0,64.9844,-16.65119,0.702,MOFO
59.0,65.0135,-16.81258,1.16,MVET
60.0,65.1555,-16.36895,0.639,MYVO
61.0,65.1555,-16.36895,0.639,MYVOA
62.0,65.1555,-16.36895,0.639,MYVOS
63.0,65.02023,-16.57285,0.697,NAUG
64.0,65.02071,-16.5733,0.692,NAUT
65.0,64.92377,-16.83372,0.741,NOFL
66.0,64.93392,-16.94952,0.826,NOHR
67.0,65.04225,-16.79473,1.127,OLAF
68.0,65.03933,-16.70164,1.209,OSKV
69.0,65.04696,-16.77066,1.13,OSVA
70.0,65.10414,-16.08808,0.527,RF02
71.0,65.09724,-16.15478,0.522,RF03
72.0,65.08975,-16.19557,0.549,RF04
73.0,64.91533,-16.37127,0.657,RIFN
74.0,64.91533,-16.37127,0.657,RIFR
75.0,64.90194,-16.88503,0.746,RIMA
76.0,64.98513,-16.88639,1.022,RODG
77.0,64.98513,-16.88639,1.022,RODGA
78.0,64.98513,-16.88639,1.022,RODGS
79.0,64.97894,-16.83757,1.004,SOFA
80.0,64.94193,-16.8543,0.805,SOSU
81.0,64.94189,-16.85419,0.807,SSUD
82.0,64.99691,-16.80959,1.171,STAM
83.0,64.81091,-16.53488,0.751,STJA
84.0,65.13313,-16.63144,0.721,STOR
85.0,64.88963,-17.49961,0.815,SURT
86.0,65.33691,-17.25454,0.403,SVA
87.0,65.11746,-16.57498,0.68,SVAD
88.0,64.93372,-16.67558,0.691,THO
89.0,64.91658,-16.78473,0.715,TOHR
90.0,65.10338,-16.1195,0.528,TOLI
91.0,64.82033,-17.14737,1.002,URDU
92.0,64.8207,-17.09445,0.99,URFL
93.0,64.82037,-17.14712,1.078,URH
94.0,65.03605,-16.31867,0.623,UTYR
95.0,65.03605,-16.31867,0.623,UTYRA
96.0,65.03605,-16.31867,0.623,UTYRS
97.0,64.99487,-16.53817,0.673,VADA
98.0,65.38205,-16.37467,0.507,VEGG
99.0,65.06619,-16.73256,1.11,VIBR
100.0,65.08446,-16.49346,0.696,VIFE
101.0,65.07474,-16.51347,0.718,VIKR
102.0,65.06013,-16.4136,0.641,VIKS
103.0,65.06901,-16.40369,0.64,VISA
104.0,64.80775,-15.72768,0.86,VSH
