# Columns: lon, lat, SWA_source_to_station_geometric_mean, num_nodes
-16.9937, 65.0391, 3.49, 12
-16.9951, 65.0570, 3.12, 16
-16.9964, 65.0749, 2.52, 21
-16.9977, 65.0929, 3.12, 16
-16.9991, 65.1108, 2.54, 39
-17.0004, 65.1287, 2.24, 33
-17.0018, 65.1467, 2.85, 15
-17.0031, 65.1646, 4.72, 7
-17.0045, 65.1826, 3.46, 33
-17.0059, 65.2005, 2.12, 6
-16.9434, 64.9320, 1.54, 2247
-16.9447, 64.9500, 1.63, 384
-16.9460, 64.9679, 1.72, 57
-16.9473, 64.9858, 2.07, 33
-16.9486, 65.0038, 1.36, 19998
-16.9500, 65.0217, 1.26, 1479
-16.9513, 65.0396, 2.17, 1068
-16.9526, 65.0576, 2.72, 159
-16.9539, 65.0755, 2.31, 758
-16.9552, 65.0934, 4.44, 293
-16.9565, 65.1114, 3.75, 302
-16.9578, 65.1293, 3.27, 341
-16.9592, 65.1472, 2.81, 385
-16.9605, 65.1652, 2.20, 348
-16.9618, 65.1831, 1.41, 162
-16.9631, 65.2010, 1.37, 5
-16.9012, 64.9326, 1.32, 109
-16.9024, 64.9505, 1.55, 3336
-16.9037, 64.9684, 1.91, 83
-16.9050, 64.9864, 2.32, 2418
-16.9063, 65.0043, 1.37, 17548
-16.9075, 65.0222, 1.76, 2153
-16.9088, 65.0402, 1.68, 2485
-16.9101, 65.0581, 2.45, 1438
-16.9114, 65.0761, 2.28, 4467
-16.9127, 65.0940, 1.99, 945
-16.9140, 65.1119, 1.95, 644
-16.9153, 65.1299, 2.29, 3945
-16.9165, 65.1478, 1.78, 349
-16.9178, 65.1657, 1.89, 382
-16.9191, 65.1837, 2.20, 81
-16.9204, 65.2016, 0.57, 6
-16.8589, 64.9331, 1.29, 753
-16.8601, 64.9510, 1.30, 4842
-16.8614, 64.9690, 1.45, 2451
-16.8626, 64.9869, 2.32, 15798
-16.8639, 65.0048, 1.61, 18720
-16.8651, 65.0228, 2.37, 2564
-16.8664, 65.0407, 3.50, 3192
-16.8676, 65.0587, 2.87, 4058
-16.8689, 65.0766, 1.98, 4511
-16.8701, 65.0945, 2.01, 3252
-16.8714, 65.1125, 2.91, 4174
-16.8727, 65.1304, 1.94, 3959
-16.8739, 65.1483, 1.70, 337
-16.8752, 65.1663, 3.22, 261
-16.8765, 65.1842, 1.18, 89
-16.8777, 65.2021, 0.49, 1
-16.8154, 64.9157, 2.03, 155
-16.8166, 64.9336, 2.02, 1590
-16.8178, 64.9516, 1.27, 6178
-16.8190, 64.9695, 1.55, 5780
-16.8202, 64.9874, 1.18, 11822
-16.8215, 65.0054, 1.11, 30879
-16.8227, 65.0233, 4.07, 4015
-16.8239, 65.0412, 3.71, 3025
-16.8251, 65.0592, 2.90, 4298
-16.8264, 65.0771, 3.33, 7734
-16.8276, 65.0951, 2.48, 6500
-16.8288, 65.1130, 2.01, 7887
-16.8301, 65.1309, 2.31, 4414
-16.8313, 65.1489, 1.91, 4596
-16.8325, 65.1668, 2.52, 657
-16.8338, 65.1847, 1.68, 22
-16.7731, 64.9162, 2.23, 15661
-16.7743, 64.9341, 2.23, 25322
-16.7755, 64.9521, 2.33, 6277
-16.7767, 64.9700, 1.40, 7811
-16.7779, 64.9879, 1.85, 8216
-16.7791, 65.0059, 1.01, 53612
-16.7803, 65.0238, 2.84, 8311
-16.7814, 65.0418, 4.56, 3494
-16.7826, 65.0597, 3.31, 5404
-16.7838, 65.0776, 3.16, 11557
-16.7850, 65.0956, 2.92, 8758
-16.7863, 65.1135, 2.01, 10360
-16.7875, 65.1314, 1.99, 8199
-16.7887, 65.1494, 2.05, 3690
-16.7899, 65.1673, 3.61, 218
-16.7911, 65.1852, 3.25, 8
-16.7309, 64.9167, 3.24, 274
-16.7320, 64.9346, 3.06, 3767
-16.7332, 64.9526, 2.20, 21927
-16.7343, 64.9705, 2.20, 23226
-16.7355, 64.9884, 1.87, 15590
-16.7367, 65.0064, 1.10, 49343
-16.7378, 65.0243, 2.31, 20786
-16.7390, 65.0423, 3.82, 7954
-16.7402, 65.0602, 1.89, 12618
-16.7413, 65.0781, 1.75, 18132
-16.7425, 65.0961, 1.76, 11188
-16.7437, 65.1140, 1.56, 6499
-16.7449, 65.1319, 1.70, 4393
-16.7460, 65.1499, 2.12, 1527
-16.7472, 65.1678, 1.85, 206
-16.7484, 65.1858, 3.25, 8
-16.6886, 64.9172, 4.91, 1
-16.6897, 64.9351, 3.25, 14535
-16.6909, 64.9531, 3.41, 20733
-16.6920, 64.9710, 3.32, 22650
-16.6931, 64.9889, 3.06, 32089
-16.6943, 65.0069, 1.78, 61270
-16.6954, 65.0248, 3.37, 71184
-16.6965, 65.0427, 3.50, 24322
-16.6977, 65.0607, 1.90, 17221
-16.6988, 65.0786, 1.63, 13331
-16.7000, 65.0966, 1.76, 7022
-16.7011, 65.1145, 2.13, 5647
-16.7023, 65.1324, 1.92, 4502
-16.7034, 65.1504, 1.83, 3592
-16.7046, 65.1683, 1.68, 241
-16.7057, 65.1862, 3.13, 20
-16.6474, 64.9356, 2.77, 1431
-16.6485, 64.9535, 2.74, 6662
-16.6496, 64.9715, 2.97, 7496
-16.6507, 64.9894, 3.46, 29089
-16.6518, 65.0073, 3.85, 40940
-16.6530, 65.0253, 3.20, 101029
-16.6541, 65.0432, 3.09, 83085
-16.6552, 65.0612, 1.96, 43017
-16.6563, 65.0791, 2.08, 15623
-16.6574, 65.0970, 2.36, 11419
-16.6585, 65.1150, 2.39, 11025
-16.6596, 65.1329, 2.61, 11121
-16.6608, 65.1508, 2.49, 11484
-16.6619, 65.1688, 4.10, 471
-16.6630, 65.1867, 4.95, 31
-16.6051, 64.9360, 3.87, 7
-16.6062, 64.9540, 3.02, 543
-16.6073, 64.9719, 2.90, 2627
-16.6084, 64.9899, 2.19, 6509
-16.6094, 65.0078, 3.26, 31785
-16.6105, 65.0257, 2.99, 47299
-16.6116, 65.0437, 3.94, 45177
-16.6127, 65.0616, 2.46, 52488
-16.6138, 65.0796, 2.29, 57341
-16.6149, 65.0975, 2.51, 33968
-16.6160, 65.1154, 2.29, 6938
-16.6170, 65.1334, 2.58, 2521
-16.6181, 65.1513, 1.99, 1752
-16.6192, 65.1692, 1.24, 967
-16.6203, 65.1872, 2.69, 37
-16.6214, 65.2051, 1.18, 2
-16.5639, 64.9544, 2.25, 278
-16.5649, 64.9724, 3.03, 824
-16.5660, 64.9903, 3.85, 8812
-16.5670, 65.0083, 3.55, 18084
-16.5681, 65.0262, 3.89, 30212
-16.5691, 65.0441, 3.07, 74632
-16.5702, 65.0621, 2.39, 44830
-16.5713, 65.0800, 2.39, 32310
-16.5723, 65.0979, 2.47, 54243
-16.5734, 65.1159, 2.51, 61928
-16.5744, 65.1338, 2.21, 7710
-16.5755, 65.1518, 1.31, 1715
-16.5766, 65.1697, 1.07, 1736
-16.5776, 65.1876, 1.52, 76
-16.5216, 64.9549, 2.92, 19
-16.5226, 64.9728, 2.27, 67
-16.5236, 64.9908, 3.61, 7679
-16.5246, 65.0087, 3.25, 8870
-16.5256, 65.0266, 2.98, 13287
-16.5267, 65.0446, 3.14, 43346
-16.5277, 65.0625, 3.17, 28034
-16.5287, 65.0805, 2.96, 26650
-16.5298, 65.0984, 2.24, 17924
-16.5308, 65.1163, 2.19, 17957
-16.5318, 65.1343, 1.67, 24049
-16.5329, 65.1522, 1.63, 22670
-16.5339, 65.1701, 1.57, 9431
-16.5349, 65.1881, 1.33, 317
-16.5360, 65.2060, 3.60, 2
-16.4802, 64.9732, 2.34, 1
-16.4812, 64.9912, 3.87, 34
-16.4822, 65.0091, 3.20, 547
-16.4832, 65.0271, 2.53, 1859
-16.4842, 65.0450, 3.64, 4374
-16.4852, 65.0629, 4.25, 6675
-16.4862, 65.0809, 2.79, 10972
-16.4872, 65.0988, 2.89, 6806
-16.4882, 65.1168, 1.93, 7579
-16.4892, 65.1347, 1.72, 9547
-16.4902, 65.1526, 1.46, 16078
-16.4912, 65.1706, 1.55, 30709
-16.4922, 65.1885, 1.53, 9912
