,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
29628,20160708025503540.DALR.3-8.fb1,DALR,65.0773,-16.9367,2016-07-08 02:55:03.540,2016,190.121,65.0669,-16.7277,9.90398,2.2,-12345,-12345,8.478,14.7,15.464067,3.15676,0.09,0.005625,73.0,9.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,64.522,0.0588052,1,4.52430201,23,5715.639,-1467945985.0,5.95388,0.801,36.84363369312653,57.30596992422464,11.368164150105557,4.008689733648865,2.835880276460761,2.244839774128593,3.501316857831565
29629,20150422183957600.DALR.4-10.fb1,DALR,65.0773,-16.9367,2015-04-22 18:39:57.600,2015,112.778,65.1214,-16.8727,5.75839,2.3,-12345,-12345,174.116,14.099999,15.466817,9.16278,0.15,0.001875,36.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,41.884,0.0588052,1,6.49179792,36,2445.028,-1429727985.0,4.6875,0.801,44.72646399670603,86.53931527894423,6.458336692803687,2.5881847992351577,2.495315131559466,5.790709143830952,2.317354005630415
29630,20140904032101280.DALR.4-10.fb1,DALR,65.0773,-16.9367,2014-09-04 03:21:01.280,2014,247.139,65.0714,-16.5364,18.8438,1.0,-12345,-12345,124.421,13.9,15.307255,4.7813,0.05625,0.004687,-33.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,22.579,0.0588052,1,10.26441,30,42666.46,-1409800985.0,6.63488,0.801,35.05843180987088,38.75192104022385,21.11546528193612,6.977031640312179,3.0264253296393724,0.8062036821314678,4.334300381581663
29631,20160411064344200.DALR.4-10.fb1,DALR,65.0773,-16.9367,2016-04-11 06:43:44.200,2016,102.28,65.1557,-16.4957,22.4808,4.3,-12345,-12345,50.622,13.9,15.529228,3.72643,0.2775,0.002812,14.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,36.622,0.0588052,1,7.20422745,25,1680.256,-1460356985.0,6.15079,0.801,33.07415422937113,71.4759927643259,24.236327429549743,7.308188150770882,3.3163250493206378,3.7957430911319534,5.500037037088987
29632,20150509202312720.DALR.3-8.fb1,DALR,65.0773,-16.9367,2015-05-09 20:23:12.720,2015,129.849,65.0301,-16.7339,10.907,5.1,-12345,-12345,164.207,14.7,15.817809,6.81054,0.095,0.00375,40.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,55.793,0.0588052,1,40.0981483,14,1090.425,-1431202985.0,2.82867,0.801,33.50140946846109,93.46963454319383,12.512021093995706,4.100940396717647,3.051012666268012,2.3162311350631626,5.1
29633,20150630043709160.DALR.1-8.fb1,DALR,65.0773,-16.9367,2015-06-30 04:37:09.160,2015,181.192,65.1,-16.7746,8.02857,2.6,-12345,-12345,93.041,14.099999,15.497129,4.96138,0.1725,0.009375,36.0,8.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,57.041,0.0588052,1,2.88907266,35,82219.7,-1435638985.0,5.35511,0.801,42.778325915234575,82.649027074325,8.822888664906376,3.3522886145752,2.631900077620378,5.142336525499047,2.7011783222673067
29634,20160503204835380.DALR.1-8.fb1,DALR,65.0773,-16.9367,2016-05-03 20:48:35.380,2016,124.867,65.0283,-16.7147,11.7936,3.6,-12345,-12345,177.097,14.7,15.427871,7.32289,0.055,0.005,-55.0,9.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,52.097,0.0588052,1,17.4417057,27,114409.2,-1462307985.0,2.99899,0.801,36.17985110870522,81.5434810988845,13.044425475444037,4.382233573472924,2.976661388933296,1.2550183223993372,3.831302869174897
29635,20160415033410020.DALR.2-6.fb1,DALR,65.0773,-16.9367,2016-04-15 03:34:10.020,2016,106.149,65.022,-16.668,14.0719,2.0,-12345,-12345,144.428,14.7,15.789153,3.35821,0.095,0.005,82.0,5.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,2.0,6,62.428,0.0588052,1,20.9608536,27,4370.012,-1460690985.0,2.74784,0.801,36.48086096565075,54.75175135224303,15.638557510702224,5.286054345666098,2.958455681320016,1.7970365816282197,3.6813113318473576
29636,20160724211252380.DALR.1-8.fb1,DALR,65.0773,-16.9367,2016-07-24 21:12:52.380,2016,206.884,65.0391,-16.7084,11.5615,1.3,-12345,-12345,144.273,13.9,15.562179,8.4691,0.15,0.00375,30.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,65.727,0.0588052,1,6.01665497,48,57057.92,-1469394985.0,4.00152,0.801,36.82751386263457,42.015101520465215,13.35949941992839,4.738529917197445,2.8193341929620503,3.164746114367034,3.509296891422853
29637,20140904003815020.DALR.1-8.fb1,DALR,65.0773,-16.9367,2014-09-04 00:38:15.020,2014,247.026,65.0687,-16.5343,18.9572,0.9,-12345,-12345,23.364,14.7,15.46494,6.4092,0.06375,0.01125,-89.0,9.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,67.636,0.0588052,1,4.55151033,23,10015770.0,-1409790985.0,5.91701,0.801,35.04203655184032,38.31398085749644,21.27987764951111,7.044952122695476,3.02058513370978,0.904884716052834,4.34143987572316
29638,20150425024529320.DALR.3-8.fb1,DALR,65.0773,-16.9367,2015-04-25 02:45:29.320,2015,115.115,65.04,-16.5811,17.2507,3.0,-12345,-12345,88.218,13.9,15.612059,4.25032,0.21,0.005625,33.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,55.218,0.0588052,1,3.96085978,34,1875.72,-1429929985.0,3.38541,0.801,34.67530181023065,59.09692632414448,18.870621058347744,6.0191341491091,3.1351055801175005,3.487812854758942,4.502675564210994
29639,20151027140145440.DALR.2-6.fb1,DALR,65.0773,-16.9367,2015-10-27 14:01:45.440,2015,300.584,65.0201,-16.7974,9.14631,1.5,-12345,-12345,69.134,13.9,15.762659,4.97144,0.195,0.001875,-65.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,45.866,0.0588052,1,7.53499699,47,8318.83,-1445954985.0,3.78605,0.801,44.21999118773766,52.30567874648041,10.017554093819864,3.87985054747613,2.581943291691056,5.022796850944644,2.4032863112289204
29640,20140904085524480.DALR.4-10.fb1,DALR,65.0773,-16.9367,2014-09-04 08:55:24.480,2014,247.372,65.0848,-16.4938,20.8459,4.1,-12345,-12345,119.733,14.7,15.358946,6.11443,0.06,0.01875,52.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,67.733,0.0588052,1,17.0206814,18,51135.69,-1409820985.0,7.96494,0.801,33.39565118097965,70.97116541319708,22.543518461850496,6.881679491658244,3.275874514234068,0.871863617791746,5.239782114225713
29641,20150718130543280.DALR.4-10.fb1,DALR,65.0773,-16.9367,2015-07-18 13:05:43.280,2015,199.546,65.0902,-16.5044,20.3785,3.2,-12345,-12345,98.892,13.9,15.411134,3.18438,0.06,0.001875,42.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,56.892,0.0588052,1,5.08007956,47,363.8326,-1437224985.0,9.76172,0.801,33.67976160063984,60.65875112331297,22.18108305117178,6.857373667680517,3.234632400989525,0.8749538028894221,5.014225436839986
29642,20150713052642520.DALR.4-10.fb1,DALR,65.0773,-16.9367,2015-07-13 05:26:42.520,2015,194.227,65.1601,-16.7238,13.6083,3.7,-12345,-12345,153.054,14.099999,15.464137,3.35114,0.11625,0.001875,24.0,4.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,50.946,0.0588052,1,4.30390978,52,281.1263,-1436764985.0,5.95093,0.801,35.40864589169167,77.28174924568597,14.97608439523326,4.905355821834154,3.05300674185009,2.3695260167627907,4.184021352980049
29643,20151114063044280.DALR.2-3.fb1,DALR,65.0773,-16.9367,2015-11-14 06:30:44.280,2015,318.271,65.022,-16.6702,13.9822,2.1,-12345,-12345,61.106,14.7,15.871637,3.26957,0.255,0.005,-53.0,2.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,65.894,0.0588052,1,32.9696541,24,238.3517,-1447482985.0,2.67857,0.801,36.471972307859225,55.626597765133205,15.515984837445531,5.238073204133238,2.962155020132639,4.865321372933806,3.685732187995229
29644,20140903233229060.DALR.4-10.fb1,DALR,65.0773,-16.9367,2014-09-03 23:32:29.060,2014,246.981,65.0794,-16.4832,21.3316,2.1,-12345,-12345,115.004,13.9,15.46152,3.52971,0.06,0.00375,50.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,65.004,0.0588052,1,5.10674,35,18589.19,-1409786985.0,6.22735,0.801,33.69770256894488,50.38665990156871,23.474977257051883,7.335585009102886,3.20015066663685,0.8179169956207488,5.000096997094719
29645,20160406194753600.DALR.1-8.fb1,DALR,65.0773,-16.9367,2016-04-06 19:47:53.600,2016,97.8248,65.1678,-16.9607,10.1529,0.1,-12345,-12345,152.19,13.9,15.43719,6.08668,0.12,0.005625,39.0,6.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,66.81,0.0588052,1,6.30038118,21,3860054.0,-1459971985.0,3.60577,0.801,44.85029858127905,45.30672235845896,11.495430671792192,4.661883200729332,2.4658341225695617,2.5736408218037354,2.2967090468066225
29646,20160426223038180.DALR.1-8.fb1,DALR,65.0773,-16.9367,2016-04-26 22:30:38.180,2016,117.938,65.0453,-16.7552,9.26055,1.5,-12345,-12345,78.735,14.5,15.728381,3.96161,0.255,0.004687,28.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,50.735,0.0588052,1,4.60906124,32,115090.6,-1461709985.0,3.89648,0.801,44.11132363466621,52.16127060549344,10.132349211528712,3.916241148524886,2.5872638653381244,6.504458662041301,2.4220746184235216
29647,20150918040902360.DALR.3-8.fb1,DALR,65.0773,-16.9367,2015-09-18 04:09:02.360,2015,261.173,65.048,-16.7276,10.3709,1.2,-12345,-12345,68.659,14.7,15.506983,5.21852,0.1875,0.004687,-55.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,56.341,0.0588052,1,4.0407629,22,2792.301,-1442548985.0,4.97855,0.801,43.58301235971645,49.78561292512959,11.393663590856228,4.381216724231615,2.6005706423606485,4.277675302310513,2.51842027887718
29648,20150425104122060.DALR.4-10.fb1,DALR,65.0773,-16.9367,2015-04-25 10:41:22.060,2015,115.445,65.1574,-16.7473,12.6056,3.8,-12345,-12345,36.311,14.7,15.334211,4.05142,0.27,0.001875,-74.0,4.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,69.689,0.0588052,1,9.76613331,29,229.502,-1429958985.0,7.10417,0.801,35.59809088544542,79.94738900293284,13.935418877554486,4.61060285147628,3.022472185625893,5.851055132671235,4.104125538620364
29649,20141117133943260.DALR.4-10.fb1,DALR,65.0773,-16.9367,2014-11-17 13:39:43.260,2014,321.569,65.0418,-16.511,20.4269,2.9,-12345,-12345,171.19,13.9,15.400527,3.98808,0.12,0.00375,-68.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,59.19,0.0588052,1,2.91531181,32,54795.73,-1416231985.0,6.72554,0.801,33.69552671494806,56.10520558370984,22.307844916186585,6.921664110438575,3.2229019727415094,1.7335568792006484,5.001810316131242
29650,20141024162441720.DALR.4-10.fb1,DALR,65.0773,-16.9367,2014-10-24 16:24:41.720,2014,297.684,65.0848,-16.5002,20.5461,4.6,-12345,-12345,152.886,14.7,15.35325,3.3551,0.12,0.00375,-3.0,5.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,24.114,0.0588052,1,8.14720631,29,25373.77,-1414167985.0,7.12757,0.801,33.193916615089606,75.2589873272411,22.22702792925701,6.758317869582026,3.2888402644239134,1.775449833067455,5.40247575317691
29651,20150919014614320.DALR.4-10.fb1,DALR,65.0773,-16.9367,2015-09-19 01:46:14.320,2015,262.074,65.0525,-16.494,21.0185,3.0,-12345,-12345,128.318,14.7,15.438254,6.12965,0.15,0.001875,1.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,52.682,0.0588052,1,6.01629353,30,826.9082,-1442626985.0,6.33413,0.801,33.66128411854422,56.71523006908227,22.875232560800832,7.065778046312545,3.237468317128763,2.1226693302267563,5.028779461089921
