,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38980,20140906180141340.DREK.1-8.fb1,DREK,65.0494,-16.597,2014-09-06 18:01:41.340,2014,249.751,65.1116,-16.8386,13.3056,1.1,-12345,-12345,4.215,14.099999,15.5705,4.81408,0.16,0.0025,28.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,23.785,0.0588052,1,6.18579245,43,1105520.0,-1410025985.0,5.46875,0.82,36.71455281998195,41.05876734879516,15.213014904034296,5.3264734074535625,2.8561139313576733,3.003186372104949,3.5652647758097142
38981,20140914170728600.DREK.1-8.fb1,DREK,65.0494,-16.597,2014-09-14 17:07:28.600,2014,257.713,65.0391,-16.5811,1.37608,2.6,-12345,-12345,159.063,13.9,15.587729,12.772,0.08,0.00375,38.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,58.937,0.0588052,1,7.01516724,30,28864850.0,-1410713985.0,5.0855,0.82,22.98013566057321,145.24157347827125,2.943989384246457,1.25264046456489,2.350226954602704,6.380010321983676,2.6
38982,20150413120514160.DREK.3-8.fb1,DREK,65.0494,-16.597,2015-04-13 12:05:14.160,2015,103.504,65.031,-16.6108,2.15153,2.5,-12345,-12345,69.767,13.9,15.462234,17.9151,0.095,0.000625,40.0,2.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,29.767,0.0588052,1,52.9828835,43,7671.338,-1428926985.0,6.81361,0.82,33.03271590241394,127.86023355038492,3.3144623141366183,1.4113624553188702,2.348413266659966,6.723477545432388,2.5
38983,20140830035055640.DREK.0.5-5.fb1,DREK,65.0494,-16.597,2014-08-30 03:50:55.640,2014,242.16,65.1242,-16.811,13.0629,1.5,-12345,-12345,118.902,14.7,15.370106,4.69746,0.07125,0.004687,-38.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,23.098,0.0588052,1,15.5594349,16,29509960.0,-1409370985.0,3.78605,0.82,36.70187055772827,42.69476308666725,14.796519800775544,5.1223944175933225,2.8885943944409225,1.390883798879372,3.5715534984878543
38984,20150722082604760.DREK.1-8.fb1,DREK,65.0494,-16.597,2015-07-22 08:26:04.760,2015,203.351,65.0355,-16.4919,5.19025,2.9,-12345,-12345,176.874,13.9,15.702423,34.0036,0.06375,0.00375,33.0,8.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,36.126,0.0588052,1,3.79948092,48,77837130.0,-1437553985.0,4.26136,0.82,41.19301919783668,99.80391406419236,6.089293473229824,2.402704172161981,2.5343500643071706,2.6527936738474978,2.9000000000000004
38985,20140829082526780.DREK.1-8.fb1,DREK,65.0494,-16.597,2014-08-29 08:25:26.780,2014,241.351,65.04,-16.5195,3.80124,2.7,-12345,-12345,159.835,13.9,15.371047,19.5313,0.06375,0.000937,25.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,45.165,0.0588052,1,13.404829,44,2329902.0,-1409300985.0,4.26136,0.82,40.11463317961878,108.44845371361365,4.732761534403206,1.9364299888237424,2.4440653995851696,3.2912491727593363,2.7
38986,20130818093753880.DREK.2-6.fb1,DREK,65.0494,-16.597,2013-08-18 09:37:53.880,2013,230.401,65.0418,-16.5174,3.84827,2.9,-12345,-12345,168.993,13.9,15.371047,19.8205,0.06375,0.0,37.0,0.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,48.007,0.0588052,1,608.524048,64,2546.992,-1376818985.0,4.26136,0.82,38.54904046622638,111.1862704078494,4.883969072740768,1.9735725142807965,2.4746843794186955,3.2293406445539574,2.9000000000000004
38987,20160513105859900.DREK.3-8.fb1,DREK,65.0494,-16.597,2016-05-13 10:58:59.900,2016,134.458,65.0248,-16.6044,2.77369,3.1,-12345,-12345,176.305,13.9,15.441766,14.2824,0.075,0.00125,54.0,7.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,57.695,0.0588052,1,16.1201401,30,3927.578,-1463136985.0,5.28409,0.82,31.684746117421405,126.01089206964836,4.182998322405767,1.6960989209894652,2.466246673847008,4.419752434578328,3.1
38988,20150411210202700.DREK.3-8.fb1,DREK,65.0494,-16.597,2015-04-11 21:02:02.700,2015,101.876,65.0633,-16.5003,4.8088,4.3,-12345,-12345,24.35,13.9,15.333544,9.00571,0.065,0.00375,46.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,21.65,0.0588052,1,19.9336338,31,35251.59,-1428785985.0,6.34615,0.82,31.225641687466737,115.74550184098835,6.5577499210414025,2.3998706094665216,2.7325431192722323,2.707982811278953,4.3
38989,20130716150329320.DREK.1-8.fb1,DREK,65.0494,-16.597,2013-07-16 15:03:29.320,2013,197.627,65.0364,-16.5938,1.45987,1.6,-12345,-12345,4.243,13.9,15.571415,7.40561,0.06375,0.00375,31.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,26.757,0.0588052,1,5.60798979,50,270642.7,-1373986985.0,4.34028,0.82,38.77232255271653,132.230862452888,2.162612729558956,1.0048999687941556,2.152067665156776,6.337545013711221,1.6
38990,20140902073348840.DREK.3-8.fb1,DREK,65.0494,-16.597,2014-09-02 07:33:48.840,2014,245.315,65.0319,-16.6023,1.96751,2.9,-12345,-12345,64.954,14.099999,15.316133,11.0409,0.09,0.0,-77.0,2.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,38.046,0.0588052,1,80.8053055,42,126872.2,-1409642985.0,6.34615,0.82,27.077254276878385,137.07354426570348,3.5166768025956907,1.4570642266582656,2.413535888298546,6.1709235383027305,2.9000000000000004
38991,20140909201808600.DREK.1-8.fb1,DREK,65.0494,-16.597,2014-09-09 20:18:08.600,2014,252.846,65.0229,-16.6765,4.7703,2.3,-12345,-12345,158.593,14.5,15.659932,3.25503,0.08,0.005,5.0,7.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,26.407,0.0588052,1,5.81805944,37,275369.8,-1410293985.0,4.49219,0.82,44.78226439689742,92.35218078324483,5.463342624624983,2.240240848055697,2.438730027339075,3.569906851736704,2.3
38992,20130708172416920.DREK.1-8.fb1,DREK,65.0494,-16.597,2013-07-08 17:24:16.920,2013,189.725,65.0382,-16.5237,3.67276,3.2,-12345,-12345,174.038,14.3,15.31,3.21463,0.05625,0.000937,31.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,36.962,0.0588052,1,12.1451492,45,142445.2,-1373303985.0,5.20834,0.82,35.422941617184804,114.34154532714196,4.9276182579819245,1.9608145141463549,2.513046605087568,2.868115859872944,3.2
