,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
46224,20150429083842900.DSAN.4-10.fb1,DSAN,64.9215,-16.7285,2015-04-29 08:38:42.900,2015,119.36,65.1106,-16.862,22.0074,1.6,-12345,-12345,42.774,14.7,15.295597,13.0395,0.2625,0.001875,76.0,3.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,33.226,0.0588052,1,13.6446867,14,150.0435,-1430296985.0,6.42164,0.705,33.69561716349118,40.99288532020319,24.36891874960424,7.660382333582381,3.1811622042379324,3.425716552141012,5.00173909393915
46225,20150425013733940.DSAN.3-8.fb1,DSAN,64.9215,-16.7285,2015-04-25 01:37:33.940,2015,115.068,65.04,-16.5811,14.9342,3.0,-12345,-12345,37.488,14.7,15.550153,4.01981,0.03375,0.006563,10.0,10.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,27.488,0.0588052,1,7.64938593,36,5553.49,-1429925985.0,4.94792,0.705,35.94119423142639,62.27971595677788,16.31870956488003,5.361032317491846,3.043949112493827,0.6295366938559255,3.952171785733266
46226,20150312212729400.DSAN.4-10.fb1,DSAN,64.9215,-16.7285,2015-03-12 21:27:29.400,2015,71.894,65.0301,-16.7275,12.1076,3.9,-12345,-12345,33.84,14.099999,15.652203,4.11321,0.195,0.032812,-13.0,7.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,46.84,0.0588052,1,7.11734962,16,2766.535,-1426195985.0,4.6875,0.705,35.560407170106686,81.26098928879672,13.445041416317457,4.464502528193375,3.011543017707325,4.36570668779126,4.1199701884546585
46227,20150329221513180.DSAN.4-10.fb1,DSAN,64.9215,-16.7285,2015-03-29 22:15:13.180,2015,88.9271,65.022,-16.6702,11.5448,1.9,-12345,-12345,159.499,14.7,15.514407,3.4355,0.28125,0.002812,23.0,5.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,43.501,0.0588052,1,6.75837708,33,1185.206,-1427666985.0,4.65495,0.705,36.79573166522943,52.56915618708412,13.109962739981246,4.560241953447713,2.8748392900665336,6.161582231599283,3.525035418862
46228,20150303132038200.DSAN.3-8.fb1,DSAN,64.9215,-16.7285,2015-03-03 13:20:38.200,2015,62.5559,65.0185,-16.668,11.1822,2.0,-12345,-12345,151.52,13.9,15.494943,3.91511,0.3,0.001875,11.0,4.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,39.48,0.0588052,1,6.77755451,39,3223.367,-1425388985.0,4.34028,0.705,36.80860253885304,55.38253988323991,12.724361974834402,4.433759995117203,2.869880640550559,6.758539398141394,3.5186609818076544
46229,20150414050954720.DSAN.3-8.fb1,DSAN,64.9215,-16.7285,2015-04-14 05:09:54.720,2015,104.215,65.0821,-16.513,20.5943,2.9,-12345,-12345,176.674,13.9,15.588695,27.3813,0.31875,0.005625,-71.0,5.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,67.674,0.0588052,1,9.25324535,24,10981.49,-1428987985.0,3.88719,0.705,33.690596525132854,56.094201607979365,22.49130852027644,6.9719723965642455,3.225960637962371,4.569490417419786,5.005692625033358
46230,20150407041820120.DSAN.2-6.fb1,DSAN,64.9215,-16.7285,2015-04-07 04:18:20.120,2015,97.1793,65.0203,-16.6659,11.4013,2.1,-12345,-12345,143.472,14.5,15.59256,3.32227,0.10875,0.000937,9.0,3.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,45.528,0.0588052,1,43.2129707,28,35749.02,-1428379985.0,3.81836,0.705,36.78546223764077,56.25030253886987,12.915316112771466,4.478715859003463,2.883709643425602,2.4277935599613443,3.530122230399936
46231,20150502110037720.DSAN.2-6.fb1,DSAN,64.9215,-16.7285,2015-05-02 11:00:37.720,2015,122.459,65.0212,-16.6702,11.4479,2.0,-12345,-12345,143.413,13.9,15.416914,4.59132,0.28875,0.00375,86.0,7.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,57.413,0.0588052,1,3.56627011,36,20301.42,-1430563985.0,4.78316,0.705,36.79237985703022,55.35114469094804,12.991544992943505,4.512800769392197,2.878820860220084,6.391929977418798,3.5266956133309506
46232,20150621091550940.DSAN.4-10.fb1,DSAN,64.9215,-16.7285,2015-06-21 09:15:50.940,2015,172.386,65.0212,-16.6765,11.3789,2.1,-12345,-12345,137.211,14.099999,15.394266,4.11035,0.12,0.000937,-68.0,4.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,25.211,0.0588052,1,12.3330803,37,409.0364,-1434877985.0,5.20834,0.705,36.7869448875486,56.25327035020892,12.894024322896971,4.472426682663828,2.8830040686585714,2.68262442498326,3.5293877792278376
46233,20150701130736500.DSAN.4-10.fb1,DSAN,64.9215,-16.7285,2015-07-01 13:07:36.500,2015,182.547,65.0059,-16.6616,9.92747,2.3,-12345,-12345,38.52,13.9,15.449751,7.6049,0.05625,0.001875,-7.0,8.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,45.52,0.0588052,1,7.6487112,22,2631.646,-1435755985.0,6.63504,0.705,36.83996037042558,58.26178984344928,11.375439490740286,4.00054391550478,2.843473220392072,1.4059893180672134,3.5031351681132072
