,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
39823,20140830150910120.DYFE.4-10.fb1,DYFE,65.1055,-16.9223,2014-08-30 15:09:10.120,2014,242.631,65.0328,-16.5641,18.7029,2.0,-12345,-12345,42.827,14.099999,15.424214,3.40667,0.02625,0.002812,-68.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,69.173,0.0588052,1,8.53124046,31,55123.51,-1409410985.0,8.98438,0.71,34.675474751028254,51.39438005594527,20.63382297477409,6.626370822165865,3.113895000526068,0.3961428920831622,4.502590242134791
39824,20140903101031440.DYFE.2-6.fb1,DYFE,65.1055,-16.9223,2014-09-03 10:10:31.440,2014,246.424,65.0776,-16.5024,19.9865,0.8,-12345,-12345,144.486,13.9,15.687321,4.50107,0.12,0.005,83.0,7.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,2.0,6,61.486,0.0588052,1,3.94478583,34,121908.2,-1409738985.0,4.39236,0.71,34.63734078876249,37.44828425264602,22.45650013201985,7.372696470473824,3.045900536113707,1.627519239723085,4.521466590068059
39825,20140904200132440.DYFE.4-10.fb1,DYFE,65.1055,-16.9223,2014-09-04 20:01:32.440,2014,247.834,65.0257,-16.5853,18.1876,1.1,-12345,-12345,90.379,14.7,15.446794,3.09982,0.0975,0.00375,26.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,64.379,0.0588052,1,8.89416885,18,4463.45,-1409860985.0,7.68394,0.71,35.36164864033664,39.48342521610296,20.34464592973629,6.754955898442259,3.0118103264638507,1.4433095316405795,4.204021524746045
39826,20131006164549000.DYFE.3-8.fb1,DYFE,65.1055,-16.9223,2013-10-06 16:45:49.000,2013,279.698,65.04,-16.5874,17.366,2.8,-12345,-12345,77.66,14.7,15.444104,3.57313,0.0675,0.001875,33.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,44.66,0.0588052,1,15.314332,26,5997.795,-1381077985.0,6.94444,0.71,34.74651694485239,57.77221618498347,19.03160654104373,6.088131331580034,3.126017739191003,1.108680514516891,4.470946482974244
39827,20140807184302300.DYFE.1-5.fb1,DYFE,65.1055,-16.9223,2014-08-07 18:43:02.300,2014,219.78,65.022,-16.6723,15.0013,2.0,-12345,-12345,54.709,14.5,15.442752,3.18126,0.09,0.00125,13.0,4.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,5,41.709,0.0588052,1,26.0708046,22,25653.5,-1407436985.0,3.2197,0.71,36.30287702217647,54.41217849427041,16.59518680438189,5.560174341985453,2.9846522399612385,1.6185482710284305,3.7699297350668353
39828,20130817023937900.DYFE.0.5-5.fb1,DYFE,65.1055,-16.9223,2013-08-17 02:39:37.900,2013,229.111,65.0212,-16.6723,15.0637,2.0,-12345,-12345,140.15,14.099999,15.801947,3.01905,0.18,0.00375,5.0,8.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,0.5,5,44.85,0.0588052,1,7.38197947,34,1296728.0,-1376706985.0,3.32031,0.71,36.29111449915679,54.38980886551831,16.65262645523909,5.57652842396076,2.986199511453664,3.226974314203801,3.775793450232855
39829,20141109222306420.DYFE.0.4-4.fb1,DYFE,65.1055,-16.9223,2014-11-09 22:23:06.420,2014,313.933,65.0229,-16.6702,15.0179,2.0,-12345,-12345,148.443,13.9,15.740259,3.49833,0.225,0.00375,16.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,0.4,4,47.557,0.0588052,1,7.73244095,36,24336300.0,-1415571985.0,3.32031,0.71,36.29960289415403,54.40595096493349,16.611234771176957,5.564744725416567,2.985084777619061,4.041660967236993,3.7715618262039294
39830,20140908082955240.DYFE.4-10.fb1,DYFE,65.1055,-16.9223,2014-09-08 08:29:55.240,2014,251.354,65.0848,-16.4938,20.2738,3.1,-12345,-12345,161.792,14.7,15.365549,3.08603,0.0125,0.00125,26.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.208,0.0588052,1,14.088563,16,2490.41,-1410164985.0,7.9055,0.71,33.691376066152834,58.68214350139273,22.09947818601293,6.844360799629463,3.228859324191288,0.1826319497467921,5.005078755741806
39831,20140829102541180.DYFE.2-3.fb1,DYFE,65.1055,-16.9223,2014-08-29 10:25:41.180,2014,241.434,65.023,-16.6214,16.8903,1.8,-12345,-12345,12.981,14.3,15.511053,3.34033,0.245,0.005,62.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,49.019,0.0588052,1,8.16811562,29,1434.046,-1409307985.0,2.60417,0.71,35.92185144761097,48.56983486759704,18.617010264366183,6.156911739887135,3.0237578596030783,3.9776936930053353,3.962083146708348
39832,20140827194351320.DYFE.4-10.fb1,DYFE,65.1055,-16.9223,2014-08-27 19:43:51.320,2014,239.822,65.0194,-16.5132,21.5187,-0.8,-12345,-12345,46.187,14.3,15.462433,3.08349,0.09,0.019687,-68.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,65.813,0.0588052,1,3.70648098,29,272363.2,-1409168985.0,7.50812,0.71,34.50801991174761,32.33625176376147,24.858992484287874,8.45820328058943,2.9390393751042025,1.0640256526784242,4.58564176096368
39833,20130817042338580.DYFE.2-3.fb1,DYFE,65.1055,-16.9223,2013-08-17 04:23:38.580,2013,229.183,65.0212,-16.6702,15.1417,2.1,-12345,-12345,136.374,13.9,15.883813,5.07948,0.2,0.0025,5.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,48.626,0.0588052,1,27.0383301,32,146.3188,-1376712985.0,3.2197,0.71,36.243607787731214,55.17687456436526,16.7057008111587,5.578402530632931,2.994710532167935,3.584104407669741,3.799484932485514
