,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
51335,20151019202208140.DYSA.4-10.fb1,DYSA,64.9349,-16.6755,2015-10-19 20:22:08.140,2015,292.849,65.0301,-16.6893,10.6356,2.1,-12345,-12345,179.021,13.9,15.52484,3.50075,0.1725,0.002812,46.0,6.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,46.979,0.0588052,1,4.98772669,31,378.9189,-1445285985.0,6.5918,0.688,36.82768500439583,56.33488731865985,12.142058189186365,4.249699781679869,2.857156696463559,4.0574396536662505,3.5092121598013435
51336,20160407092415460.DYSA.2-3.fb1,DYSA,64.9349,-16.6755,2016-04-07 09:24:15.460,2016,98.3917,65.031,-16.7317,11.0364,4.9,-12345,-12345,88.695,13.9,16.095947,11.0306,0.09,0.0025,46.0,6.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,2.0,3,42.695,0.0588052,1,43.3724022,28,579.0239,-1460020985.0,2.52404,0.688,33.887123290314065,90.64728501790906,12.594745412793376,4.139086273091104,3.042880621907771,2.174135995511506,4.9
51337,20150825060515720.DYSA.4-10.fb1,DYSA,64.9349,-16.6755,2015-08-25 06:05:15.720,2015,237.254,65.0194,-16.6702,9.41996,2.2,-12345,-12345,161.275,13.9,15.320533,8.69898,0.05625,0.0,21.0,3.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,39.725,0.0588052,1,21.7506199,50,1411.346,-1440482985.0,4.88664,0.688,43.0630383900133,73.39402423500165,10.239006342533717,3.855588544927327,2.6556273376226427,1.4588436117776382,2.635603654847624
51338,20140716044103960.DYSA.3-8.fb1,DYSA,64.9349,-16.6755,2014-07-16 04:41:03.960,2014,197.195,65.0059,-16.5026,11.3698,0.4,-12345,-12345,4.28,14.5,15.571655,3.18381,0.12,0.000937,50.0,5.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,3.0,8,45.72,0.0588052,1,10.0951986,33,621.3115,-1405485985.0,5.42763,0.688,43.524213089573024,45.28645670503975,12.715502303604907,4.977351819486675,2.554672196131052,2.4105703555434843,2.5315225632245246
51339,20151122232128020.DYSA.4-10.fb1,DYSA,64.9349,-16.6755,2015-11-22 23:21:28.020,2015,326.973,65.057,-16.5088,15.7227,3.7,-12345,-12345,21.806,13.9,15.602957,5.57904,0.09,0.001875,79.0,8.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,57.194,0.0588052,1,4.25097322,30,3375.173,-1448233985.0,5.27344,0.688,34.63714968982145,73.11705558633952,17.231134693742717,5.507872415003333,3.128455671341525,1.633915719861534,4.521561298597372
51340,20140829205520360.DYSA.2-6.fb1,DYSA,64.9349,-16.6755,2014-08-29 20:55:20.360,2014,241.872,65.1152,-16.8194,21.2151,1.6,-12345,-12345,164.644,13.9,15.596905,4.17508,0.18,0.002812,43.0,4.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,58.356,0.0588052,1,11.7925014,30,124707.6,-1409345985.0,4.34028,0.688,33.93913957601382,41.31059171406422,23.51297555883844,7.443028072031094,3.159060443046547,2.41801707085898,4.874376753367835
51341,20150519023527980.DYSA.2-6.fb1,DYSA,64.9349,-16.6755,2015-05-19 02:35:27.980,2015,139.108,65.0212,-16.6702,9.6199,3.0,-12345,-12345,108.579,13.9,15.522189,3.25298,0.13875,0.006563,-49.0,6.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,22.421,0.0588052,1,5.82030773,31,2693.715,-1432002985.0,5.1592,0.688,36.7970341311976,64.60445214375608,10.90326847215588,3.797683150807686,2.871031636706445,3.6523249354850407,3.524390310019836
51342,20150423064808100.DYSA.2-6.fb1,DYSA,64.9349,-16.6755,2015-04-23 06:48:08.100,2015,113.283,65.0212,-16.6702,9.6199,2.2,-12345,-12345,171.029,14.099999,15.474362,8.5756,0.16875,0.000937,46.0,3.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,54.971,0.0588052,1,18.1253262,37,17299.87,-1429771985.0,5.48245,0.688,42.937495636986085,72.94892166395661,10.4502535652254,3.923477065035859,2.663518453657608,4.299044627376247,2.664402110318793
51343,20160330013752400.DYSA.3-8.fb1,DYSA,64.9349,-16.6755,2016-03-30 01:37:52.400,2016,90.0678,65.0212,-16.6744,9.61656,2.1,-12345,-12345,178.016,13.9,15.454081,11.0807,0.15,0.001875,45.0,4.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,46.984,0.0588052,1,10.3180923,31,55088.5,-1459301985.0,5.52357,0.688,43.13383664940312,71.68369462661005,10.444164656181623,3.933261871235584,2.6553443422013303,3.812243003926597,2.619412464608934
51344,20151021163613540.DYSA.4-10.fb1,DYSA,64.9349,-16.6755,2015-10-21 16:36:13.540,2015,294.692,65.0194,-16.6765,9.41644,2.1,-12345,-12345,72.482,13.9,15.5681,5.58633,0.1275,0.004687,36.0,9.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,36.482,0.0588052,1,3.25752854,29,14518.82,-1445444985.0,5.5563,0.688,43.25663905409524,72.08346704764908,10.233367964448073,3.865095963714079,2.6476361933882084,3.297856880990224,2.5916112210976694
