,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32480,20150808041944640.GODA.3-8.fb1,GODA,65.037,-16.8598,2015-08-08 04:19:44.640,2015,220.18,65.022,-16.6871,8.3074,1.9,-12345,-12345,28.503,14.5,15.652617,5.49453,0.24,0.004687,-39.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,67.503,0.0588052,1,6.74792385,42,567.6831,-1439007985.0,3.75,1.266,44.37914978112058,68.00963946520865,9.055367810438526,3.50422209859676,2.584130673128476,6.840868198102257,2.376076224995677
32481,20160515172054720.GODA.4-10.fb1,GODA,65.037,-16.8598,2016-05-15 17:20:54.720,2016,136.723,65.022,-16.668,9.19036,2.1,-12345,-12345,105.221,13.9,15.347395,5.37558,0.115,0.00625,44.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,61.221,0.0588052,1,3.73773837,42,118.428,-1463332985.0,4.78316,1.266,43.3882014176995,72.52063410343054,9.981970694782948,3.783309716600693,2.6384228208923264,3.038964745304895,2.561888958974948
32482,20140920095632060.GODA.3-8.fb1,GODA,65.037,-16.8598,2014-09-20 09:56:32.060,2014,263.414,65.0757,-16.817,4.76121,2.9,-12345,-12345,66.435,14.3,15.423799,3.97438,0.13,0.005,-70.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,43.565,0.0588052,1,3.81712151,32,31547.12,-1411206985.0,6.19507,1.266,40.65579632519667,102.89094725114929,5.699214652308207,2.265978477977756,2.51512302861517,5.732323047105581,2.9000000000000004
32483,20131125213255360.GODA.4-10.fb1,GODA,65.037,-16.8598,2013-11-25 21:32:55.360,2013,329.898,65.0203,-16.6808,8.64296,2.0,-12345,-12345,82.937,14.5,15.325792,4.78691,0.1125,0.00375,-47.0,8.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,50.063,0.0588052,1,3.26533151,27,1281.147,-1385414985.0,5.91346,1.266,43.76798311944262,71.83264703948852,9.414872353618314,3.60537566106873,2.6113429608129914,3.119581422818385,2.4820058191905217
32484,20160614183036300.GODA.1-8.fb1,GODA,65.037,-16.8598,2016-06-14 18:30:36.300,2016,166.771,65.0496,-16.8656,1.43068,1.9,-12345,-12345,138.019,13.9,15.303719,12.2776,0.0275,0.00125,0.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,41.981,0.0588052,1,27.9130802,40,242697.6,-1465928985.0,6.11359,1.266,32.912498550639896,133.91526163815735,2.3794104792771447,1.0787218864554642,2.205768242169971,2.5488991866552624,1.9
32485,20150812082226060.GODA.4-10.fb1,GODA,65.037,-16.8598,2015-08-12 08:22:26.060,2015,224.349,65.0212,-16.6723,9.0132,2.2,-12345,-12345,86.441,14.7,15.438851,3.05517,0.12,0.002812,28.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,58.441,0.0588052,1,4.40048361,29,47.5374,-1439367985.0,5.12972,1.266,43.307505107775576,74.29308311356952,9.793509127521489,3.7112057273168753,2.638902245551877,3.23260577813329,2.5801120497645043
32486,20150731013146780.GODA.2-3.fb1,GODA,65.037,-16.8598,2015-07-31 01:31:46.780,2015,212.064,65.0319,-16.7105,7.05784,4.9,-12345,-12345,72.465,14.5,15.821661,23.2105,0.125,0.00625,35.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,37.465,0.0588052,1,65.6196213,12,303.3275,-1438305985.0,2.34375,1.266,32.322410916277924,106.4816603699009,8.807493004620634,3.0490916061573627,2.888562936854604,4.097860599055991,4.9
32487,20140828063916500.GODA.1-8.fb1,GODA,65.037,-16.8598,2014-08-28 06:39:16.500,2014,240.277,65.0301,-16.6044,12.059,0.2,-12345,-12345,52.808,13.9,16.407711,3.35535,0.295,0.0125,81.0,7.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,28.192,0.0588052,1,2.44161344,47,471544.3,-1409207985.0,1.90218,1.266,43.24651843302946,44.112405137236685,13.50625740441975,5.27748238905557,2.559223585933512,5.585426922148429,2.593900313037804
32488,20140828050457120.GODA.3-8.fb1,GODA,65.037,-16.8598,2014-08-28 05:04:57.120,2014,240.212,65.1152,-16.8173,8.93968,1.8,-12345,-12345,49.138,14.3,15.686316,5.21908,0.07875,0.006563,27.0,7.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,22.138,0.0588052,1,6.92144823,26,27279.27,-1409201985.0,4.41576,1.266,43.93115979071686,62.45519550989654,9.758474928929068,3.743885132412242,2.606510238374096,2.1031973089378653,2.453337630495942
32489,20130914215347820.GODA.3-8.fb1,GODA,65.037,-16.8598,2013-09-14 21:53:47.820,2013,257.912,65.014,-16.6659,9.49415,2.1,-12345,-12345,136.948,14.099999,15.515383,7.22467,0.175,0.00625,-12.0,6.75,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,31.052,0.0588052,1,4.98086452,35,4093.991,-1379195985.0,3.70066,1.266,43.22111578553001,71.9670267577346,10.296022516375604,3.885402484872768,2.6499243145238163,4.501755938475327,2.599647583912038
