,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
30636,20101123042557680.HRUR.4-10.fb1,HRUR,65.1558,-16.6755,2010-11-23 04:25:57.680,2010,327.185,65.0328,-16.7063,13.7874,2.9,-12345,-12345,77.216,14.099999,15.46696,3.79003,0.055,0.005,50.0,9.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,27.216,0.0588052,1,10.782917,22,39.47663,-1290485985.0,5.83333,0.697,36.244938359963605,62.20392628444399,15.150682479384384,5.04360118513662,3.003941414724286,1.0904582454031695,3.798821183180559
30637,20121025043337160.HRUR.4-10.fb1,HRUR,65.1558,-16.6755,2012-10-25 04:33:37.160,2012,299.19,65.0561,-16.5258,13.1488,1.3,-12345,-12345,173.711,13.9,15.593716,3.04121,0.18,0.020625,54.0,8.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,60.289,0.0588052,1,3.25549102,31,71463.77,-1351139985.0,5.32671,0.697,36.71176515037578,41.87589952178224,14.973133333087317,5.214474163505222,2.8714560401661333,3.450902336197004,3.566647001792026
30638,20111104185704240.HRUR.2-3.fb1,HRUR,65.1558,-16.6755,2011-11-04 18:57:04.240,2011,308.789,65.073,-16.8148,11.3102,3.7,-12345,-12345,141.827,14.5,16.04122,4.43875,0.215,0.0075,-64.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,25.827,0.0588052,1,11.5574989,33,2371.137,-1320432985.0,2.6331,0.697,36.13207883624625,83.07826834565843,12.576658546403278,4.240102173239832,2.9661215773943352,5.067377395292283,3.855160725225264
30639,20110331150751100.HRUR.3-8.fb1,HRUR,65.1558,-16.6755,2011-03-31 15:07:51.100,2011,90.6303,65.0229,-16.6702,14.8111,2.8,-12345,-12345,101.055,14.7,15.365366,5.94998,0.4,0.00375,35.0,3.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,66.055,0.0588052,1,9.52287769,29,5268.551,-1301583985.0,4.81048,0.697,36.05430061547881,60.873677103324326,16.236760624519157,5.360902616663186,3.028736350115885,7.451073887029835,3.8942639766988014
30640,20101018022725200.HRUR.1-8.fb1,HRUR,65.1558,-16.6755,2010-10-18 02:27:25.200,2010,291.102,65.0203,-16.6659,15.1154,2.1,-12345,-12345,135.686,13.9,15.349368,3.0097,0.07,0.00625,87.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,48.686,0.0588052,1,2.41655493,27,192127.0,-1287368985.0,7.76428,0.697,36.24608103671018,55.181724974738295,16.694117613566608,5.575113991150783,2.994399332473685,1.2555302275046645,3.798251173618209
30641,20121012063141400.HRUR.4-10.fb1,HRUR,65.1558,-16.6755,2012-10-12 06:31:41.400,2012,286.272,65.0328,-16.6957,13.7432,2.0,-12345,-12345,55.628,14.5,15.455663,3.25916,0.08625,0.019687,83.0,7.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,27.372,0.0588052,1,4.34552145,26,3158.755,-1350023985.0,7.02582,0.697,36.53305901733738,54.85173150283197,15.31678173433764,5.193146381817456,2.9494222978126787,1.6607283269422624,3.655360384550483
30642,20130125010723920.HRUR.1-8.fb1,HRUR,65.1558,-16.6755,2013-01-25 01:07:23.920,2013,25.0467,65.031,-16.6935,13.9361,1.3,-12345,-12345,13.681,14.3,15.380055,3.906,0.07125,0.00375,49.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,35.319,0.0588052,1,7.24397755,28,729699.2,-1359075985.0,5.82735,0.697,36.6159300410107,41.76071675150633,15.775323039363045,5.4485313941006845,2.895334889038822,1.307635930976403,3.614195940765069
30643,20140101164438900.HRUR.0.5-5.fb1,HRUR,65.1558,-16.6755,2014-01-01 16:44:38.900,2014,1.69757,65.0212,-16.6702,15.011,2.0,-12345,-12345,8.225,14.7,15.825818,3.98094,0.13125,0.005625,-40.0,8.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,48.225,0.0588052,1,5.1593399,30,20014320.0,-1388594985.0,3.41517,0.697,36.29936572968889,54.40549989471452,16.61239542430594,5.565075236468261,2.9851160529589875,2.3581308088637343,3.771680050882901
30644,20120211010153560.HRUR.3-8.fb1,HRUR,65.1558,-16.6755,2012-02-11 01:01:53.560,2012,42.0429,65.0167,-16.6638,15.5184,1.9,-12345,-12345,40.385,13.9,15.565224,3.87885,0.135,0.004687,-24.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,64.385,0.0588052,1,5.128582,29,20036.34,-1328921985.0,3.80609,0.697,36.217061965366845,51.56602084206248,17.167368974194268,5.736751518661265,2.99252441357273,2.352922463819596,3.812729544265899
30645,20101006103220020.HRUR.4-10.fb1,HRUR,65.1558,-16.6755,2010-10-06 10:32:20.020,2010,279.439,65.0185,-16.6659,15.3153,2.0,-12345,-12345,46.093,13.9,15.524965,7.02463,0.2525,0.00375,-9.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,55.093,0.0588052,1,2.37812257,44,1672.182,-1286360985.0,6.35061,0.697,36.23304522806636,54.2795032905161,16.92800399520441,5.654759565415175,2.9935851028462865,4.463041443955262,3.8047544134157008
