,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32991,20070720091845020.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-07-20 09:18:45.020,2007,201.388,65.0158,-16.6595,15.6229,2.6,-12345,-12345,58.453,14.5,15.293408,3.55133,0.1125,0.004687,-78.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,43.547,0.0588052,1,3.39348388,27,183.2213,-1184922985.0,8.75,0.701,35.9454741082694,59.005486772172645,17.116550241843967,5.629618753577061,3.040445719520191,1.998159655533982,3.9499790782805233
32992,20070725205115940.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-07-25 20:51:15.940,2007,206.869,65.1055,-16.6619,5.63819,5.3,-12345,-12345,176.381,14.099999,15.424214,3.69611,0.21,0.016875,37.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,40.619,0.0588052,1,2.86361265,48,529.7081,-1185396985.0,8.71962,0.701,28.691522793864607,119.07643927580288,7.862570799317092,2.734689425367259,2.8751238536936152,7.667829520410052,5.3
32993,20070717203241980.HRUT.2-6.fb1,HRUT,65.1558,-16.6744,2007-07-17 20:32:41.980,2007,198.856,65.022,-16.6765,14.9085,2.0,-12345,-12345,124.005,14.3,15.690593,3.21127,0.29625,0.0075,-78.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,22.005,0.0588052,1,6.3619175,25,2459.998,-1184703985.0,3.58953,0.701,36.31836316201264,54.44164306613788,16.518644581248125,5.53836227900015,2.982586502851573,5.345233432979768,3.762211114626989
32994,20070715135320440.HRUT.0.5-5.fb1,HRUT,65.1558,-16.6744,2007-07-15 13:53:20.440,2007,196.579,65.0319,-16.7041,13.8805,1.6,-12345,-12345,167.748,13.9,15.650407,4.63777,0.09375,0.006563,30.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,42.252,0.0588052,1,3.85504222,35,384480.6,-1184507985.0,4.73534,0.701,36.58428140907951,44.80594228554864,15.594086504401636,5.335728856451555,2.922578512501897,1.7568877312825748,3.629911520826503
32995,20070705104145380.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-07-05 10:41:45.380,2007,186.446,65.1306,-16.5064,8.3686,4.0,-12345,-12345,38.787,14.5,15.347888,3.79204,0.09,0.001875,66.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,27.213,0.0588052,1,6.75571775,28,918.6235,-1183631985.0,7.09459,0.701,35.797135160144165,92.84296753739716,9.67019460575875,3.374457592510188,2.8657034028883133,2.66662117033718,4.0
32996,20070825101021540.HRUT.1-8.fb1,HRUT,65.1558,-16.6744,2007-08-25 10:10:21.540,2007,237.424,65.1152,-16.7832,6.81921,3.0,-12345,-12345,174.724,13.9,15.609176,4.29617,0.11625,0.004687,52.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,57.276,0.0588052,1,2.59980774,46,142431.0,-1188036985.0,4.60157,0.701,41.51309087006272,91.61325910725095,7.707580316598326,2.943984563061821,2.6180776941922006,3.947191882121359,3.0
32997,20070723220726120.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-23 22:07:26.120,2007,204.922,65.022,-16.6744,14.9081,2.2,-12345,-12345,124.862,13.9,15.457362,3.48397,0.20625,0.00375,85.0,10.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,39.862,0.0588052,1,2.38752317,37,2284.452,-1185227985.0,5.40597,0.701,36.25694460203869,56.10103500845899,16.465785203550293,5.497404849697364,2.9951923960005864,3.750450956969331,3.792832440407621
32998,20070727031518380.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-27 03:15:18.380,2007,208.136,65.0856,-16.7958,9.67701,2.1,-12345,-12345,105.793,13.9,15.652203,3.42404,0.04875,0.005625,53.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,52.793,0.0588052,1,2.74358797,46,1945.328,-1185505985.0,4.6875,0.701,43.10089239029293,71.57773915743526,10.504669118827431,3.952630389463231,2.657640124113394,1.2333089971917843,2.626931817880001
32999,20070822233400720.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-08-22 23:34:00.720,2007,234.982,65.1467,-16.5384,6.46254,4.1,-12345,-12345,43.462,14.099999,15.293605,7.19844,0.09,0.019687,72.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,28.538,0.0588052,1,5.93177462,40,34052.05,-1187825985.0,7.33963,0.701,34.72932754693208,101.90987234849185,7.878434411605456,2.8298325797379307,2.7840637880899206,3.17959633090652,4.1
33000,20070817024916940.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-08-17 02:49:16.940,2007,229.117,65.0203,-16.6702,15.1091,2.0,-12345,-12345,86.666,14.3,15.338909,6.89154,0.27,0.002812,28.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,58.666,0.0588052,1,2.73019791,48,664.7964,-1187318985.0,6.63488,0.701,36.27817729985016,54.36521545330765,16.71513136936109,5.594310578766168,2.987880478571433,4.823524687544989,3.782243772138706
33001,20070716093106900.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-16 09:31:06.900,2007,197.397,65.0802,-16.7958,10.1673,3.1,-12345,-12345,168.32,13.9,15.567874,5.65712,0.0975,0.00375,35.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,46.68,0.0588052,1,3.84052038,35,2236.746,-1184577985.0,5.56469,0.701,36.737019885231135,67.09801531831455,11.434327912899102,3.946882997202188,2.897052666877764,2.469927028595009,3.5541266350331444
33002,20070712001514560.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-12 00:15:14.560,2007,193.011,65.0167,-16.6786,15.5095,2.4,-12345,-12345,53.278,14.099999,15.659749,3.97337,0.12,0.004687,-13.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,66.278,0.0588052,1,5.08346462,34,1646.888,-1184198985.0,3.58953,0.701,36.05085768651871,57.51649951803327,17.035827752748848,5.632276876449479,3.024678673731685,2.130335344763523,3.896025449349877
33003,20070822024118040.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-08-22 02:41:18.040,2007,234.112,65.0229,-16.685,14.817,2.0,-12345,-12345,46.917,13.9,15.577076,5.27101,0.11625,0.005625,80.0,8.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,33.083,0.0588052,1,3.21614456,48,799.9439,-1187750985.0,3.61064,0.701,36.33730362871369,54.47770085881371,16.42354583014414,5.511232000150526,2.980013512349973,2.1090941587729617,3.752772869044147
33004,20070813023152620.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-08-13 02:31:52.620,2007,225.105,65.0695,-16.8169,11.7228,3.0,-12345,-12345,1.837,14.099999,15.370516,4.6554,0.09375,0.002812,50.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,48.163,0.0588052,1,4.8467865,42,2365.153,-1186971985.0,6.2439,0.701,36.580747637160734,64.00120677066565,13.014164734211333,4.417983852962263,2.9457248300002994,2.121769833813403,3.6316666657791608
33005,20070718203306200.HRUT.1-8.fb1,HRUT,65.1558,-16.6744,2007-07-18 20:33:06.200,2007,199.856,65.0212,-16.6808,15.0114,2.0,-12345,-12345,111.774,13.9,15.696206,10.2774,0.31125,0.00375,-16.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,52.226,0.0588052,1,4.69106483,41,46526.33,-1184790985.0,3.50477,0.701,36.299166413278535,54.40512081162369,16.61337066676459,5.5653529455249,2.985142331381409,5.588270935584916,3.771779408872916
33006,20070822003722880.HRUT.1-8.fb1,HRUT,65.1558,-16.6744,2007-08-22 00:37:22.880,2007,234.026,65.0212,-16.6829,15.0138,1.9,-12345,-12345,107.492,13.9,15.755945,6.37093,0.325,0.005,-21.0,8.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,51.508,0.0588052,1,3.0645175,45,81461.82,-1187742985.0,3.125,0.701,36.32649732971496,51.75458595995412,16.644561877936376,5.588194547023814,2.978522264726988,5.81092232686018,3.758157487166416
33007,20070813183256460.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-08-13 18:32:56.460,2007,225.773,65.1234,-16.5831,5.60045,3.0,-12345,-12345,134.616,14.099999,15.331684,5.21992,0.09,0.002812,18.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,63.384,0.0588052,1,5.60868835,47,1736.996,-1187029985.0,8.30639,0.701,41.00023582943303,98.32800702206464,6.525685786147587,2.544510475651061,2.5646134486743923,3.535920551679084,3.0
33008,20070803071233440.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-08-03 07:12:33.440,2007,215.3,65.0131,-16.6723,15.9083,2.0,-12345,-12345,60.961,13.9,15.752279,3.72206,0.15,0.005625,86.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,25.039,0.0588052,1,4.12424564,41,2515.43,-1186124985.0,3.58953,0.701,36.092768407508416,54.01391469631443,17.545668263170576,5.829147575791257,3.009988687889567,2.5728491983826984,3.874803564692801
33009,20070723075606720.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-23 07:56:06.720,2007,204.331,65.0149,-16.6701,15.7091,2.5,-12345,-12345,33.455,13.9,15.764131,3.08657,0.13875,0.00375,-20.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,53.455,0.0588052,1,2.66234565,41,470.9008,-1185176985.0,3.41517,0.701,35.9650771013082,58.27615930722612,17.226322777979014,5.672473555436277,3.036827339894777,2.445657105714361,3.9399374032168417
33010,20070728161344260.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-07-28 16:13:44.260,2007,209.676,65.084,-16.5789,9.17764,3.7,-12345,-12345,59.45,13.9,15.259741,4.63675,0.0225,0.002812,19.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,40.45,0.0588052,1,3.7074337,56,133.4924,-1185638985.0,7.93159,0.701,36.39469189139948,87.35372609644959,10.415171213643886,3.612541338474767,2.8830593861221314,0.6228242030317688,3.724189672473788
33011,20070706025804440.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-06 02:58:04.440,2007,187.124,65.0676,-16.8361,12.4181,4.8,-12345,-12345,172.229,14.099999,15.531954,3.06239,0.0975,0.00375,40.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,47.771,0.0588052,1,3.11100268,36,24005.81,-1183690985.0,6.02948,0.701,34.00270713689289,86.29494830095008,13.955768875252245,4.523263034097892,3.0853321529278586,2.1552732304868982,4.841586708195612
33012,20070801193339040.HRUT.1-8.fb1,HRUT,65.1558,-16.6744,2007-08-01 19:33:39.040,2007,213.815,65.0399,-16.77,13.6754,1.7,-12345,-12345,34.999,14.5,15.651999,4.8545,0.12,0.00375,14.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,20.999,0.0588052,1,4.62304544,41,6571128.0,-1185996985.0,4.93016,0.701,36.59891691943445,47.17595404366232,15.347293263886524,5.246327686286064,2.925340196344283,2.287015143923554,3.6226432478760575
33013,20070731162409560.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-31 16:24:09.560,2007,212.683,65.0382,-16.6936,13.1401,2.1,-12345,-12345,78.425,14.3,15.408839,3.06162,0.3975,0.0075,11.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,67.425,0.0588052,1,3.77722955,35,5228.757,-1185898985.0,3.61064,0.701,36.60188196984304,55.884150671794224,14.673409915697912,4.994158608028975,2.9381145188516564,7.946732821955038,3.6211709153479257
33014,20070811021827640.HRUT.4-10.fb1,HRUT,65.1558,-16.6744,2007-08-11 02:18:27.640,2007,223.096,65.082,-16.8149,10.5428,4.9,-12345,-12345,83.376,13.9,15.461183,4.76109,0.14625,0.017812,39.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,44.376,0.0588052,1,2.46683455,39,1606.688,-1186798985.0,8.30639,0.701,33.86241511631338,92.15299720689818,12.105390027634195,4.002197112342377,3.0246861131108163,3.6530236959279705,4.9
33015,20070728201837260.HRUT.3-8.fb1,HRUT,65.1558,-16.6744,2007-07-28 20:18:37.260,2007,209.846,65.0346,-16.7042,13.582,1.7,-12345,-12345,147.825,14.7,15.650407,4.13313,0.3075,0.00375,-83.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,50.825,0.0588052,1,3.10070658,30,1102.371,-1185653985.0,4.73534,0.701,36.61210997389424,47.19512435467308,15.25152614021744,5.218500484886153,2.922587855340626,5.887391245135376,3.61609250748122
