,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
21703,20190403090828140.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-04-03 09:08:28.140,2019,93.3808,65.022,-16.6808,13.6652,2.9,-12345,-12345,126.764,14.7,15.354785,4.28397,0.055,0.000625,-10.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,43.236,0.0588052,1,31.3584099,30,2369.088,-1554281985.0,6.63504,0.885,36.27503307777816,62.281886186606535,15.00488988089858,5.0019872874596825,2.999785688883465,1.099529737112448,3.783811602504497
21704,20161110041847000.KATT.3-8.fb1,KATT,64.999,-16.9654,2016-11-10 04:18:47.000,2016,315.18,65.022,-16.6723,14.0585,3.3,-12345,-12345,111.535,13.9,15.490471,5.28014,0.12,0.001875,-9.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,59.465,0.0588052,1,6.19102287,42,1988.388,-1478750985.0,7.00955,0.885,35.98907053952392,70.46745892433084,15.362024343102188,5.06360845418813,3.033809679813651,2.3695188367540254,3.927650105890698
21705,20191124111819540.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-11-24 11:18:19.540,2019,328.471,65.031,-16.5768,18.6657,1.8,-12345,-12345,132.784,14.099999,15.400671,4.30301,0.1125,0.003125,0.0,5.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,47.216,0.0588052,1,2.98523068,36,314.3762,-1574593985.0,7.80762,0.885,34.78547392579613,46.81019792689476,20.643210224115748,6.664734194871341,3.097379373359128,1.6878690758531434,4.4537540692081645
21706,20151015093917160.KATT.4-10.fb1,KATT,64.999,-16.9654,2015-10-15 09:39:17.160,2015,288.402,65.0212,-16.6723,14.0409,2.3,-12345,-12345,148.03,14.3,15.267247,3.17448,0.02625,0.006563,-54.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,22.03,0.0588052,1,4.83043861,22,356.7654,-1444901985.0,8.87706,0.885,36.40684812152815,57.33654142785392,15.522804223936776,5.215755919371274,2.976137009457289,0.5032795664533296,3.7181377626674106
21707,20190604094801760.KATT.3-8.fb1,KATT,64.999,-16.9654,2019-06-04 09:48:01.760,2019,155.408,65.0139,-16.7592,9.86466,1.8,-12345,-12345,118.314,14.7,15.402433,5.99064,0.12,0.005,-10.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,51.686,0.0588052,1,3.78361273,26,5912.131,-1559641985.0,6.62365,0.885,43.42971537598135,61.46923134721392,10.709589850178212,4.05550638531452,2.6407528019087665,2.958292605555357,2.55260631939424
21708,20160720172805980.KATT.4-10.fb1,KATT,64.999,-16.9654,2016-07-20 17:28:05.980,2016,202.728,65.0203,-16.6702,14.1227,2.3,-12345,-12345,53.744,14.3,15.45188,3.63398,0.06,0.001875,-7.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,60.744,0.0588052,1,8.3286829,32,634.502,-1469035985.0,7.63672,0.885,36.39163775928021,57.30437945633168,15.605245706777056,5.239415183634933,2.978432737210692,1.1451284335834089,3.725710303511952
21709,20180811035323620.KATT.3-8.fb1,KATT,64.999,-16.9654,2018-08-11 03:53:23.620,2018,223.162,65.0203,-16.6893,13.2357,2.2,-12345,-12345,144.907,13.9,15.524965,4.80271,0.0525,0.000625,10.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,45.093,0.0588052,1,18.3590145,33,988.8401,-1533959985.0,6.35061,0.885,36.56881721716217,56.73788646471408,14.725085464916152,4.9972558883645615,2.94663427166128,1.0505475931552155,3.637592830227652
21710,20191113064034780.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-11-13 06:40:34.780,2019,317.278,65.0283,-16.5789,18.513,2.1,-12345,-12345,163.926,14.5,15.446922,5.34386,0.07,0.000625,31.0,3.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,47.074,0.0588052,1,30.963274,27,591.1926,-1573626985.0,5.94262,0.885,34.68056951360278,52.19180453047295,20.40710431900663,6.550144464662685,3.115519730763304,1.068648208629952,4.500076769882746
21711,20200214103240600.KATT.4-10.fb1,KATT,64.999,-16.9654,2020-02-14 10:32:40.600,2020,45.4392,65.0229,-16.6871,13.3896,2.3,-12345,-12345,54.932,14.5,15.399303,6.27233,0.0525,0.0,10.0,0.75,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,44.932,0.0588052,1,122.596474,24,17048.41,-1581675985.0,8.18452,0.885,36.5203292753388,57.57718989909981,14.85828978812226,5.024224524488554,2.957329975143731,1.0449088553144747,3.661687529520126
21712,20191210205028280.KATT.3-8.fb1,KATT,64.999,-16.9654,2019-12-10 20:50:28.280,2019,344.868,65.0212,-16.6723,14.0409,3.0,-12345,-12345,17.669,13.9,15.415966,9.30418,0.0575,0.00125,-19.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,36.669,0.0588052,1,19.1161385,29,71501.34,-1576010985.0,6.74665,0.885,36.14959538525456,62.83111033387052,15.375458101046146,5.097379055316798,3.016345838555766,1.1279948055829436,3.846411132501157
21713,20160712100339440.KATT.4-10.fb1,KATT,64.999,-16.9654,2016-07-12 10:03:39.440,2016,194.419,65.0203,-16.6765,13.8268,2.1,-12345,-12345,79.709,13.9,15.293408,3.01717,0.02625,0.00375,-38.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,62.291,0.0588052,1,4.36355352,33,313.1154,-1468317985.0,8.57599,0.885,36.49842526162174,55.67893959141516,15.35760677516948,5.192397366643702,2.957710223379232,0.5055435943347675,3.672577058014413
21714,20210408193557640.KATT.4-10.fb1,KATT,64.999,-16.9654,2021-04-08 19:35:57.640,2021,98.8165,65.0426,-16.77,10.4137,0.6,-12345,-12345,40.068,14.7,15.469665,5.35221,0.2525,0.003125,-15.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,55.068,0.0588052,1,5.35535049,22,3622.101,-1617910985.0,5.65733,0.885,43.99929607144083,46.82589130387445,11.627807722665972,4.581569222890571,2.53795308047967,5.5070336360742544,2.441496140773763
21715,20191113213402060.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-11-13 21:34:02.060,2019,317.899,65.0301,-16.5471,20.025,2.1,-12345,-12345,92.987,14.3,15.300743,8.17138,0.07,0.0,-41.0,0.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,46.013,0.0588052,1,311.496216,33,337.9707,-1573680985.0,6.25,0.885,34.21066196845656,51.32253230544951,22.03169988981214,6.973965641620187,3.1591351351558634,1.0037077983412246,4.735273869517124
21716,20191126121539180.KATT.3-8.fb1,KATT,64.999,-16.9654,2019-11-26 12:15:39.180,2019,330.511,65.0248,-16.5895,17.9536,2.0,-12345,-12345,55.297,14.5,15.562794,5.23724,0.1375,0.00375,22.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,33.297,0.0588052,1,8.66704941,34,1392.998,-1574770985.0,5.76006,0.885,35.030125190680955,52.03962033014166,19.80454145816908,6.414423685336987,3.0875012985876107,2.143360259513827,4.346627706700194
21717,20191115032932140.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-11-15 03:29:32.140,2019,319.145,65.0328,-16.5662,19.1947,3.1,-12345,-12345,88.385,14.099999,15.357419,3.09227,0.07,0.00125,-45.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,46.615,0.0588052,1,8.74325657,31,297.3523,-1573788985.0,6.04839,0.885,33.97413258331098,59.38515521773857,20.951137893983848,6.546972027775761,3.2001263798131263,1.069166009114042,4.856293460359868
21718,20190301131522640.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-03-01 13:15:22.640,2019,60.5522,65.0212,-16.685,13.4503,2.3,-12345,-12345,82.077,14.7,15.306489,4.0201,0.0675,0.000625,-52.0,1.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,45.923,0.0588052,1,44.3180084,18,305.6501,-1551445985.0,8.78906,0.885,36.51036291744976,57.55600572209628,14.92071642894884,5.042278483214236,2.95912184910452,1.338620553883629,3.666641898643169
21719,20180830174807720.KATT.3-8.fb1,KATT,64.999,-16.9654,2018-08-30 17:48:07.720,2018,242.742,65.0318,-16.7763,9.6367,1.0,-12345,-12345,14.958,14.3,15.458619,5.82205,0.165,0.00375,-21.0,9.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,35.958,0.0588052,1,3.87759042,40,1975.955,-1535650985.0,6.19507,0.885,44.36951892699006,49.64305518222636,10.664152110275705,4.1883601548836,2.546140187548431,3.937962001326412,2.3777206385059646
21720,20190716055017300.KATT.4-10.fb1,KATT,64.999,-16.9654,2019-07-16 05:50:17.300,2019,197.243,65.022,-16.6808,13.6652,2.6,-12345,-12345,139.431,13.9,15.280328,9.28276,0.0525,0.0,9.0,1.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,49.569,0.0588052,1,70.6946716,25,841.7783,-1563255985.0,8.87706,0.885,36.38446976288424,60.02568446760028,15.065870216235728,5.050760297189544,2.9828915509253155,1.039419392239438,3.7292794334661377
21721,20210628065455960.KATT.4-10.fb1,KATT,64.999,-16.9654,2021-06-28 06:54:55.960,2021,179.288,65.1125,-16.796,14.9592,3.1,-12345,-12345,43.555,14.099999,15.437295,5.84904,0.1825,0.0025,-1.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.555,0.0588052,1,2.85091281,38,5110.519,-1624862985.0,9.55437,0.885,35.8848697606571,64.51726240331456,16.32969023225504,5.353404469031981,3.050337467814724,3.408055721001091,3.9810395373971454
