,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
21065,20140820073029860.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2014-08-20 07:30:29.860,2014,232.313,65.0194,-16.6511,7.87512,2.1,-12345,-12345,54.159,14.099999,15.634941,3.29019,0.02625,0.00375,-61.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,64.841,0.0588052,1,3.41549253,65,524513.1,-1408519985.0,4.9326,1.114,44.17191304063284,75.3610914740153,8.611298844616805,3.333151639934884,2.5835304765147247,0.7875307164596279,2.411585929960699
21066,20160125122800580.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2016-01-25 12:28:00.580,2016,25.5193,65.0749,-16.7893,1.70009,1.9,-12345,-12345,171.924,13.9,15.547965,5.15639,0.1425,0.002812,38.0,5.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,1.0,8,46.076,0.0588052,1,4.61486578,40,1827762.0,-1453724985.0,5.01302,1.114,36.89685904360348,127.25396543043162,2.549256121394625,1.154261842444044,2.208559641889234,12.298866985363333,1.9
21067,20140730112225200.KLUR.3-8.fb1,KLUR,65.0753,-16.7532,2014-07-30 11:22:25.200,2014,211.474,65.0211,-16.5026,13.2578,-0.2,-12345,-12345,66.428,14.7,15.339648,4.04435,0.15,0.001875,31.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,35.428,0.0588052,1,13.9130716,21,475.0669,-1406718985.0,6.32702,1.114,36.80378573830487,36.207593934542096,15.77233418284518,5.79835879061168,2.720137672125896,2.586506248771059,3.5210464280650733
21068,20140829084545560.KLUR.1-3.fb1,KLUR,65.0753,-16.7532,2014-08-29 08:45:45.560,2014,241.365,65.0445,-16.5683,9.35689,2.6,-12345,-12345,127.354,14.5,15.911977,3.4064,0.11,0.0125,-31.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,3,21.646,0.0588052,1,9.72813225,26,66304.08,-1409301985.0,2.34375,1.114,36.84131154385853,61.11553079783577,10.717213427181427,3.776074673675716,2.838188953702298,2.9124602354656304,3.5024663213911875
21069,20140719170525300.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2014-07-19 17:05:25.300,2014,200.712,65.0086,-16.5047,13.8671,0.6,-12345,-12345,50.393,14.099999,15.631104,5.06,0.03,0.006563,-60.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,69.607,0.0588052,1,3.94461036,49,264056.7,-1405789985.0,3.643,1.114,36.70016940212134,38.859980110628015,16.001752384838046,5.668496650559467,2.822927024797432,0.5292371466396162,3.572397125340052
21070,20140827085451200.KLUR.0.8-6.fb1,KLUR,65.0753,-16.7532,2014-08-27 08:54:51.200,2014,239.371,65.023,-16.6235,8.44711,1.9,-12345,-12345,43.908,13.9,15.384432,3.18479,0.03375,0.004687,-70.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.8,6,66.092,0.0588052,1,8.02172184,54,901957.7,-1409129985.0,3.55469,1.114,44.23558624803303,67.64871358613645,9.205772726845726,3.552754817661476,2.591164659346019,0.9499456150194874,2.400616888764377
21071,20160220211735560.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-02-20 21:17:35.560,2016,51.8871,65.0938,-16.7448,2.09586,3.8,-12345,-12345,130.743,13.9,15.255417,14.0576,0.02625,0.0,73.0,4.0,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,4.0,10,57.743,0.0588052,1,12.9534712,66,15152.05,-1456002985.0,7.90895,1.114,21.353041774500905,141.98130212331165,4.358051069180862,1.6949204987002555,2.571242174793932,1.548652347997859,3.8
21072,20151130140547160.KLUR.3-8.fb1,KLUR,65.0753,-16.7532,2015-11-30 14:05:47.160,2015,334.587,65.0427,-16.6023,7.98039,3.0,-12345,-12345,166.325,13.9,15.319275,5.52109,0.0225,0.0,30.0,2.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,3.0,8,43.675,0.0588052,1,22.5525265,57,7289.59,-1448891985.0,5.55099,1.114,37.164171099811945,65.65622184823553,9.218455181797845,3.3057080450089424,2.7886477136769976,0.6806329872233619,3.461664872107578
21073,20160406131000160.KLUR.3-8.fb1,KLUR,65.0753,-16.7532,2016-04-06 13:10:00.160,2016,97.5485,65.1615,-16.9691,13.9737,0.1,-12345,-12345,150.593,13.9,15.551083,3.53654,0.18,0.001875,5.0,5.75,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,3.0,8,34.407,0.0588052,1,9.22295284,26,14790.63,-1459947985.0,5.95543,1.114,36.729730795133776,37.07149398642793,16.347598464246126,5.891005076471689,2.775010079271095,3.0547929384610484,3.557739874572695
21074,20160601130337900.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-06-01 13:03:37.900,2016,153.544,65.0247,-16.7572,5.64629,2.3,-12345,-12345,178.579,14.099999,15.584929,4.17702,0.3,0.002812,32.0,4.75,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,33.421,0.0588052,1,3.06766844,54,4173.671,-1464785985.0,5.17394,1.114,44.75902530650351,87.1337672844011,6.339547080134979,2.547175412878495,2.488853750739854,11.737188827929046,2.311883094811256
21075,20160420081536380.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-04-20 08:15:36.380,2016,111.344,65.1216,-16.5192,12.1495,3.1,-12345,-12345,134.868,13.9,15.403289,3.09356,0.02625,0.00375,-23.0,5.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,22.132,0.0588052,1,4.75729895,56,484.5789,-1461139985.0,7.61719,1.114,36.48188577186951,66.30064032180137,13.424551344707004,4.528534917776231,2.964435869095435,0.579652801144448,3.680801667599425
21076,20140820202500680.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2014-08-20 20:25:00.680,2014,232.851,65.0131,-16.6574,8.2738,1.9,-12345,-12345,145.159,14.099999,15.422073,4.10357,0.02625,0.004687,-11.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,23.841,0.0588052,1,4.12930632,49,690796.0,-1408565985.0,7.32292,1.114,44.40710397986891,68.08047027684839,9.025107926463884,3.494425612449092,2.58271570993282,0.7511858200018651,2.3713047367002096
21077,20140803072037340.KLUR.2-6.fb1,KLUR,65.0753,-16.7532,2014-08-03 07:20:37.340,2014,215.306,65.0122,-16.7104,7.32136,2.1,-12345,-12345,97.874,13.9,15.968016,4.65017,0.23,0.03625,39.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,58.874,0.0588052,1,2.4416647,36,3682.438,-1407049985.0,2.81983,1.114,44.64275593855992,77.34037386076714,8.02944297488225,3.142050933721944,2.55547829881004,7.310279932983121,2.33143266413578
21078,20140828120333620.KLUR.0.5-5.fb1,KLUR,65.0753,-16.7532,2014-08-28 12:03:33.620,2014,240.502,65.0301,-16.5853,9.37268,0.7,-12345,-12345,165.47,13.9,15.544184,4.26276,0.19875,0.004687,13.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,27.53,0.0588052,1,3.23847008,61,1039202.0,-1409226985.0,5.12972,1.114,44.99704944926215,48.535476348746336,10.461264067192635,4.188641012945142,2.497531785336039,4.74230794091639,2.272367015489973
21079,20160209233449060.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-02-09 23:34:49.060,2016,40.9824,65.1575,-16.4935,15.2548,3.2,-12345,-12345,143.335,13.9,15.424214,4.06571,0.02625,0.001875,-15.0,3.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,21.665,0.0588052,1,8.46118355,53,573.5755,-1455060985.0,8.7717,1.114,35.41505578335206,65.63395736975907,16.691034858719373,5.424253357855704,3.0771119557950763,0.4839347386507597,4.181304718460918
21080,20140829050955460.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2014-08-29 05:09:55.460,2014,241.215,65.0211,-16.5005,13.3468,1.1,-12345,-12345,43.205,13.9,15.498852,5.37465,0.14625,0.004687,22.0,4.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,21.205,0.0588052,1,4.66426802,54,356479.9,-1409288985.0,5.95543,1.114,36.711110984027336,41.05474719189773,15.246287753090405,5.336218111169186,2.85713354204517,2.7401905895217737,3.566971368056315
21081,20151024144101680.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2015-10-24 14:41:01.680,2015,297.612,65.0723,-16.496,12.1054,3.9,-12345,-12345,160.079,14.099999,15.302556,4.68031,0.02625,0.000937,24.0,6.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,43.921,0.0588052,1,6.47509241,37,1190.484,-1445697985.0,7.3576,1.114,35.565818525150526,81.31036900663429,13.426189012919028,4.459280190134535,3.01084220781246,0.5886549281626685,4.11769444951508
21082,20160308010801140.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2016-03-08 01:08:01.140,2016,68.0471,65.1189,-16.5256,11.7514,4.1,-12345,-12345,164.445,14.3,15.37324,3.3269,0.03,0.002812,-46.0,7.25,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,1.0,8,30.445,0.0588052,1,4.33032894,46,314955.5,-1457398985.0,6.96023,1.114,35.2881021813508,82.83578193025775,13.104793283415695,4.350122489862923,3.012511329038149,0.6896275537144447,4.235378445673867
21083,20160705213014800.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-07-05 21:30:14.800,2016,187.896,65.1377,-16.4808,14.5691,3.4,-12345,-12345,139.899,14.099999,15.52871,3.82351,0.02625,0.00375,-7.0,8.75,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,33.101,0.0588052,1,2.86371279,36,391.5423,-1467753985.0,5.59683,1.114,35.50208419872453,71.78744026849502,15.94744575291078,5.202615336791317,3.0652748128686893,0.5045507160957641,4.144507593393753
21084,20140802141840620.KLUR.3-8.fb1,KLUR,65.0753,-16.7532,2014-08-02 14:18:40.620,2014,214.596,65.0409,-16.5619,9.78656,3.6,-12345,-12345,157.123,13.9,15.501304,5.92314,0.03,0.002812,4.0,4.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,26.877,0.0588052,1,4.75461912,59,5151.191,-1406988985.0,5.85286,1.114,36.48188068165249,85.03211588550663,11.010487678688264,3.792734866077376,2.9030470274015827,0.7909735805412765,3.680804199087337
21085,20151112090833640.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2015-11-12 09:08:33.640,2015,316.381,65.082,-16.8043,2.51622,2.2,-12345,-12345,10.944,13.9,15.444902,23.6727,0.0525,0.001875,58.0,8.75,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,47.056,0.0588052,1,11.0821581,26,9132.79,-1447318985.0,6.02948,1.114,39.99370561314131,115.5758158351574,3.365098054838103,1.4631424035161928,2.2999115101518286,3.587013292547425,2.2
21086,20160426091623780.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-04-26 09:16:23.780,2016,117.386,65.0238,-16.4898,13.6657,3.5,-12345,-12345,37.742,13.9,15.371186,7.28292,0.03,0.001875,-74.0,2.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,68.258,0.0588052,1,13.6692896,66,206.1572,-1461661985.0,6.43706,1.114,35.91348206208426,77.99853121069825,14.961671145755766,4.933981388698314,3.032372837892476,0.6080226163817315,3.966372422651708
21087,20140622112506800.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2014-06-22 11:25:06.800,2014,173.476,65.022,-16.6765,6.94841,3.0,-12345,-12345,33.022,14.5,15.262593,4.43794,0.09,0.004687,-78.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,68.978,0.0588052,1,4.51714993,36,570.3716,-1403435985.0,7.40132,1.114,41.5257550070394,90.98170001786735,7.838442737262231,2.987505638634873,2.623741570859083,3.011863420891814,3.0
21088,20160515033752760.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2016-05-15 03:37:52.760,2016,136.151,65.0212,-16.6765,7.03413,2.1,-12345,-12345,103.782,13.9,15.7307,6.30424,0.03375,0.004687,65.0,7.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,1.0,8,38.782,0.0588052,1,2.62348008,53,480113.6,-1463282985.0,3.91995,1.114,44.86983649066878,78.40620544933488,7.725893628914509,3.040950163615731,2.5406182979757608,1.1098163055578425,2.2934646448213805
21089,20160112004242000.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-01-12 00:42:42.000,2016,12.0295,65.0203,-16.668,7.33054,2.5,-12345,-12345,148.5,13.9,15.44054,4.64378,0.02625,0.00375,-9.0,5.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,22.5,0.0588052,1,6.42921829,48,242.6031,-1452558985.0,6.22596,1.114,43.35821402901456,83.91266151480532,8.090741862488926,3.1201440848411552,2.5930667438714843,0.8412924150377421,2.5686579751927185
21090,20140827135942160.KLUR.1-8.fb1,KLUR,65.0753,-16.7532,2014-08-27 13:59:42.160,2014,239.583,65.0319,-16.5216,11.9278,1.9,-12345,-12345,170.537,13.9,15.564667,5.98488,0.04125,0.005625,14.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,23.463,0.0588052,1,4.76453733,59,267077.4,-1409147985.0,5.68647,1.114,36.768339786899936,52.52132861293564,13.492274587708692,4.673095707746615,2.887224108280616,0.8826953069274168,3.538605103136586
21091,20150908051215820.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2015-09-08 05:12:15.820,2015,251.217,65.0651,-16.4812,12.8514,3.7,-12345,-12345,36.932,13.9,15.529228,3.81884,0.12375,0.028125,15.0,9.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,21.932,0.0588052,1,5.79577017,46,558.2505,-1441688985.0,6.15079,1.114,35.86223510860878,80.50387663183527,14.136312815297188,4.68408766785941,3.0179436888629727,2.6414623866728,3.99269430712759
21092,20151223212550340.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2015-12-23 21:25:50.340,2015,357.893,65.0194,-16.5768,10.3861,2.5,-12345,-12345,60.056,14.099999,15.381694,3.47625,0.12,0.00375,30.0,7.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,30.056,0.0588052,1,3.89186931,35,1030.69,-1450905985.0,7.47492,1.114,36.80925536961455,60.20062669389272,11.774385991818113,4.099378636683945,2.8722367547250056,2.926646081299112,3.518337688978745
21093,20160214222821920.KLUR.4-10.fb1,KLUR,65.0753,-16.7532,2016-02-14 22:28:21.920,2016,45.9362,65.0481,-16.5428,10.3575,3.1,-12345,-12345,178.548,13.9,15.284135,12.3497,0.02625,0.0,21.0,1.75,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,22.452,0.0588052,1,45.9545097,43,1505.036,-1455488985.0,6.32925,1.114,36.72042408092054,67.0454342439849,11.60862045855038,3.998204518310049,2.9034583912323435,0.6565376285436741,3.562353759357454
21094,20150812082226060.KLUR.3-8.fb1,KLUR,65.0753,-16.7532,2015-08-12 08:22:26.060,2015,224.349,65.0212,-16.6723,7.13849,2.2,-12345,-12345,24.308,13.9,15.650228,4.68231,0.14625,0.006563,-1.0,7.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,3.0,8,25.308,0.0588052,1,2.55401301,45,7207.996,-1439367985.0,4.288,1.114,44.41311499801257,79.16902609396138,7.849096065524133,3.0700574128589824,2.55666100335716,4.761054982633084,2.370279016774284
