,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
33640,20150213192053440.LOGR.0.5-5.fb1,LOGR,65.1584,-16.8233,2015-02-13 19:20:53.440,2015,44.8061,65.04,-16.5174,19.5233,3.9,-12345,-12345,42.536,14.3,15.801392,3.31517,0.14625,0.005625,9.0,7.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,0.5,5,33.536,0.0588052,1,5.81387711,34,69820860.0,-1423854985.0,3.61064,0.73,33.620650108778854,70.22450292414757,21.20462953604645,6.540304904656995,3.2421469404198247,2.2358548166636183,5.060796350520448
33641,20150623102307620.LOGR.1-8.fb1,LOGR,65.1584,-16.8233,2015-06-23 10:23:07.620,2015,174.433,65.0471,-16.7276,13.1986,1.6,-12345,-12345,73.762,14.3,15.6505,3.9279,0.1425,0.006563,13.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,60.762,0.0588052,1,3.68577218,27,104447.6,-1435054985.0,3.78605,0.73,36.67523642333846,44.92771311353736,14.895378776737804,5.13233352121124,2.902262433876757,2.7759799038136634,3.584763879910467
33642,20140802160831340.LOGR.1-8.fb1,LOGR,65.1584,-16.8233,2014-08-02 16:08:31.340,2014,214.673,65.0212,-16.6808,16.7075,1.3,-12345,-12345,116.34,13.9,15.392672,3.85981,0.3525,0.005625,-5.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,58.66,0.0588052,1,2.85349917,28,572970.1,-1406995985.0,6.02948,0.73,36.07935821226906,41.11697885519607,18.61514608457101,6.259583136982445,2.97386354285963,5.626907896296274,3.8815066893110703
33643,20140228032744320.LOGR.1-8.fb1,LOGR,65.1584,-16.8233,2014-02-28 03:27:44.320,2014,59.1442,65.0203,-16.6659,17.0891,1.7,-12345,-12345,89.913,14.099999,15.701962,6.90026,0.12375,0.002812,30.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,59.913,0.0588052,1,6.02528095,39,12777160.0,-1393557985.0,3.86719,0.73,35.89553395523953,46.159043598513776,18.86908302100219,6.244574629371596,3.021676277556318,1.981525722844424,3.97557228412927
33644,20131123120006620.LOGR.2-3.fb1,LOGR,65.1584,-16.8233,2013-11-23 12:00:06.620,2013,327.5,65.0158,-16.668,17.4998,2.0,-12345,-12345,170.806,14.7,15.914463,3.58196,0.25,0.01125,13.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,3,22.194,0.0588052,1,9.5471344,22,7179.905,-1385207985.0,2.32747,0.73,35.25842873798581,52.45845675333841,19.309804272587307,6.287560800432815,3.0711121348135646,3.974534436436272,4.248097718287923
33645,20140604194745320.LOGR.4-10.fb1,LOGR,65.1584,-16.8233,2014-06-04 19:47:45.320,2014,155.825,65.0212,-16.6659,16.999,2.2,-12345,-12345,152.777,14.5,15.302907,3.51545,0.09,0.001875,36.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,63.223,0.0588052,1,9.65688705,23,1342.598,-1401910985.0,7.93159,0.73,35.37963722648581,54.35044227625099,18.71547932347434,6.10051993044293,3.067849877857132,1.4752038271637955,4.196356339767194
33646,20151218090918960.LOGR.3-8.fb1,LOGR,65.1584,-16.8233,2015-12-18 09:09:18.960,2015,352.381,65.0919,-16.7788,7.70222,2.7,-12345,-12345,84.186,14.5,15.48381,4.285,0.14625,0.002812,22.0,5.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,62.186,0.0588052,1,9.48922729,21,24012.54,-1450429985.0,7.06335,0.73,42.56398977184117,84.7845831830137,8.515297894263286,3.240964193075014,2.6273964743140232,4.510251101826412,2.7511654422852256
33647,20151208020132460.LOGR.3-8.fb1,LOGR,65.1584,-16.8233,2015-12-08 02:01:32.460,2015,342.084,65.0212,-16.6787,16.7477,2.1,-12345,-12345,131.331,14.5,15.59427,3.53426,0.06,0.006563,18.0,8.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,66.669,0.0588052,1,5.33319807,29,242632.0,-1449539985.0,4.89032,0.73,35.60180606391589,53.932449955730974,18.44767963247641,6.048606362701636,3.049905800819328,0.991939638421968,4.102563843207363
33648,20150810015319940.LOGR.2-6.fb1,LOGR,65.1584,-16.8233,2015-08-10 01:53:19.940,2015,222.079,65.0319,-16.6893,15.448,2.1,-12345,-12345,27.916,14.7,15.454225,3.68092,0.18375,0.00375,82.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,54.084,0.0588052,1,4.58664083,22,16671.45,-1439171985.0,3.78605,0.73,36.17127417642757,55.03520996726116,17.034948579332138,5.671660946871728,3.003520263094705,3.238941993533473,3.835585187252038
33649,20130708234748380.LOGR.3-8.fb1,LOGR,65.1584,-16.8233,2013-07-08 23:47:48.380,2013,189.991,65.022,-16.6723,16.7804,1.9,-12345,-12345,93.174,14.5,15.523205,3.18904,0.15,0.00375,31.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,62.174,0.0588052,1,6.47944021,24,5344.234,-1373326985.0,5.12695,0.73,35.91521440439725,51.0485692262673,18.48932425992321,6.105123964441777,3.02849284758361,2.456581887507525,3.965484567036091
33650,20130816233638300.LOGR.2-6.fb1,LOGR,65.1584,-16.8233,2013-08-16 23:36:38.300,2013,228.984,65.022,-16.6702,16.8227,2.1,-12345,-12345,108.674,13.9,15.700342,3.74987,0.12,0.008437,-6.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,65.326,0.0588052,1,3.09525275,35,87637.09,-1376695985.0,3.89648,0.73,35.54951315673563,53.83225931987456,18.5437180033959,6.073190420285778,3.053373386985504,1.975704390491728,4.124552118874888
33651,20151121074750760.LOGR.3-8.fb1,LOGR,65.1584,-16.8233,2015-11-21 07:47:50.760,2015,325.325,65.0203,-16.668,17.0462,2.2,-12345,-12345,133.039,13.9,15.604177,4.56138,0.06,0.02625,21.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,67.961,0.0588052,1,5.03894711,27,6211.213,-1448091985.0,5.23303,0.73,35.35449060731572,54.30109239912477,18.7687921422177,6.114308295654933,3.069650929370954,0.9812811642746057,4.20707213656379
33652,20140327130743440.LOGR.1-8.fb1,LOGR,65.1584,-16.8233,2014-03-27 13:07:43.440,2014,86.5469,65.031,-16.6893,15.5394,1.8,-12345,-12345,74.152,14.5,15.506795,3.45502,0.1425,0.00375,18.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,56.152,0.0588052,1,5.65440512,25,779253.4,-1395925985.0,4.08793,0.73,36.240204685624825,49.06921460476656,17.21683076795994,5.7663611989097685,2.985735748085826,2.470851991965617,3.801182604361913
