,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32614,20070725075742260.LOKA.1-8.fb1,LOKA,65.157,-16.8204,2007-07-25 07:57:42.260,2007,206.332,65.0759,-16.5002,17.55,2.6,-12345,-12345,56.219,13.9,15.323408,3.0451,0.0525,0.002812,-67.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,56.781,0.0588052,1,7.94261742,28,22524.57,-1185349985.0,6.61765,0.734,34.81032150532817,56.47319992501356,19.259960229846083,6.176944486672237,3.1180400392787373,0.849919438516622,4.442792626880935
32615,20081010144442500.LOKA.2-6.fb1,LOKA,65.157,-16.8204,2008-10-10 14:44:42.500,2008,284.614,65.1296,-16.7727,3.78713,3.1,-12345,-12345,129.206,13.9,15.318153,16.7774,0.025,0.00125,5.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,2.0,6,55.794,0.0588052,1,30.201046,61,179875.7,-1223649985.0,6.25,0.734,36.72370632369689,112.94417465259151,4.958733435908175,1.9825383958506533,2.501204237096512,1.2609594997258,3.1
32616,20100210172230680.LOKA.2-6.fb1,LOKA,65.157,-16.8204,2010-02-10 17:22:30.680,2010,41.7238,65.0342,-16.9525,15.0314,5.6,-12345,-12345,88.8,14.7,15.887905,4.18624,0.28,0.0075,-59.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,2.0,6,32.2,0.0588052,1,7.02242994,20,10668.22,-1265822985.0,2.87298,0.734,33.0302728411888,92.0143901974795,16.725498258360112,5.230457014123562,3.1977125924555003,5.349430926700904,5.6
32617,20080929121204380.LOKA.3-8.fb1,LOKA,65.157,-16.8204,2008-09-29 12:12:04.380,2008,273.508,65.0203,-16.6553,17.1071,1.3,-12345,-12345,20.133,13.9,15.4878,3.76181,0.11,0.0025,-20.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,40.133,0.0588052,1,5.02561522,38,3023.31,-1222689985.0,5.69661,0.734,35.985939294473944,41.00509928921547,19.04398668168405,6.377327432691041,2.986201803605379,1.7247321975034424,3.929253438159901
32618,20070731000721120.LOKA.2-6.fb1,LOKA,65.157,-16.8204,2007-07-31 00:07:21.120,2007,212.005,65.022,-16.6829,16.3763,2.0,-12345,-12345,76.032,14.7,15.339171,3.80447,0.13125,0.006563,10.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,66.032,0.0588052,1,7.20729399,31,11925.48,-1185839985.0,5.52357,0.734,35.98421511487956,53.80922390955645,18.04044258686708,5.96570095472246,3.0240273060596885,2.1998105919237787,3.930136319505354
32619,20100314004422340.LOKA.3-8.fb1,LOKA,65.157,-16.8204,2010-03-14 00:44:22.340,2010,73.0307,65.0194,-16.668,16.9352,2.0,-12345,-12345,114.893,13.9,15.383604,5.57345,0.035,0.00125,-30.0,9.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,35.107,0.0588052,1,11.80797,30,1107.361,-1268526985.0,4.89032,0.734,35.56650405962185,53.028139325520186,18.680148021915684,6.125637560429645,3.049502657908719,0.5713644335742174,4.117406159774122
32620,20090706190407700.LOKA.3-8.fb1,LOKA,65.157,-16.8204,2009-07-06 19:04:07.700,2009,187.794,65.0668,-16.8042,10.0875,1.4,-12345,-12345,167.58,13.9,15.527077,3.06101,0.0475,0.005,54.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,66.42,0.0588052,1,9.49810791,40,1951.852,-1246906985.0,6.25,0.734,43.5950426906814,50.912079637808624,11.048510246112189,4.231035032299156,2.6113020009925085,1.122621369390231,2.51574112718943
32621,20090513093752360.LOKA.2-6.fb1,LOKA,65.157,-16.8204,2009-05-13 09:37:52.360,2009,133.401,65.0203,-16.6638,16.9302,2.2,-12345,-12345,41.499,14.7,15.3702,4.25703,0.135,0.00125,-3.0,0.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,2.0,6,44.499,0.0588052,1,275.034302,10,3518.344,-1242206985.0,4.27989,0.734,35.4138236212486,54.41760307226761,18.64167891410738,6.081437051044432,3.0653410958033085,2.219596644029309,4.181826915519236
32622,20080831125953980.LOKA.1-8.fb1,LOKA,65.157,-16.8204,2008-08-31 12:59:53.980,2008,244.542,65.0203,-16.668,16.8445,2.0,-12345,-12345,36.586,14.7,15.515269,3.04944,0.11,0.003125,-11.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,47.586,0.0588052,1,5.26615715,25,488160.4,-1220187985.0,5.99798,0.734,35.62302293461008,53.13323031334564,18.577153153064334,6.099376319328835,3.045746348555934,1.803316460213012,4.093646606063886
32623,20080929154334780.LOKA.4-10.fb1,LOKA,65.157,-16.8204,2008-09-29 15:43:34.780,2008,273.655,65.0221,-16.6468,17.1153,2.0,-12345,-12345,125.859,13.9,15.439795,4.41188,0.03,0.00125,-8.0,9.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,46.141,0.0588052,1,13.2425699,36,3279.39,-1222702985.0,7.8125,0.734,35.46166727314976,52.833685723289456,18.88137294638294,6.177209255418735,3.056618638881293,0.4856533406154995,4.161556380111505
