,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
41684,20071003074544180.LOKAA.2-3.fb1,LOKAA,65.157,-16.8204,2007-10-03 07:45:44.180,2007,276.323,65.0237,-16.7975,14.8968,9.0,-12345,-12345,125.112,14.3,16.104414,3.44168,0.29375,0.009375,4.0,7.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,3,58.888,0.0588052,1,6.32417583,23,32121.28,-1191397985.0,2.46094,0.734,29.879561679213666,111.83323267263516,17.724800799878857,5.417094948277839,3.2720122074865587,5.418667679137457,9.0
41685,20071223013656960.LOKAA.3-8.fb1,LOKAA,65.157,-16.8204,2007-12-23 01:36:56.960,2007,357.067,65.0176,-16.6871,16.7619,5.5,-12345,-12345,178.754,13.9,15.659129,3.14642,0.121875,0.003906,-31.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,29.754,0.0588052,1,4.50307941,31,18351.87,-1198373985.0,4.51172,0.734,33.072859688293974,89.52130931299274,18.433772510012577,5.697019493704672,3.235687104525847,2.1390318093324368,5.5062457503454425
41686,20070929222448300.LOKAA.2-3.fb1,LOKAA,65.157,-16.8204,2007-09-29 22:24:48.300,2007,272.934,65.0131,-16.6892,17.1912,7.0,-12345,-12345,5.654,14.3,15.652834,9.47941,0.13125,0.0,-27.0,1.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,3,32.654,0.0588052,1,333.79068,28,138.1392,-1191104985.0,2.46094,0.734,32.3032519805993,100.84420520060816,19.12625677266948,5.85511285580448,3.2665906266364484,2.241349046465757,7.0
41687,20070911154442580.LOKAA.3-8.fb1,LOKAA,65.157,-16.8204,2007-09-11 15:44:42.580,2007,254.656,65.0749,-16.7957,9.23056,5.2,-12345,-12345,40.152,13.9,15.730964,4.96558,0.115625,0.003125,-3.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,43.152,0.0588052,1,5.77314329,48,7897.174,-1189525985.0,3.85,0.734,32.89843900908398,99.76792091675983,10.943675216598123,3.65099059323108,2.997453687469819,3.166155043916774,5.2
41688,20071202081922320.LOKAA.4-10.fb1,LOKAA,65.157,-16.8204,2007-12-02 08:19:22.320,2007,336.347,65.0658,-16.836,10.1902,4.2,-12345,-12345,176.06,14.099999,15.402352,5.54312,0.1125,0.003125,-50.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,46.06,0.0588052,1,3.49458051,26,61167.09,-1196583985.0,6.62791,0.734,35.34075632144868,87.78930194950956,11.554246265682355,3.9044678650539817,2.959237126548258,2.880716765366742,4.212926174133828
41689,20071031104726200.LOKAA.1-8.fb1,LOKAA,65.157,-16.8204,2007-10-31 10:47:26.200,2007,304.45,65.0131,-16.668,17.5726,2.1,-12345,-12345,95.851,14.5,15.335128,5.08956,0.134375,0.008594,30.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,65.851,0.0588052,1,6.9921546,17,130107300.0,-1193827985.0,5.67568,0.734,35.15064535882235,53.07366785915834,19.375914273723264,6.287536732333183,3.081638342418596,2.136920472548809,4.2944851489897005
41690,20071113183239060.LOKAA.4-10.fb1,LOKAA,65.157,-16.8204,2007-11-13 18:32:39.060,2007,317.772,65.0757,-16.7979,9.1195,2.7,-12345,-12345,36.635,14.7,15.411199,5.10815,0.0625,0.000781,82.0,2.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,45.365,0.0588052,1,35.1273651,17,2321.607,-1194978985.0,7.06522,0.734,36.842008296998166,61.980287569474896,10.471697880856253,3.6942034059481537,2.834629480335447,1.6917186574474383,3.502121425020131
41691,20071114194829560.LOKAA.1-8.fb1,LOKAA,65.157,-16.8204,2007-11-14 19:48:29.560,2007,318.825,65.0928,-16.8086,7.18071,3.6,-12345,-12345,168.587,14.099999,15.514688,10.8426,0.05,0.002344,53.0,5.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,1.0,8,64.413,0.0588052,1,13.4901028,39,2299974.0,-1195069985.0,6.54762,0.734,36.642190431453606,90.0,8.403941383372441,3.024144840550327,2.778948042000234,1.6532469872998945,3.6
41692,20071206035300260.LOKAA.1-8.fb1,LOKAA,65.157,-16.8204,2007-12-06 03:53:00.260,2007,340.162,65.0748,-16.817,9.16202,3.9,-12345,-12345,7.377,14.7,15.606696,4.26722,0.053125,0.002344,67.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,59.623,0.0588052,1,14.7983341,32,1625944.0,-1196912985.0,5.15152,0.734,36.04104474413741,89.44969310168271,10.443407883323426,3.608675614326861,2.893972470637672,1.4720669756854932,3.9010463734688416
41693,20071221054833740.LOKAA.3-8.fb1,LOKAA,65.157,-16.8204,2007-12-21 05:48:33.740,2007,355.242,65.0346,-16.4983,20.3849,4.6,-12345,-12345,21.588,14.7,15.505013,3.0907,0.35625,0.021094,89.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,67.412,0.0588052,1,5.49259281,17,26238.74,-1198215985.0,5.03788,0.734,33.21714785690635,75.39453866636588,22.06888876190028,6.716924762647654,3.285564382769897,5.300041791026899,5.383635197945756
