,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
41640,20080608073241000.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-06-08 07:32:41.000,2008,160.314,65.0667,-16.8382,10.0987,5.1,-12345,-12345,159.589,13.9,15.524525,3.43281,0.1125,0.004688,-48.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,27.589,0.0588052,1,5.34989166,34,611147.9,-1212909985.0,6.37195,0.734,33.38111749642311,95.73264854000232,11.742933117598024,3.884960710720356,3.0226645755242734,2.895175366921876,5.1
41641,20080608051605580.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-06-08 05:16:05.580,2008,160.219,65.0667,-16.8382,10.0987,5.0,-12345,-12345,174.589,14.5,15.662235,3.20416,0.11875,0.002344,-37.0,5.75,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,31.589,0.0588052,1,13.9476509,33,17884.04,-1212901985.0,4.03846,0.734,33.59186372089118,94.26940740040271,11.708637578804003,3.8825294546143714,3.015724082888369,3.057858082023301,5.0
41642,20080608175952120.LOKAS.4-10.fb1,LOKAS,65.157,-16.8204,2008-06-08 17:59:52.120,2008,160.75,65.022,-16.6871,16.2987,2.1,-12345,-12345,102.702,14.099999,15.422316,3.35964,0.04375,0.001563,-37.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,40.298,0.0588052,1,6.39837933,38,778.7307,-1212947985.0,5.29412,0.734,35.96867530224441,54.64037209047753,17.935037296584827,5.922261980754757,3.028409981670401,0.7387279262900392,3.9380944878208632
41643,20080419020609720.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-04-19 02:06:09.720,2008,110.088,65.022,-16.668,16.6636,2.9,-12345,-12345,178.967,14.099999,15.583476,3.43505,0.125,0.003906,-28.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,26.967,0.0588052,1,6.07561445,30,790.1147,-1208570985.0,4.66667,0.734,35.00151131578083,59.11723748973133,18.26714251694308,5.877001100038921,3.108242146972221,2.1266946190536373,4.359093179134225
41644,20080609181512140.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-06-09 18:15:12.140,2008,161.76,65.0667,-16.8339,10.0834,5.0,-12345,-12345,157.578,14.3,15.547146,5.09834,0.121875,0.005469,-51.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,28.578,0.0588052,1,6.4448843,27,13310.96,-1213034985.0,5.03788,0.734,33.5893995747922,94.31881876639012,11.694364450398576,3.878500563511917,3.015176679466439,3.141547291852476,5.0
41645,20080608061816560.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-06-08 06:18:16.560,2008,160.263,65.0667,-16.836,10.0905,4.2,-12345,-12345,173.638,13.9,15.662235,4.35683,0.115625,0.003906,-37.0,6.75,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,3.0,8,30.638,0.0588052,1,6.72117853,37,14556.29,-1212905985.0,4.03846,0.734,35.348586626136964,88.09670242564876,11.453516309108297,3.875740139986354,2.9551816931536137,2.9826376500125207,4.209588499833208
41646,20080519220434780.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-19 22:04:34.780,2008,140.92,65.022,-16.668,16.6636,2.6,-12345,-12345,1.553,14.3,15.476918,3.59462,0.121875,0.003906,-30.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,31.553,0.0588052,1,6.37861156,32,17161.78,-1211234985.0,4.43548,0.734,35.241532129827505,57.41861394788248,18.30115702404228,5.930144345789694,3.0861233651143416,2.054960661283189,4.2553655504041785
41647,20080419121553560.LOKAS.4-10.fb1,LOKAS,65.157,-16.8204,2008-04-19 12:15:53.560,2008,110.511,65.022,-16.6659,16.7066,3.0,-12345,-12345,109.814,14.5,15.386823,3.79012,0.046875,0.002344,-34.0,8.5,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,36.186,0.0588052,1,7.3585515,21,250.1951,-1208606985.0,4.375,0.734,34.89557746498692,59.6323675234985,18.3043354909497,5.87222369129941,3.117104601800226,0.7982368480213609,4.405280586991919
41648,20080223095702380.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-02-23 09:57:02.380,2008,54.4145,65.1324,-16.5,15.2815,4.1,-12345,-12345,142.194,14.5,15.931463,4.27216,0.2875,0.003906,-82.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,44.194,0.0588052,1,4.4461813,36,53898.11,-1203760985.0,2.8125,0.734,34.37429128782897,75.86146830933488,16.77752193731861,5.348758260778895,3.136713442509447,5.371202584448298,4.652633031203182
41649,20080423101512720.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-04-23 10:15:12.720,2008,114.427,65.022,-16.6659,16.7066,2.0,-12345,-12345,18.653,13.9,15.544456,3.8376,0.134375,0.002344,-16.0,4.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,34.653,0.0588052,1,10.6501122,29,4755.835,-1208945985.0,4.48276,0.734,35.899610728563154,53.65018811756819,18.38816128134524,6.062060155433351,3.033318840438122,2.216383442436154,3.973482423785692
41650,20080601151224420.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-06-01 15:12:24.420,2008,153.633,65.022,-16.6765,16.4964,2.1,-12345,-12345,42.7,13.9,15.498229,4.46884,0.1375,0.002344,-10.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,52.7,0.0588052,1,11.6729345,36,2651.883,-1212332985.0,4.26724,0.734,35.918311810356336,54.54265831260973,18.142523893761343,5.979800060013371,3.0339683119306127,2.29910412402603,3.963897140980679
41651,20080513050240520.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-13 05:02:40.520,2008,134.21,65.0758,-16.7511,9.61956,1.3,-12345,-12345,178.107,13.9,15.386823,5.32839,0.1375,0.004688,-37.0,6.5,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,35.107,0.0588052,1,6.88986731,23,5239.963,-1210654985.0,4.375,0.734,43.977637308413286,50.83893091062736,10.583558969307536,4.099245928275505,2.581830696300744,3.3533324975287826,2.445255222329954
41652,20080523062418960.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-23 06:24:18.960,2008,144.267,65.0229,-16.6787,16.3644,2.1,-12345,-12345,19.578,13.9,15.801678,3.31205,0.128125,0.005469,-15.0,9.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,34.578,0.0588052,1,4.03371525,33,16619.5,-1211523985.0,3.32386,0.734,35.9526304132396,54.60922357035306,18.001976094443677,5.940834273633817,3.030210112801623,2.156432900132188,3.9463129569607
41653,20080524060606560.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-24 06:06:06.560,2008,145.254,65.0203,-16.6659,16.8871,2.4,-12345,-12345,10.17,13.9,15.419331,4.39705,0.134375,0.003906,-30.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,40.17,0.0588052,1,6.39486599,31,2868.144,-1211608985.0,4.71774,0.734,35.28506353132738,55.8920088151072,18.56413675445676,6.029099131179164,3.0790896534530874,2.228497388192352,4.236674603569642
41654,20080420093320080.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-04-20 09:33:20.080,2008,111.398,65.1017,-16.8619,6.4684,3.2,-12345,-12345,175.395,13.9,15.606836,6.03267,0.15,0.004688,64.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,68.605,0.0588052,1,4.93197441,30,10464.04,-1208683985.0,5.14706,0.734,39.16250461132624,83.07785695626077,7.51376252557455,2.823161838023156,2.6614707043631136,5.3094471815619215,3.2362071510239145
41655,20080508170033380.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-08 17:00:33.380,2008,129.709,65.0731,-16.7128,10.6269,3.0,-12345,-12345,20.137,13.9,15.398091,6.28197,0.05,0.007812,88.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,67.863,0.0588052,1,10.2164402,31,9073.836,-1210265985.0,4.66667,0.734,36.71420993012642,64.3720842169701,11.913869193166626,4.095928085419959,2.908710540005755,1.220679083849063,3.5654347901204826
41656,20080621175958860.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-06-21 17:59:58.860,2008,173.75,65.1938,-16.9866,8.80374,1.4,-12345,-12345,140.224,14.3,15.506329,3.08586,0.15625,0.010156,29.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,68.776,0.0588052,1,4.58662653,18,26383.5,-1214070985.0,3.27381,0.734,44.71848576801248,52.37408423390215,9.66365283929149,3.7858778238781374,2.552552747038292,4.125424176641701,2.318694967628684
41657,20080529130128020.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-29 13:01:28.020,2008,150.543,65.0848,-16.749,8.72181,5.5,-12345,-12345,16.793,14.099999,15.544456,4.11291,0.125,0.001563,-20.0,4.75,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,6,36.793,0.0588052,1,8.53853321,39,9002.117,-1212065985.0,4.48276,0.734,31.902491490465536,104.44381978414856,10.602091539013625,3.533097959752036,3.000791843246178,3.536865082792673,5.5
41658,20080419001335260.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-04-19 00:13:35.260,2008,110.009,65.1026,-16.8321,6.08782,2.3,-12345,-12345,107.553,14.3,15.477222,3.07132,0.115625,0.020313,49.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,58.553,0.0588052,1,8.93160248,22,82923.87,-1208563985.0,6.8608,0.734,44.60611795341902,84.91062567518681,6.791572876092462,2.7025594908262685,2.513015124790477,4.2763956876413545,2.3376011170939783
41659,20080611210120880.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-06-11 21:01:20.880,2008,163.876,65.0676,-16.8382,9.99908,4.1,-12345,-12345,167.243,13.9,15.535966,3.56744,0.103125,0.003906,-45.0,7.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,1.0,8,32.243,0.0588052,1,3.65325117,40,273278.5,-1213217985.0,5.85938,0.734,35.57615617899267,87.7491563968456,11.333894433331748,3.850316292736313,2.943626853386911,2.67787123033969,4.1133473886969565
41660,20080527163801600.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-05-27 16:38:01.600,2008,148.693,65.022,-16.6765,16.4964,2.3,-12345,-12345,15.039,14.5,15.506329,4.71384,0.128125,0.005469,-23.0,10.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,38.039,0.0588052,1,6.67498827,21,19259.61,-1211905985.0,3.27381,0.734,35.5731490481167,55.60428483286188,18.153673500568853,5.939145038325784,3.0566139374306784,2.157046098722049,4.114611851886278
41661,20080608103329980.LOKAS.2-6.fb1,LOKAS,65.157,-16.8204,2008-06-08 10:33:29.980,2008,160.44,65.0658,-16.8382,10.1982,5.2,-12345,-12345,3.733,14.7,15.567385,4.23404,0.11875,0.002344,-31.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,34.733,0.0588052,1,15.9710188,35,14318.77,-1212920985.0,3.58696,0.734,33.20086955064112,96.52082208349316,11.873794766235438,3.9151377880074096,3.032791030396544,3.0324016013778987,5.2
41662,20080608040327820.LOKAS.2-3.fb1,LOKAS,65.157,-16.8204,2008-06-08 04:03:27.820,2008,160.169,65.0667,-16.8403,10.1078,5.7,-12345,-12345,166.954,14.7,15.89915,10.3778,0.13125,0.003125,-40.0,3.5,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,2.0,3,26.954,0.0588052,1,33.4683151,34,2915.64,-1212897985.0,2.46094,0.734,32.18270617389472,102.29054075724017,11.97299444674426,3.912282317690968,3.060360545199798,3.353875826435626,5.7
41663,20080130140802400.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-01-30 14:08:02.400,2008,30.5888,65.0229,-16.6702,16.5305,2.2,-12345,-12345,10.423,14.7,15.384226,3.47517,0.115625,0.000781,-27.0,2.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,3.0,8,37.423,0.0588052,1,46.4970131,18,2342.411,-1201701985.0,4.43548,0.734,35.872864473957755,55.32751453355644,18.15337888192719,5.968769242302574,3.0413939867650424,1.9369848278799395,3.987213725980729
41664,20080101154058800.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-01-01 15:40:58.800,2008,1.65331,65.1188,-16.8195,4.26123,2.9,-12345,-12345,87.971,13.9,15.370719,16.7824,0.13125,0.002344,18.0,2.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,69.971,0.0588052,1,29.0489712,29,8900940.0,-1199201985.0,6.23438,0.734,39.69945986462344,107.11504830135468,5.24766740113291,2.1052465854091533,2.4926616375976827,6.228377824889009,2.9000000000000004
41665,20080216132714060.LOKAS.4-10.fb1,LOKAS,65.157,-16.8204,2008-02-16 13:27:14.060,2008,47.5605,65.0597,-16.5407,17.0399,2.0,-12345,-12345,88.44,14.7,15.551895,3.71718,0.059375,0.0,-47.0,2.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,44.56,0.0588052,1,50.2976837,15,655.2461,-1203167985.0,5.92105,0.734,35.50625089500346,52.91630471902936,18.79224159210168,6.154369132016118,3.0534797619371106,0.9647393126073212,4.142754006261942
41666,20080219035306900.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-02-19 03:53:06.900,2008,50.1618,65.0633,-16.5343,17.0235,1.9,-12345,-12345,171.809,14.7,15.459371,3.83207,0.1375,0.0,-53.0,0.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,44.809,0.0588052,1,169.99025,10,284.0859,-1203392985.0,5.14706,0.734,35.5945834341555,50.50304547347986,18.790571943285947,6.172165792267782,3.044404926197211,2.2274668098418715,4.105599981314335
41667,20080603061650480.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-06-03 06:16:50.480,2008,155.262,65.0229,-16.6871,16.2065,2.1,-12345,-12345,124.754,13.9,15.600191,3.34474,0.034375,0.003125,-14.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,41.246,0.0588052,1,4.85405922,49,93371.0,-1212473985.0,4.26724,0.734,35.99162461730821,54.68495492768094,17.837731496446125,5.895255328350046,3.0257775962077824,0.583091077521658,3.9263423552307497
41668,20080525035113060.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-05-25 03:51:13.060,2008,146.161,65.0131,-16.668,17.5726,2.1,-12345,-12345,177.324,13.9,15.403164,3.03804,0.11875,0.002344,-37.0,6.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,1.0,8,34.324,0.0588052,1,5.31806135,45,222429.7,-1211686985.0,5.29412,0.734,35.15064535882235,53.07366785915834,19.375914273723264,6.287536732333183,3.081638342418596,1.888488566147828,4.2944851489897005
41669,20080521122013920.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-05-21 12:20:13.920,2008,142.514,65.014,-16.668,17.4813,2.1,-12345,-12345,11.295,13.9,15.611598,3.2903,0.11875,0.004688,-21.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,32.295,0.0588052,1,5.5910244,29,139217.8,-1211371985.0,5.0,0.734,35.198825801712914,53.164783952309264,19.27401055143958,6.261343722054742,3.0782546697683224,1.8963872421181804,4.273741810702567
41670,20080518055520220.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-05-18 05:55:20.220,2008,139.247,65.031,-16.6893,15.3392,2.1,-12345,-12345,9.764,14.5,15.355128,3.12062,0.146875,0.00625,-21.0,6.75,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,1.0,8,30.764,0.0588052,1,6.53889561,23,45836.04,-1211089985.0,4.0625,0.734,36.19581023836345,55.0832219970947,16.92524780648021,5.64063550438992,3.0005923611458054,2.6034320501068464,3.823335991838405
41671,20080508170055660.LOKAS.1-8.fb1,LOKAS,65.157,-16.8204,2008-05-08 17:00:55.660,2008,129.709,65.0713,-16.7149,10.7573,3.0,-12345,-12345,63.495,14.7,18.07,3.00159,0.09375,0.014063,13.0,8.5,0.0,anginc_corr,ass_5_25,Apr,comment,20,ACl,1.0,8,50.495,0.0588052,1,1.86850297,63,180756.1,-1210265985.0,0.833333,0.734,36.70047835720615,64.33372510437768,12.046512715287056,4.134909491849435,2.9133679320025383,2.266989279695508,3.572243908805948
41672,20080228180720060.LOKAS.3-8.fb1,LOKAS,65.157,-16.8204,2008-02-28 18:07:20.060,2008,59.755,65.0749,-16.7745,9.4054,3.1,-12345,-12345,26.868,13.9,15.764775,4.48935,0.115625,0.003125,-10.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,36.868,0.0588052,1,7.58722067,35,21802.09,-1204221985.0,3.75,0.734,36.796834411290895,67.28838816231352,10.661246024616643,3.7184892303338417,2.8670907361104527,3.108710489817668,3.5244892301862683
