,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
33023,20140902053753020.LOKT.3-8.fb1,LOKT,65.1362,-16.9151,2014-09-02 05:37:53.020,2014,245.234,65.0481,-16.5237,20.8623,3.4,-12345,-12345,71.268,14.099999,15.609035,4.6451,0.15375,0.005625,-41.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,67.732,0.0588052,1,4.71173906,36,12306.4,-1409635985.0,5.07812,0.63,33.61407832689348,64.89295353071903,22.63118563518764,6.961551687083263,3.250882368248221,2.2082900866053023,5.065985873101056
33024,20130306142902540.LOKT.2-6.fb1,LOKT,65.1362,-16.9151,2013-03-06 14:29:02.540,2013,65.6034,65.0839,-16.5002,20.3461,1.1,-12345,-12345,93.243,13.9,15.564817,3.51356,0.06,0.010312,25.0,10.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,68.243,0.0588052,1,5.0657959,32,153718.5,-1362579985.0,5.68061,0.63,34.44791232733635,38.42469545392569,22.721491159173567,7.3660971181675,3.084603799634141,0.8145291034168167,4.615667474717448
33025,20130529113649060.LOKT.2-6.fb1,LOKT,65.1362,-16.9151,2013-05-29 11:36:49.060,2013,149.484,65.0489,-16.5025,21.7034,2.1,-12345,-12345,78.123,14.7,15.418471,5.86413,0.14625,0.005625,-34.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,67.877,0.0588052,1,9.07897663,24,17150.15,-1369826985.0,4.34028,0.63,33.69000673920528,50.37271797549638,23.85028054343828,7.438648306896898,3.20626538040856,1.965893043032452,5.006157070578334
33026,20121027184119240.LOKT.1-8.fb1,LOKT,65.1362,-16.9151,2012-10-27 18:41:19.240,2012,301.779,65.0418,-16.5428,20.4269,0.9,-12345,-12345,48.708,14.5,15.512758,4.02229,0.02625,0.00375,25.0,7.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,23.708,0.0588052,1,6.78108835,30,90622.84,-1351362985.0,4.8125,0.63,34.47417263778398,37.67476589276487,22.895511564784343,7.461560661431893,3.0684614926645435,0.3518019884950263,4.602546925935643
33027,20140426100044060.LOKT.2-6.fb1,LOKT,65.1362,-16.9151,2014-04-26 10:00:44.060,2014,116.417,65.0328,-16.6957,15.4753,2.0,-12345,-12345,138.307,14.7,15.583284,3.55448,0.1275,0.009375,73.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,65.307,0.0588052,1,6.56556797,26,2051.643,-1398505985.0,5.22727,0.63,36.19950140155746,54.21588220043789,17.08138790144195,5.69820702834719,2.997677658334668,2.2372659467137623,3.82149357589282
33028,20130309132840400.LOKT.4-10.fb1,LOKT,65.1362,-16.9151,2013-03-09 13:28:40.400,2013,68.5615,65.0911,-16.4832,20.9053,1.8,-12345,-12345,160.239,13.9,15.433765,3.21945,0.09,0.002812,30.0,8.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,49.761,0.0588052,1,2.76552844,41,11133.49,-1362835985.0,6.64062,0.63,33.99803674947294,45.61019239072426,23.07648437829554,7.291140408297183,3.1650034269035507,1.2343277860367152,4.8439876182715285
33029,20150510104353220.LOKT.2-3.fb1,LOKT,65.1362,-16.9151,2015-05-10 10:43:53.220,2015,130.447,65.0212,-16.6871,16.7221,1.5,-12345,-12345,72.949,14.5,16.054895,6.60828,0.15,0.00625,16.0,8.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,2.0,3,56.949,0.0588052,1,24.5609665,20,307.2479,-1431254985.0,2.52404,0.63,36.03820261169486,41.87520375482564,18.54973676594695,6.196472436543487,2.993596268830392,2.4203776129354537,3.902500705678812
33030,20130302152052500.LOKT.3-8.fb1,LOKT,65.1362,-16.9151,2013-03-02 15:20:52.500,2013,61.6394,65.0875,-16.4832,21.0058,4.0,-12345,-12345,126.945,13.9,15.582683,6.48761,0.13875,0.002812,4.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,57.055,0.0588052,1,7.02815866,50,7791.275,-1362237985.0,4.6875,0.63,33.413758443416484,70.10368594773577,22.71294382132636,6.934465075137776,3.2753707135622268,2.0006750935834816,5.225307338717618
33031,20140815021509720.LOKT.2-6.fb1,LOKT,65.1362,-16.9151,2014-08-15 02:15:09.720,2014,227.094,65.0194,-16.668,17.46,2.0,-12345,-12345,48.363,13.9,15.780062,4.69349,0.265,0.005,-8.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,56.363,0.0588052,1,4.28237057,32,4191.694,-1408068985.0,3.24436,0.63,35.27991049779504,52.49801034573524,19.258419575964894,6.274291309603968,3.069417504808281,4.221702676128558,4.238872778063659
33032,20140531082534400.LOKT.4-10.fb1,LOKT,65.1362,-16.9151,2014-05-31 08:25:34.400,2014,151.351,65.1297,-16.4979,19.5973,4.0,-12345,-12345,58.871,14.099999,15.424214,3.34293,0.09,0.002812,-85.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,36.129,0.0588052,1,5.08518553,22,902.0164,-1401524985.0,8.98438,0.63,33.58719628278731,70.84252736731757,21.264304330344235,6.549193765500606,3.2468583297014177,1.3741500797408437,5.087285989846739
33033,20140806044204640.LOKT.3-8.fb1,LOKT,65.1362,-16.9151,2014-08-06 04:42:04.640,2014,218.196,65.022,-16.4962,23.4595,0.1,-12345,-12345,99.36,13.9,15.602957,5.53956,0.15,0.002812,-23.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,57.64,0.0588052,1,2.63556194,47,5591.25,-1407299985.0,5.27344,0.63,33.68556146068067,33.990714172485895,26.559136008806902,8.613646888617941,3.0833787769849383,1.741290670373985,5.009657748003992
