,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
6733,20090125055502720.MOFO.2-6.fb1,MOFO,64.9844,-16.6512,2009-01-25 05:55:02.720,2009,25.2464,65.0158,-16.668,3.58692,3.1,-12345,-12345,13.234,13.9,15.687321,13.9106,0.075,0.00375,73.0,5.75,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,2.0,6,59.766,0.0588052,1,6.80174589,41,163241.0,-1232862985.0,4.39236,0.702,35.97742266775089,115.2131482403941,4.800113143040052,1.924815210483365,2.49380466077813,3.8950000975873422,3.1
6734,20090817001152140.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-08-17 00:11:52.140,2009,229.008,65.0149,-16.6659,3.46815,2.4,-12345,-12345,160.809,13.9,15.435895,19.9025,0.12,0.00125,6.0,2.5,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,3.0,8,25.191,0.0588052,1,14.8788967,47,5240.938,-1250467985.0,6.52985,0.702,42.05743663494052,106.22272611608066,4.287205575983348,1.8006253112675648,2.380953743766567,6.656968197280477,2.4000000000000004
6735,20080706081503840.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-07-06 08:15:03.840,2008,188.344,65.0149,-16.6659,3.46815,2.2,-12345,-12345,4.676,13.9,15.410804,7.19299,0.09,0.002812,44.0,8.5,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,3.0,8,39.324,0.0588052,1,4.83019161,39,1714.791,-1215331985.0,7.12757,0.702,44.2865807230306,101.48714227138228,4.183268129281184,1.783677733309688,2.345304900745134,5.042547032966382,2.2
6736,20081108051854080.MOFO.1-8.fb1,MOFO,64.9844,-16.6512,2008-11-08 05:18:54.080,2008,313.221,65.014,-16.6638,3.35114,2.2,-12345,-12345,50.388,13.9,15.320677,21.4795,0.055,0.001875,27.0,4.0,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,1.0,8,23.388,0.0588052,1,12.457962,41,7936807.0,-1226120985.0,6.76717,0.702,43.98629188829152,102.91815263084568,4.07664241883166,1.7431824369330755,2.338620635717299,3.1543639706562487,2.2
6737,20070802173024800.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2007-08-02 17:30:24.800,2007,214.729,65.0176,-16.6765,3.88569,2.4,-12345,-12345,56.636,13.9,15.432405,29.7303,0.09375,0.006563,-67.0,9.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,56.364,0.0588052,1,3.43040872,56,1820.608,-1186075985.0,8.08687,0.702,43.10088416092271,101.6486300001358,4.664326744072893,1.941204099941355,2.402800789578904,4.826663945215159,2.4000000000000004
6738,20090117020703580.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2009-01-17 02:07:03.580,2009,17.0881,65.0669,-16.7,9.47971,2.6,-12345,-12345,3.211,13.9,15.469635,7.02999,0.125,0.0025,44.0,7.25,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,4.0,10,40.789,0.0588052,1,3.72066736,48,2045.978,-1232157985.0,6.42491,0.702,36.83822488133835,61.108063685065325,10.851352727506498,3.8160088602752,2.8436392903773107,3.2747955044975186,3.503994272935424
6739,20081022000751980.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-10-22 00:07:51.980,2008,296.005,65.0185,-16.6659,3.86099,2.3,-12345,-12345,74.936,14.7,15.307302,7.94116,0.0425,0.00125,49.0,3.5,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,25.936,0.0588052,1,47.9273186,28,2535.542,-1224633985.0,6.70114,0.702,44.01059117255739,99.76635998909734,4.5953630815396975,1.926398637062284,2.385468403646468,2.205920880811618,2.3
6740,20081220132448320.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-12-20 13:24:48.320,2008,355.559,65.1286,-16.8195,17.9286,1.1,-12345,-12345,173.279,13.9,15.482865,7.50794,0.045,0.00625,50.0,9.25,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,56.721,0.0588052,1,4.37181044,44,2548.154,-1229778985.0,5.07102,0.702,35.499380748772744,39.643368123657325,20.06427928161039,6.683486340795014,3.0020678218703,0.673293663152208,4.1456454103804194
6741,20090901072159880.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-09-01 07:21:59.880,2009,244.307,65.014,-16.668,3.39212,2.3,-12345,-12345,165.678,13.9,15.460006,8.53548,0.075,0.005,45.0,7.25,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,59.322,0.0588052,1,3.57487822,42,13558.08,-1251789985.0,5.12695,0.702,42.927536079987206,104.97269508263132,4.165755884176428,1.7655721849846868,2.359436742153116,4.246000088166824,2.3
6742,20080808142036680.MOFO.0.5-5.fb1,MOFO,64.9844,-16.6512,2008-08-08 14:20:36.680,2008,221.597,65.0194,-16.6702,3.99917,2.4,-12345,-12345,6.562,13.9,15.705423,17.5743,0.0825,0.002812,64.0,5.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,0.5,5,57.438,0.0588052,1,5.61833572,55,1997184.0,-1218204985.0,4.19695,0.702,43.30847959670552,100.52045221828897,4.770474093820548,1.9802152171585896,2.4090684954263204,4.164407525618685,2.4000000000000004
6743,20070725015853740.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2007-07-25 01:58:53.740,2007,206.082,65.0319,-16.6893,5.59309,4.0,-12345,-12345,46.294,14.099999,15.475067,5.8222,0.16875,0.00375,90.0,4.25,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,3.0,8,43.706,0.0588052,1,10.1142502,21,280.4791,-1185328985.0,4.21698,0.702,34.23867822512592,106.10956330639988,7.049827910704598,2.580930624549836,2.7315061643449727,6.531366314620968,4.0
6744,20081220132839740.MOFO.1-8.fb1,MOFO,64.9844,-16.6512,2008-12-20 13:28:39.740,2008,355.562,65.1295,-16.8366,18.3829,1.6,-12345,-12345,12.943,13.9,15.664901,7.26177,0.07,0.005,71.0,7.0,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,1.0,8,58.057,0.0588052,1,5.04894209,45,190499.6,-1229779985.0,4.375,0.702,35.02670179958213,42.73748538590917,20.40182410165216,6.646596362871911,3.0695145286115704,1.053141416170433,4.348118857913405
6745,20090210173604120.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2009-02-10 17:36:04.120,2009,41.7332,65.0185,-16.6786,4.01205,2.5,-12345,-12345,31.441,13.9,15.347675,13.0315,0.1025,0.0025,60.0,6.0,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,4.0,10,28.559,0.0588052,1,6.76360083,32,6592.102,-1234286985.0,7.65427,0.702,42.42807882113136,102.27563457342198,4.828119226947688,1.9909319422414915,2.425054882344169,5.144935771971859,2.5
6746,20090714083549740.MOFO.0.5-5.fb1,MOFO,64.9844,-16.6512,2009-07-14 08:35:49.740,2009,195.358,65.0167,-16.6659,3.66438,2.2,-12345,-12345,170.95,13.9,15.599246,8.6929,0.11,0.00625,34.0,10.0,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,0.5,5,43.05,0.0588052,1,2.67525506,41,11852280.0,-1247560985.0,4.288,0.702,44.68557077173079,99.2693937374795,4.365544726925185,1.852138157281556,2.3570297441161947,5.933853819691848,2.2
6747,20090923163422040.MOFO.1-8.fb1,MOFO,64.9844,-16.6512,2009-09-23 16:34:22.040,2009,266.69,65.0167,-16.668,3.68454,2.9,-12345,-12345,8.025,13.9,15.607471,14.1644,0.08,0.0025,64.0,5.75,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,1.0,8,55.975,0.0588052,1,5.26906395,45,7690236.0,-1253723985.0,5.12695,0.702,38.03760601899752,112.79034033622308,4.756503592984597,1.926906932776833,2.46846565969332,4.149943859338379,2.9000000000000004
6748,20081105220705180.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-11-05 22:07:05.180,2008,310.921,65.014,-16.6574,3.31147,2.3,-12345,-12345,80.956,14.7,15.30485,11.1343,0.05,0.0,51.0,1.5,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,29.956,0.0588052,1,208.797684,19,6011.484,-1225922985.0,6.83594,0.702,42.66991478822293,105.9775860045088,4.094322211212766,1.738362232404005,2.3552756352458672,2.875675861945126,2.3
6749,20090918200233520.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-09-18 20:02:33.520,2009,261.835,65.0167,-16.6659,3.66438,2.6,-12345,-12345,9.699,13.9,15.530052,13.2357,0.1125,0.000625,52.0,4.25,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,42.301,0.0588052,1,12.817749,45,5715.63,-1253303985.0,6.11359,0.702,40.64888560291438,107.96045159102822,4.568500008402967,1.8853065279967625,2.4232133823125515,5.961896923729881,2.6
6750,20080803031916880.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2008-08-03 03:19:16.880,2008,216.138,65.0427,-16.5789,7.3385,3.1,-12345,-12345,162.916,14.099999,15.493058,3.05957,0.1125,0.002812,19.0,6.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,36.084,0.0588052,1,3.68458962,45,793.5872,-1217733985.0,6.27297,0.702,38.32992986986005,72.77005230373051,8.461812891977035,3.1015356551782234,2.728265553823141,3.626043135476209,3.327233606777214
6751,20080831114137500.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2008-08-31 11:41:37.500,2008,244.487,65.135,-16.7536,17.4686,3.4,-12345,-12345,174.073,13.9,15.480285,7.89017,0.075,0.005,35.0,8.5,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,4.0,10,40.927,0.0588052,1,3.94270945,30,6101.787,-1220182985.0,5.27687,0.702,34.38187570180426,67.47147084621095,19.08087955253601,6.029142762843324,3.1647748781350025,1.2439098183733677,4.648817751756502
6752,20080901205301120.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-09-01 20:53:01.120,2008,245.87,65.0597,-16.5513,9.62871,3.7,-12345,-12345,70.724,13.9,15.443362,4.67364,0.0625,0.00125,30.0,6.5,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,40.724,0.0588052,1,11.1297894,36,1293.642,-1220301985.0,6.09741,0.702,36.35508613359908,86.37260948381311,10.867916877433403,3.744889684305449,2.902065960175016,1.6688248184308918,3.743913737307473
6753,20081003000938320.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2008-10-03 00:09:38.320,2008,277.007,65.0651,-16.5428,10.3478,1.6,-12345,-12345,3.184,14.099999,15.472678,3.99928,0.115,0.00375,30.0,5.25,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,26.816,0.0588052,1,8.12301826,26,1067.477,-1222992985.0,4.5379,0.702,43.3335785770503,54.23358128748565,11.26475470056186,4.266039817911478,2.640564828594764,2.695218992721493,2.5742214090767552
6754,20090113071744820.MOFO.2-6.fb1,MOFO,64.9844,-16.6512,2009-01-13 07:17:44.820,2009,13.3038,65.014,-16.6659,3.3702,3.1,-12345,-12345,12.851,13.9,15.548282,11.4129,0.075,0.0025,78.0,5.25,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,2.0,6,65.149,0.0588052,1,10.6911545,33,35000.73,-1231830985.0,4.39236,0.702,35.03822035975788,117.84929848233878,4.629403405934975,1.8622170538176013,2.4859633824341567,4.0258256260386815,3.1
6755,20090726051310000.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-07-26 05:13:10.000,2009,207.217,65.0122,-16.6617,3.13726,2.8,-12345,-12345,22.473,13.9,15.464035,22.5057,0.1075,0.003125,56.0,7.25,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,33.527,0.0588052,1,6.01802731,28,24724.32,-1248584985.0,7.40132,0.702,36.611692590494,117.7262435388511,4.250259379591142,1.7474882752574616,2.432210527401073,6.145877473485228,2.8
6756,20070726220900200.MOFO.1-8.fb1,MOFO,64.9844,-16.6512,2007-07-26 22:09:00.200,2007,207.923,65.0767,-16.5002,12.514,2.2,-12345,-12345,106.635,14.3,15.437295,3.18303,0.14625,0.004687,-46.0,6.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,1.0,8,27.365,0.0588052,1,3.83150053,46,7306.787,-1185487985.0,9.1132,0.702,36.665359004099656,56.93669596188842,13.99994513802733,4.786061114022633,2.9251496803935555,3.055035693162722,3.589664187332932
6757,20090212172934200.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-02-12 17:29:34.200,2009,43.7287,65.014,-16.6659,3.3702,2.2,-12345,-12345,160.629,13.9,15.358367,7.36799,0.08,0.0025,37.0,7.0,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,3.0,8,56.371,0.0588052,1,3.91262841,46,9954.658,-1234459985.0,5.01302,0.702,44.03826691953058,102.68135261321753,4.09376127984313,1.7497077197933142,2.339682927344408,4.5698051655705285,2.2
6758,20090924021450920.MOFO.3-8.fb1,MOFO,64.9844,-16.6512,2009-09-24 02:14:50.920,2009,267.094,65.0194,-16.6702,3.99917,2.5,-12345,-12345,8.424,13.9,15.595194,11.67,0.08,0.00125,65.0,5.5,0.0,anginc_corr,ass_5_16,May,comment,25,ACl,3.0,8,56.576,0.0588052,1,6.99883652,45,9880.523,-1253757985.0,5.27687,0.702,42.40563413313536,102.38800248774702,4.817597013648135,1.9870831899023669,2.424456629762362,4.024371464415566,2.5
6759,20091019143708100.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2009-10-19 14:37:08.100,2009,292.609,65.0212,-16.6659,4.15641,2.3,-12345,-12345,100.943,13.9,15.346073,23.3441,0.055,0.000625,62.0,3.75,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,4.0,10,38.943,0.0588052,1,20.3168659,45,15151.66,-1255962985.0,7.68394,0.702,44.4061877700994,97.00868122413598,4.875380253466037,2.029007214737975,2.4028402748166875,2.710187527451069,2.3
6760,20090928230107100.MOFO.4-10.fb1,MOFO,64.9844,-16.6512,2009-09-28 23:01:07.100,2009,271.959,65.0131,-16.6511,3.19862,2.8,-12345,-12345,56.709,13.9,15.481406,23.8517,0.06,0.0025,28.0,8.75,0.0,anginc_corr,ass_5_15,May,comment,25,ACl,4.0,10,28.709,0.0588052,1,15.7481956,42,64816.81,-1254178985.0,6.63504,0.702,36.91245187797478,116.94748245945846,4.298431221073854,1.7656342970299388,2.4344968991055844,3.397231710210491,2.8
