,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38063,20130411124354380.MVET.4-10.fb1,MVET,65.0135,-16.8126,2013-04-11 12:43:54.380,2013,101.53,65.0212,-16.6659,6.96671,2.1,-12345,-12345,58.239,14.3,15.362064,3.31441,0.05625,0.002812,6.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,52.239,0.0588052,1,4.25174093,40,680.4061,-1365683985.0,7.73438,1.16,44.9212985860102,78.66083551719657,7.655673884562754,3.0174005988658856,2.53717517237857,1.864025409086878,2.284924286750325
38064,20130523033732220.MVET.4-10.fb1,MVET,65.0135,-16.8126,2013-05-23 03:37:32.220,2013,143.151,65.0203,-16.6702,6.75658,2.5,-12345,-12345,70.171,14.3,15.554744,3.18459,0.06,0.006563,2.0,9.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,68.171,0.0588052,1,3.08469105,39,1460.596,-1369279985.0,5.80357,1.16,43.52628305623092,85.9042455633736,7.50404282735489,2.92320064134317,2.567063896068005,2.052328570015049,2.5310610939787086
38065,20120925035334680.MVET.1-8.fb1,MVET,65.0135,-16.8126,2012-09-25 03:53:34.680,2012,269.162,65.0139,-16.7762,1.71653,1.9,-12345,-12345,120.668,14.7,15.680246,12.7028,0.075,0.005,-85.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,25.668,0.0588052,1,34.6675949,27,195014.0,-1348544985.0,3.2197,1.16,37.142966132459534,126.8214663223789,2.561402860878364,1.159649122043367,2.20877402672028,6.460724565065945,1.9
38066,20130118094337040.MVET.3-8.fb1,MVET,65.0135,-16.8126,2013-01-18 09:43:37.040,2013,18.4051,65.0229,-16.6723,6.69707,2.3,-12345,-12345,0.108,13.9,15.696206,4.74676,0.05625,0.006563,28.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,27.892,0.0588052,1,3.23832011,32,7747.679,-1358501985.0,3.50477,1.16,44.30036452265845,82.16066013462147,7.406713380052181,2.9107063275977705,2.5446446829161915,1.932340223243045,2.389536298609449
38067,20120725222958260.MVET.4-10.fb1,MVET,65.0135,-16.8126,2012-07-25 22:29:58.260,2012,207.937,64.976,-16.9051,6.04473,4.1,-12345,-12345,168.3,14.5,15.345731,5.57774,0.02625,0.002812,52.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,63.7,0.0588052,1,7.58557844,34,5266.848,-1343254985.0,9.14229,1.16,34.33666633797887,104.35530692641822,7.5020585027177695,2.713949012556119,2.764259191314723,0.9672026250001408,4.1
38068,20130118102101520.MVET.4-10.fb1,MVET,65.0135,-16.8126,2013-01-18 10:21:01.520,2013,18.4311,65.022,-16.6702,6.78132,2.3,-12345,-12345,108.585,14.7,15.632894,3.02789,0.33375,0.002812,67.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,41.585,0.0588052,1,2.99357319,38,1359.901,-1358503985.0,4.58777,1.16,44.24966369669922,81.79177040828455,7.49250042925555,2.939462983238095,2.548935119095072,11.317755579224452,2.39820784488062
38069,20130620214137000.MVET.1-8.fb1,MVET,65.0135,-16.8126,2013-06-20 21:41:37.000,2013,171.904,65.022,-16.6787,6.38541,2.4,-12345,-12345,44.534,13.9,15.541988,3.4066,0.195,0.006563,-75.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,60.466,0.0588052,1,5.86555004,50,8393.442,-1371763985.0,3.50477,1.16,44.01103241932037,84.81304315347403,7.106867539554393,2.79851892490838,2.5395102660551294,6.95953409789567,2.4394597605753887
38070,20121204145548940.MVET.3-8.fb1,MVET,65.0135,-16.8126,2012-12-04 14:55:48.940,2012,339.622,65.0865,-16.7979,8.16974,2.0,-12345,-12345,171.261,14.099999,15.606165,9.32129,0.13125,0.0075,17.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,25.739,0.0588052,1,4.33199406,49,8101.596,-1354632985.0,4.67936,1.16,44.22256294302733,73.33336196451837,8.919856769252524,3.446749940607051,2.587903655024517,3.806555665131128,2.402846052540945
38071,20121026070527720.MVET.3-8.fb1,MVET,65.0135,-16.8126,2012-10-26 07:05:27.720,2012,300.295,65.0481,-16.5195,14.3394,0.7,-12345,-12345,8.684,14.7,15.621303,3.99713,0.05625,0.00375,-49.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,57.684,0.0588052,1,12.7472162,23,3250.221,-1351234985.0,3.80609,1.16,36.63355355560692,39.22652380343916,16.431751797832273,5.770648871844399,2.8474703907223526,0.9747372462470594,3.605447528247143
38072,20130411062326820.MVET.4-10.fb1,MVET,65.0135,-16.8126,2013-04-11 06:23:26.820,2013,101.266,65.0176,-16.6532,7.52888,2.8,-12345,-12345,18.023,13.9,15.498499,7.43407,0.12375,0.001875,54.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,35.977,0.0588052,1,4.47318888,49,2294.104,-1365660985.0,4.26136,1.16,42.25979760018112,86.50281800497311,8.353205771636723,3.177451695678566,2.628900946943536,3.893154670836197,2.823194420861059
