,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38422,20160110065243120.NAUG.4-10.fb1,NAUG,65.0202,-16.5728,2016-01-10 06:52:43.120,2016,10.2865,65.0121,-16.7931,10.4258,1.7,-12345,-12345,162.555,14.7,15.549116,3.36571,0.17625,0.004687,49.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,66.445,0.0588052,1,3.94513893,36,212.3404,-1452408985.0,4.97855,0.697,43.19839389984537,57.36151670128327,11.31701439603774,4.26631932412247,2.6526411963702485,4.12943453663317,2.6047903700056843
38423,20140914212506220.NAUG.0.5-5.fb1,NAUG,65.0202,-16.5728,2014-09-14 21:25:06.220,2014,257.892,65.0382,-16.5811,2.04156,2.9,-12345,-12345,120.788,14.099999,15.60043,7.30208,0.08,0.0025,54.0,3.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,66.788,0.0588052,1,8.0528059,49,6142116.0,-1410729985.0,2.5463,0.697,27.823123227715616,135.70575635761062,3.5620808997727207,1.474802763821665,2.4152930731851083,5.420469704654352,2.9000000000000004
38424,20150828015716840.NAUG.4-10.fb1,NAUG,65.0202,-16.5728,2015-08-28 01:57:16.840,2015,240.081,65.0104,-16.6553,4.03862,2.5,-12345,-12345,166.653,13.9,15.349368,4.60737,0.09,0.001875,52.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,65.347,0.0588052,1,4.41489315,48,53756.09,-1440726985.0,7.97526,0.697,42.46774549356419,102.07462904583528,4.847076781827251,1.997860815348571,2.426133364541499,4.502535184482071,2.5
38425,20141017012152180.NAUG.1-8.fb1,NAUG,65.0202,-16.5728,2014-10-17 01:21:52.180,2014,290.057,65.0194,-16.5895,0.792985,4.0,-12345,-12345,137.331,13.9,15.424214,3.62973,0.12,0.001875,80.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,57.331,0.0588052,1,3.60470438,58,299885.2,-1413508985.0,9.27632,0.697,8.37090679358115,165.6062160643342,4.079539640165087,1.5786914207095497,2.5841273263723195,7.590284028480099,4.0
38426,20140906021609680.NAUG.3-8.fb1,NAUG,65.0202,-16.5728,2014-09-06 02:16:09.680,2014,249.094,65.0911,-16.481,9.00454,1.5,-12345,-12345,85.508,13.9,15.451626,4.13506,0.09,0.002812,43.0,7.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,42.508,0.0588052,1,2.95018363,47,260665.0,-1409969985.0,7.90895,0.697,44.36871701046008,52.50365296975004,9.86926664256008,3.8325602176027855,2.5751106524643648,2.3479760436856623,2.377857573383949
38427,20140904213542720.NAUG.1-8.fb1,NAUG,65.0202,-16.5728,2014-09-04 21:35:42.720,2014,247.9,65.04,-16.5832,2.25769,2.3,-12345,-12345,113.723,13.9,15.358811,12.3198,0.09,0.000937,54.0,4.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,59.723,0.0588052,1,14.2346544,44,12045310.0,-1409865985.0,8.85989,0.697,36.57863598956479,122.29868204348378,3.243108269850582,1.4023781700238864,2.312577548034239,6.411075320236392,2.3
38428,20160224022642640.NAUG.4-10.fb1,NAUG,65.0202,-16.5728,2016-02-24 02:26:42.640,2016,55.1018,65.0059,-16.7337,7.75319,2.3,-12345,-12345,138.438,13.9,15.371892,7.01927,0.08625,0.002812,-89.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,47.438,0.0588052,1,3.94350266,44,1083.791,-1456280985.0,8.85989,0.697,43.65081869180519,78.26044053657564,8.502191657655652,3.273948762973684,2.5969226378280963,2.633976477422096,2.503326824958462
38429,20140914135101840.NAUG.1-8.fb1,NAUG,65.0202,-16.5728,2014-09-14 13:51:01.840,2014,257.577,65.0328,-16.5895,1.61015,3.1,-12345,-12345,113.259,13.9,15.437295,4.1045,0.09375,0.001875,53.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,60.259,0.0588052,1,5.95365906,53,1059363.0,-1410702985.0,9.27632,0.697,21.69624216716293,145.29608533008005,3.500716091466896,1.435202783369902,2.43917872235943,6.5252246993456,3.1
38430,20151113092219540.NAUG.1-8.fb1,NAUG,65.0202,-16.5728,2015-11-13 09:22:19.540,2015,317.39,65.04,-16.5407,2.67373,3.0,-12345,-12345,177.597,13.9,15.384973,5.47088,0.12,0.001875,53.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,55.403,0.0588052,1,5.94133806,32,63577570.0,-1447406985.0,9.66698,0.697,31.98987779559173,126.96682031487283,4.04668477465461,1.6531928294054254,2.4477996170053613,7.249145262865397,3.0
38431,20160423061424900.NAUG.1-8.fb1,NAUG,65.0202,-16.5728,2016-04-23 06:14:24.900,2016,114.26,65.0203,-16.6702,4.58722,2.4,-12345,-12345,101.031,14.3,15.345731,4.5549,0.06,0.001875,42.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,59.031,0.0588052,1,6.89119577,45,145044.2,-1461391985.0,9.03058,0.697,43.98125165772401,95.51621060746454,5.322398648663053,2.1797985193131475,2.441692936987651,2.7520268039097573,2.4000000000000004
