,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
45243,20121014020325160.NAUT.3-8.fb1,NAUT,65.0207,-16.5733,2012-10-14 02:03:25.160,2012,288.086,65.0219,-16.7932,10.3672,1.8,-12345,-12345,70.229,13.9,15.756421,6.00361,0.05625,0.005625,18.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,52.229,0.0588052,1,2.92826319,48,366.4673,-1350179985.0,3.89648,0.692,43.12786608266331,60.88668345861966,11.23649199737365,4.225413713010273,2.6592643373064027,1.3311716182187183,2.6207655671200243
45244,20120929112110140.NAUT.3-8.fb1,NAUT,65.0207,-16.5733,2012-09-29 11:21:10.140,2012,273.473,65.0149,-16.6532,3.82152,2.2,-12345,-12345,143.048,13.9,15.53145,14.0068,0.06,0.001875,15.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,51.952,0.0588052,1,3.75268579,63,51228.31,-1348917985.0,5.49569,0.692,44.91435274497057,97.72767208397175,4.506993285617827,1.9046703750925844,2.366285182231989,3.149370252456407,2.2
45245,20121104092723120.NAUT.4-10.fb1,NAUT,65.0207,-16.5733,2012-11-04 09:27:23.120,2012,309.394,65.0579,-16.5258,4.714,2.9,-12345,-12345,82.931,13.9,15.437295,4.06948,0.12,0.001875,52.0,3.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,30.931,0.0588052,1,6.8233223,51,2061.984,-1352020985.0,8.85989,0.692,40.57797566345085,103.28130920704784,5.653782932826911,2.2499324023912326,2.5128679096394446,5.329706020224023,2.9000000000000004
45246,20120926193230980.NAUT.3-8.fb1,NAUT,65.0207,-16.5733,2012-09-26 19:32:30.980,2012,270.814,65.0149,-16.6659,4.41396,2.9,-12345,-12345,162.418,13.9,15.46152,4.6205,0.12,0.004687,46.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,63.582,0.0588052,1,2.33605576,46,5741.032,-1348687985.0,6.46642,0.692,40.02498983215078,105.7951907403117,5.37974813672549,2.1525588221562857,2.499233972773124,5.570435961860198,2.9000000000000004
45247,20121024044220220.NAUT.1-8.fb1,NAUT,65.0207,-16.5733,2012-10-24 04:42:20.220,2012,298.196,65.0203,-16.668,4.46627,2.3,-12345,-12345,83.704,13.9,15.411134,6.9037,0.12,0.004687,-28.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,68.296,0.0588052,1,2.98312807,68,39191.4,-1351053985.0,8.19847,0.692,44.648930885968944,94.5763905967389,5.162295123979767,2.132709291016333,2.4205338935433147,5.622199571269704,2.3
45248,20121006052244700.NAUT.1-8.fb1,NAUT,65.0207,-16.5733,2012-10-06 05:22:44.700,2012,280.224,65.0274,-16.6765,4.92362,2.5,-12345,-12345,94.777,14.099999,15.475648,3.52368,0.15,0.002812,33.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,61.777,0.0588052,1,3.35480762,51,89965.81,-1349500985.0,6.63541,0.692,43.47904431797893,94.7399985855159,5.678614847884071,2.295894436918116,2.4733780249525474,6.526444261132269,2.5
45249,20120902020106180.NAUT.4-10.fb1,NAUT,65.0207,-16.5733,2012-09-02 02:01:06.180,2012,246.084,65.0651,-16.5003,6.02542,4.8,-12345,-12345,118.018,13.9,15.424214,7.36053,0.05625,0.004687,49.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,69.018,0.0588052,1,8.44741726,41,36462.16,-1346550985.0,8.7717,0.692,31.37873109428297,111.69896763934427,7.866129540776255,2.771602655796724,2.8381158909356943,2.029302751853379,4.8
45250,20121103215523120.NAUT.3-8.fb1,NAUT,65.0207,-16.5733,2012-11-03 21:55:23.120,2012,308.913,65.023,-16.6489,3.57484,2.3,-12345,-12345,4.859,13.9,15.471416,13.1222,0.06,0.000937,56.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,51.141,0.0588052,1,7.75426579,42,139360.4,-1351979985.0,5.63965,0.692,43.40729726631574,102.91271071157516,4.322756086165724,1.824883335031576,2.368784898838987,3.2869933305207155,2.3
45251,20120921165111340.NAUT.4-10.fb1,NAUT,65.0207,-16.5733,2012-09-21 16:51:11.340,2012,265.702,64.996,-16.4984,4.4773,3.1,-12345,-12345,87.114,14.7,15.280328,21.8844,0.0225,0.0,67.0,0.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,20.114,0.0588052,1,49900.8281,24,15.22266,-1348245985.0,8.7717,0.692,38.69402285883353,105.6810185458062,5.544857315221597,2.1923480772646817,2.529186570656119,1.026269860682305,3.1
45252,20120901030140220.NAUT.1-8.fb1,NAUT,65.0207,-16.5733,2012-09-01 03:01:40.220,2012,245.126,65.0472,-16.5811,2.9737,2.9,-12345,-12345,64.367,13.9,15.590502,3.89503,0.09,0.004687,-2.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,66.367,0.0588052,1,3.41509056,55,2016674.0,-1346467985.0,3.85561,0.692,34.79978505400544,121.36168749548273,4.193320487926735,1.7171904520608705,2.441965876815912,5.237524972226026,2.9000000000000004
