,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
45322,20150710110855900.NOFL.2-6.fb1,NOFL,64.9238,-16.8337,2015-07-10 11:08:55.900,2015,191.464,65.0373,-16.6957,14.2353,5.1,-12345,-12345,165.833,14.3,15.746001,4.96002,0.1,0.00875,53.0,5.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,67.167,0.0588052,1,11.9446516,30,1700.205,-1436526985.0,2.80172,0.741,33.51972774887251,87.02148094688393,15.83497316130756,5.016151874660854,3.1567969943848992,1.9933620186975527,5.140808614812209
45323,20150704112128400.NOFL.3-8.fb1,NOFL,64.9238,-16.8337,2015-07-04 11:21:28.400,2015,185.473,65.022,-16.6702,13.4059,2.0,-12345,-12345,131.098,14.099999,15.42716,3.46204,0.11625,0.006563,16.0,8.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,64.902,0.0588052,1,3.28590393,40,3725.14,-1436008985.0,7.00955,0.741,36.58703963654986,54.9553160637296,14.955291574843242,5.08837732073226,2.9391082131250146,2.28432027569454,3.628541627171368
45324,20150502112158700.NOFL.4-10.fb1,NOFL,64.9238,-16.8337,2015-05-02 11:21:58.700,2015,122.474,65.0212,-16.6702,13.3245,2.0,-12345,-12345,155.522,13.9,15.5705,3.51539,0.06,0.002812,42.0,6.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,66.478,0.0588052,1,6.5993104,42,340.9434,-1430565985.0,5.46875,0.741,36.597489234131,54.975390492151305,14.881214844375124,5.06685822463349,2.936970837673586,1.1841242465180812,3.6233522028903575
45325,20150307173521460.NOFL.4-10.fb1,NOFL,64.9238,-16.8337,2015-03-07 17:35:21.460,2015,66.7328,65.0149,-16.6553,13.1984,2.2,-12345,-12345,161.684,13.9,15.568243,4.73118,0.06,0.001875,39.0,6.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,57.316,0.0588052,1,8.03769016,43,2540.998,-1425749985.0,5.55099,0.741,36.573203642219134,56.74690202826908,14.695101571178853,4.988553749603379,2.945763904487789,1.2027099084207291,3.635413867040117
45326,20140903052158800.NOFL.4-10.fb1,NOFL,64.9238,-16.8337,2014-09-03 05:21:58.800,2014,246.224,65.0409,-16.5832,17.6191,0.9,-12345,-12345,32.153,13.9,15.342604,3.2038,0.10125,0.002812,81.0,6.0,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,48.847,0.0588052,1,7.12244034,28,1207895.0,-1409721985.0,6.44531,0.741,35.94351067677928,39.33120470049177,19.74346665803345,6.663111470372999,2.963100159110533,1.5194726413852775,3.950984987543807
45327,20150319003346040.NOFL.2-3.fb1,NOFL,64.9238,-16.8337,2015-03-19 00:33:46.040,2015,78.0233,65.022,-16.7847,11.1885,0.7,-12345,-12345,143.557,14.5,15.696978,3.23276,0.135,0.00875,32.0,6.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,2.0,3,68.443,0.0588052,1,13.1496038,25,1236.422,-1426724985.0,3.02419,0.741,43.453155866252985,46.79440298561346,12.426344145854388,4.81806446357267,2.5791153770989728,2.8014053040095632,2.547373344929529
45328,20141109222306420.NOFL.0.2-3.fb1,NOFL,64.9238,-16.8337,2014-11-09 22:23:06.420,2014,313.933,65.0229,-16.6702,13.4877,2.0,-12345,-12345,48.24,14.099999,15.576668,3.89116,0.08,0.01,70.0,7.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,0.2,3,21.76,0.0588052,1,3.65228724,35,204567600.0,-1415571985.0,1.95312,0.741,36.57499260538048,54.93218191780348,15.038915179792427,5.112649674105093,2.9415109851869143,1.564650598733408,3.6345252324526287
45329,20150424161317200.NOFL.3-8.fb1,NOFL,64.9238,-16.8337,2015-04-24 16:13:17.200,2015,114.676,65.1151,-16.8663,21.3882,0.9,-12345,-12345,95.868,13.9,15.568989,3.02303,0.11625,0.03,27.0,8.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,68.868,0.0588052,1,6.74339533,18,2539.822,-1429891985.0,5.52357,0.741,34.09963596108857,37.25380208775763,23.973199652734785,7.734513710543842,3.0995096201140666,1.5029184744832946,4.791888455262211
45330,20150320033109440.NOFL.3-8.fb1,NOFL,64.9238,-16.8337,2015-03-20 03:31:09.440,2015,79.1465,65.022,-16.668,13.464,2.1,-12345,-12345,2.63,14.7,15.291757,3.05976,0.0975,0.001875,52.0,7.0,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,3.0,8,49.37,0.0588052,1,8.42719269,20,3057.126,-1426821985.0,5.87859,0.741,36.55642353794172,55.793882493302426,14.988538039516731,5.085644562281874,2.947224851433884,1.916984983996884,3.643750077613568
45331,20150520144308980.NOFL.4-10.fb1,NOFL,64.9238,-16.8337,2015-05-20 14:43:08.980,2015,140.613,65.0131,-16.6977,11.8483,2.3,-12345,-12345,152.886,13.9,15.494781,3.76895,0.0675,0.002812,16.0,8.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,43.114,0.0588052,1,5.08331203,48,2288.96,-1432132985.0,6.76717,0.741,36.72125076075208,58.00633783027981,13.303375177668345,4.570851371815866,2.910480804450944,1.4766684547765865,3.56194390299084
45332,20150402223034280.NOFL.4-10.fb1,NOFL,64.9238,-16.8337,2015-04-02 22:30:34.280,2015,92.9378,65.1106,-16.8769,20.93,1.2,-12345,-12345,97.908,14.5,15.487193,3.47561,0.12,0.002812,31.0,3.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,66.908,0.0588052,1,12.8124361,32,1073.504,-1428013985.0,5.72034,0.741,34.18951579555987,38.49424234645279,23.34483873789861,7.499326753058909,3.112924600648512,1.6000412244380868,4.746008223885657
45333,20150715204920240.NOFL.3-8.fb1,NOFL,64.9238,-16.8337,2015-07-15 20:49:20.240,2015,196.868,65.0203,-16.6765,13.07,2.3,-12345,-12345,94.611,14.099999,15.377391,4.3379,0.1425,0.002812,34.0,7.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,60.611,0.0588052,1,5.47037125,34,5235.986,-1436992985.0,7.42188,0.741,36.56845005175741,57.67960943361371,14.542981553839974,4.932851640616724,2.948189528769561,2.8881931429779684,3.637775225802947
45334,20150724090524480.NOFL.1-8.fb1,NOFL,64.9238,-16.8337,2015-07-24 09:05:24.480,2015,205.379,65.0149,-16.6701,12.7616,2.2,-12345,-12345,140.367,13.9,15.388597,4.54306,0.1125,0.005625,28.0,6.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,67.633,0.0588052,1,5.53694487,40,1159234.0,-1437728985.0,6.32925,0.741,36.63385437816423,56.87172938945654,14.253645929050515,4.860122401830779,2.932775093006146,2.3144465321209395,3.605298215589088
45335,20150509080508700.NOFL.3-8.fb1,NOFL,64.9238,-16.8337,2015-05-09 08:05:08.700,2015,129.337,65.0194,-16.6702,13.1623,2.1,-12345,-12345,72.315,14.7,15.438755,3.8225,0.17625,0.002812,49.0,4.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,23.315,0.0588052,1,8.04465675,27,2151.265,-1431158985.0,6.3101,0.741,36.59995523345963,55.880321514943695,14.687316551704932,4.998202212770586,2.938519877042652,3.5251723866728923,3.6221276537400833
45336,20140829094756580.NOFL.1-8.fb1,NOFL,64.9238,-16.8337,2014-08-29 09:47:56.580,2014,241.408,65.0319,-16.5853,16.8224,0.9,-12345,-12345,136.699,14.7,15.405914,3.60018,0.20625,0.00375,6.0,7.75,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,1.0,8,49.301,0.0588052,1,2.79368067,37,2497973.0,-1409305985.0,6.44531,0.741,36.1364267151895,39.54930276908768,18.89991097181654,6.430031768576561,2.93931844383414,3.206780050901159,3.852988758444496
