,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
50960,20140815021509720.NOHR.1-8.fb1,NOHR,64.9339,-16.9495,2014-08-15 02:15:09.720,2014,227.094,65.0194,-16.668,16.3519,2.0,-12345,-12345,55.879,14.099999,15.771103,3.61947,0.04,0.00875,79.0,8.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,1.0,8,23.121,0.0588052,1,4.00606012,38,1070689.0,-1408068985.0,3.32031,0.826,35.992743237255056,53.82527871303015,18.0040830257335,5.955614491275307,3.0230437265724013,0.6716275705059616,3.925769607630934
50961,20131213001458580.NOHR.3-8.fb1,NOHR,64.9339,-16.9495,2013-12-13 00:14:58.580,2013,347.01,65.0212,-16.668,16.4687,2.2,-12345,-12345,77.333,14.099999,15.476872,3.39902,0.12,0.00625,-33.0,7.25,0.0,anginc_corr,ass_5_15,Oct,comment,25,ACl,3.0,8,69.667,0.0588052,1,4.80862617,33,27301.38,-1386893985.0,4.17878,0.826,35.890826754182946,55.363435176432745,18.07880278782739,5.948293600347794,3.039325897896218,2.017180069032065,3.977985452049669
50962,20131017201511340.NOHR.3-8.fb1,NOHR,64.9339,-16.9495,2013-10-17 20:15:11.340,2013,290.844,65.0229,-16.6744,16.3471,2.0,-12345,-12345,144.009,14.099999,15.627427,3.96708,0.06,0.01,24.0,9.75,0.0,anginc_corr,ass_5_15,Oct,comment,25,ACl,3.0,8,59.991,0.0588052,1,3.39940238,39,6454.309,-1382040985.0,4.73011,0.826,35.99539028178393,53.83026286287241,17.992737542320658,5.952467159083432,3.022736129650684,1.0079597992245226,3.924414319610999
50963,20130713201303520.NOHR.4-10.fb1,NOHR,64.9339,-16.9495,2013-07-13 20:13:03.520,2013,194.842,65.0185,-16.668,16.2942,2.7,-12345,-12345,142.658,13.9,15.4357,3.17368,0.05625,0.01875,20.0,7.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,57.342,0.0588052,1,3.98988962,44,326.3756,-1373745985.0,7.45739,0.826,35.35184218390161,58.41311268528742,17.869333694595905,5.80287971045787,3.0793906794917767,0.9693235343632978,4.20820091067158
50964,20140902093822960.NOHR.2-6.fb1,NOHR,64.9339,-16.9495,2014-09-02 09:38:22.960,2014,245.402,65.0266,-16.6235,18.5354,1.0,-12345,-12345,88.339,14.7,15.606586,3.19417,0.25125,0.00375,-41.0,4.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,50.661,0.0588052,1,6.48723412,28,4339355.0,-1409650985.0,4.13194,0.826,35.21635032643032,38.93260296408759,20.781223483475834,6.89218283765653,3.0151874918254253,3.6442240230719847,4.26619994983088
50965,20150726011715480.NOHR.3-8.fb1,NOHR,64.9339,-16.9495,2015-07-26 01:17:15.480,2015,207.054,65.0274,-16.7147,15.2146,4.9,-12345,-12345,125.055,13.9,15.586913,8.76579,0.055,0.00125,-10.0,3.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,3.0,8,44.945,0.0588052,1,70.057579,18,165.548,-1437872985.0,3.30882,0.826,33.622036817909084,83.23490220646495,16.796173880748825,5.2889034562385895,3.1757384152922468,1.039884989089046,5.059703467239821
50966,20130825044114340.NOHR.1-8.fb1,NOHR,64.9339,-16.9495,2013-08-25 04:41:14.340,2013,237.195,65.0149,-16.6744,15.8193,1.9,-12345,-12345,144.735,13.9,15.544538,6.36476,0.0675,0.005625,19.0,9.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,54.265,0.0588052,1,3.04612732,41,4172891.0,-1377405985.0,5.11854,0.826,36.14962490876402,51.450079569176175,17.467902026374,5.8216655924182295,3.000499040879829,1.1594230291450458,3.846396387028438
50967,20131123035938800.NOHR.2-6.fb1,NOHR,64.9339,-16.9495,2013-11-23 03:59:38.800,2013,327.166,65.0149,-16.668,16.0672,2.1,-12345,-12345,110.243,14.099999,15.738167,4.46754,0.04,0.005,-2.0,5.0,0.0,anginc_corr,ass_5_16,Oct,comment,25,ACl,2.0,6,67.757,0.0588052,1,9.65459538,39,69363.25,-1385178985.0,3.34822,0.826,36.02813569756535,54.75595805515322,17.678192956375163,5.850991996867922,3.021400980524059,0.6836367689800227,3.9076524140156215
50968,20131011014707060.NOHR.4-10.fb1,NOHR,64.9339,-16.9495,2013-10-11 01:47:07.060,2013,284.074,65.0122,-16.6638,16.0693,2.3,-12345,-12345,1.593,13.9,15.262359,3.35136,0.07,0.00125,48.0,3.5,0.0,anginc_corr,ass_5_15,Oct,comment,25,ACl,4.0,10,46.407,0.0588052,1,21.2135162,32,1304.657,-1381455985.0,7.41674,0.826,35.95695723440734,56.39423273235331,17.63093057572679,5.810621617988722,3.0342589373130666,1.2046466806481249,3.944096520045085
50969,20160531073109720.NOHR.1-8.fb1,NOHR,64.9339,-16.9495,2016-05-31 07:31:09.720,2016,152.313,65.0203,-16.6702,16.3291,2.0,-12345,-12345,61.688,13.9,15.661345,3.09983,0.23,0.005,17.0,9.5,0.0,anginc_corr,ass_5_16,Oct,comment,25,ACl,1.0,8,44.688,0.0588052,1,3.1703341,40,34896.64,-1464679985.0,4.45822,0.826,35.99893996846664,53.836947276184645,17.97747667634677,5.948233754211071,3.022321821770969,3.865249813686944,3.922596949784596
