,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32860,20130716123145280.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-07-16 12:31:45.280,2013,197.522,65.0373,-16.5853,9.88075,1.4,-12345,-12345,159.177,14.7,15.45188,4.81749,0.21,0.020625,-74.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,53.177,0.0588052,1,5.01863384,22,5175.715,-1373977985.0,7.4168,1.127,43.65714786754158,50.99240534415978,10.82492754035134,4.156333997238551,2.6044412088978826,5.049309046139427,2.501918841132639
32861,20130715151416060.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-07-15 15:14:16.060,2013,196.635,65.0676,-16.8424,3.61087,2.2,-12345,-12345,145.378,13.9,15.52871,4.02657,0.05625,0.001875,-83.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,48.378,0.0588052,1,5.39631081,39,1016.17,-1373900985.0,5.59683,1.127,44.586931386500005,99.86218434113252,4.314563187831908,1.8330818937334048,2.3537209126235568,3.067880639683551,2.2
32862,20130730112923660.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-07-30 11:29:23.660,2013,211.479,65.0838,-16.7915,4.63856,2.5,-12345,-12345,79.333,14.099999,15.413574,3.06568,0.15375,0.002812,-43.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,57.667,0.0588052,1,3.58331323,49,569.6974,-1375183985.0,5.2662,1.127,43.28188907898424,96.8037595654472,5.414062631959709,2.202214979429074,2.4584623583676235,6.973120307087655,2.5
32863,20130729192528540.OLAF.1-8.fb1,OLAF,65.0422,-16.7947,2013-07-29 19:25:28.540,2013,210.809,65.0417,-16.787,0.370211,0.8,-12345,-12345,45.529,13.9,15.371441,5.04966,0.02625,0.000937,87.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,41.471,0.0588052,1,6.32154417,63,147481.6,-1375125985.0,6.58893,1.127,23.71785319104852,154.51318749704362,0.8795290630406463,0.4237611123727215,2.075530381058306,6.1885967571953415,0.7999999999999998
32864,20130806174013100.OLAF.3-8.fb1,OLAF,65.0422,-16.7947,2013-08-06 17:40:13.100,2013,218.736,65.0838,-16.8149,4.72906,2.9,-12345,-12345,134.623,13.9,15.409705,3.04464,0.1725,0.008437,67.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,67.623,0.0588052,1,3.39594197,32,2910.871,-1375810985.0,5.7552,1.127,40.61438668187324,103.1000315033289,5.6747790688637085,2.2573513681483006,2.513910394693545,7.63057555731379,2.9000000000000004
32865,20131004082406380.OLAF.2-6.fb1,OLAF,65.0422,-16.7947,2013-10-04 08:24:06.380,2013,277.35,65.0946,-16.7959,5.83571,3.0,-12345,-12345,149.847,13.9,15.461197,3.8424,0.075,0.00625,25.0,9.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,2.0,6,55.153,0.0588052,1,2.84806514,29,8799.691,-1380874985.0,3.66982,1.127,41.17280967106436,96.84176403694951,6.756496888756813,2.623504219803967,2.5753710772615683,2.858187995717288,3.0
32866,20130901032623240.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-09-01 03:26:23.240,2013,244.143,65.0919,-16.7959,5.5358,2.3,-12345,-12345,74.115,14.7,15.499153,3.91715,0.14625,0.001875,34.0,5.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,40.115,0.0588052,1,6.15611792,30,828.7561,-1378005985.0,5.94262,1.127,44.783701230451285,87.68333316230897,6.235392182017109,2.511114623024602,2.483117307686523,5.819176382762237,2.307776255792392
32867,20131006004943180.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-10-06 00:49:43.180,2013,279.034,65.0865,-16.7958,4.93575,2.3,-12345,-12345,86.537,14.7,15.354157,4.68637,0.15,0.0,42.0,2.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.537,0.0588052,1,32.8472748,29,295.0309,-1381020985.0,6.19507,1.127,44.81757608562232,91.20806441326668,5.633554787574217,2.3005439141726223,2.4487925454795296,6.51328207274382,2.3
32868,20130915035306140.OLAF.4-10.fb1,OLAF,65.0422,-16.7947,2013-09-15 03:53:06.140,2013,258.162,65.031,-16.5598,11.1366,3.0,-12345,-12345,83.672,14.5,15.303162,3.54162,0.12,0.005,22.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,61.672,0.0588052,1,4.80792475,29,2009.289,-1379216985.0,5.44085,1.127,36.65917756552589,64.21863104484925,12.412805233410513,4.242339947692972,2.925933656061844,2.828062052412861,3.592731193906287
32869,20130730144105060.OLAF.3-8.fb1,OLAF,65.0422,-16.7947,2013-07-30 14:41:05.060,2013,211.612,65.0695,-16.8148,3.17654,2.4,-12345,-12345,146.434,13.9,15.706286,12.6354,0.31875,0.005625,31.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,64.566,0.0588052,1,4.49385357,34,10246.92,-1375194985.0,4.17878,1.127,41.03660780618475,109.76794861619408,4.042015998612499,1.7073696967972536,2.367393544698995,18.50917179728846,2.4000000000000004
