,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
37201,20130501235421800.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2013-05-01 23:54:21.800,2013,121.996,65.0238,-16.6808,1.98727,2.0,-12345,-12345,132.427,13.9,15.384973,5.35759,0.05625,0.002812,-18.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,29.573,0.0588052,1,5.40620184,39,914484.9,-1367451985.0,8.39844,1.209,38.63263811206195,120.95730436946968,2.8258257596952427,1.2629776941190587,2.237431249065953,4.451553938304897,2.0
37202,20120711165255880.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2012-07-11 16:52:55.880,2012,193.703,65.0149,-16.6659,3.20455,2.1,-12345,-12345,168.172,13.9,15.424214,8.2017,0.14625,0.00375,-79.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,67.172,0.0588052,1,3.47459602,54,2542320.0,-1342025985.0,9.37093,1.209,44.846155943346936,101.70920366476088,3.883134829930385,1.681529122023662,2.3092878850989904,8.681054671691157,2.1
37203,20131123223106260.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2013-11-23 22:31:06.260,2013,327.938,65.0212,-16.6723,2.45369,2.1,-12345,-12345,35.308,13.9,15.280328,11.6506,0.085,0.003125,59.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,23.692,0.0588052,1,8.94849014,44,798309.2,-1385245985.0,8.49497,1.209,41.045091183161176,114.24836109138737,3.242791040219499,1.425543045908298,2.274775952593788,5.957349654370603,2.1
37204,20111013101606480.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2011-10-13 10:16:06.480,2011,286.428,65.0203,-16.6659,2.71195,2.3,-12345,-12345,22.045,13.9,15.437295,3.34298,0.09,0.01875,83.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,60.955,0.0588052,1,2.77258325,47,35132460.0,-1318500985.0,8.85989,1.209,39.8350436373379,114.6857111832287,3.581310860246128,1.5384940478588878,2.327802870105488,5.844880207349945,2.3
37205,20120731012325660.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2012-07-31 01:23:25.660,2012,213.058,65.022,-16.6702,2.43133,2.0,-12345,-12345,26.249,13.9,15.31957,8.95662,0.09375,0.00375,-14.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,40.249,0.0588052,1,3.81093788,39,213730.0,-1343697985.0,9.07258,1.209,42.71428055557194,111.29099446952183,3.163206588658904,1.406813221479585,2.248490802021373,6.656615516912368,2.0
37206,20130516063835100.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2013-05-16 06:38:35.100,2013,136.277,65.0229,-16.6659,2.48351,2.4,-12345,-12345,59.867,13.9,15.371892,9.83007,0.08625,0.001875,33.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,26.867,0.0588052,1,6.04610586,75,1884250.0,-1368685985.0,8.59375,1.209,37.03628345610262,120.30496411358844,3.477655929504114,1.4865327039375693,2.3394412516404124,5.797217451290493,2.4000000000000004
37207,20120613213053260.OSKV.0.5-5.fb1,OSKV,65.0393,-16.7016,2012-06-13 21:30:53.260,2012,165.896,65.0212,-16.6765,2.34708,2.0,-12345,-12345,38.146,13.9,15.437295,16.1115,0.09,0.001875,76.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,37.854,0.0588052,1,3.51102018,64,47733230.0,-1339622985.0,9.66698,1.209,41.99330376318186,113.22324705477016,3.090741432401607,1.3762173060879488,2.245823692762144,6.532687721796293,2.0
37208,20130510081101080.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2013-05-10 08:11:01.080,2013,130.341,65.0444,-16.7127,0.772367,1.3,-12345,-12345,54.665,13.9,15.33265,11.507,0.02625,0.000937,-4.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,58.665,0.0588052,1,10.7407837,54,37835830.0,-1368172985.0,8.68153,1.209,28.82152299958649,147.43094257497347,1.511022070221987,0.7122351469576402,2.121521349622268,3.6843298153392814,1.2999999999999998
37209,20120717071141340.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2012-07-17 07:11:41.340,2012,199.3,65.0212,-16.6808,2.2531,1.9,-12345,-12345,177.147,13.9,15.437295,29.3523,0.05625,0.00375,18.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,20.853,0.0588052,1,8.21636677,38,4213635.0,-1342508985.0,9.1132,1.209,43.11148062215697,115.03400485300382,2.9464058966340554,1.329126043991336,2.216799460031694,4.230210961083003,1.9
37210,20130316174535520.OSKV.1-8.fb1,OSKV,65.0393,-16.7016,2013-03-16 17:45:35.520,2013,75.7398,65.0212,-16.668,2.57154,2.1,-12345,-12345,42.57,13.9,15.411134,8.77258,0.09,0.001875,-86.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,51.43,0.0588052,1,3.73034477,65,48986270.0,-1363455985.0,8.63764,1.209,41.88253555526799,112.03084548049064,3.338472745665316,1.4648544611969283,2.279047396242668,6.138167913250214,2.1
37211,20111229012908240.OSKV.3-8.fb1,OSKV,65.0393,-16.7016,2011-12-29 01:29:08.240,2011,363.062,65.0194,-16.6702,2.67547,2.4,-12345,-12345,21.193,13.9,15.482924,3.56744,0.27,0.005625,85.0,9.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,63.807,0.0588052,1,2.19016528,50,55324.17,-1325121985.0,7.11687,1.209,38.30277802437659,117.32328117248652,3.617146521039047,1.5419340855045451,2.345850289609144,17.378270165369614,2.4000000000000004
