,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38053,20070803230258160.OSVA.3-8.fb1,OSVA,65.047,-16.7707,2007-08-03 23:02:58.160,2007,215.96,65.0498,-16.7594,0.615427,1.5,-12345,-12345,6.772,13.9,15.460217,6.67782,0.03,0.002812,68.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,61.228,0.0588052,1,6.58289385,41,150553.9,-1186181985.0,4.00152,1.13,20.83604091231098,156.1984617349897,1.621167621071095,0.7578773453558458,2.1390896970405007,3.956874755577644,1.5
38054,20070720223949100.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-07-20 22:39:49.100,2007,201.944,65.005,-16.7295,5.06795,2.8,-12345,-12345,74.745,14.099999,15.529228,4.66447,0.12,0.000937,28.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,46.745,0.0588052,1,4.70972252,47,653.7488,-1184970985.0,6.15079,1.13,41.69177156372669,99.17762922025608,5.941100030984043,2.360055057132408,2.517356539216842,5.081345006606597,2.8
38055,20070824061931180.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-08-24 06:19:31.180,2007,236.263,65.0722,-16.7213,3.65286,2.3,-12345,-12345,87.102,13.9,15.524653,6.99057,0.02625,0.000937,31.0,5.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,56.102,0.0588052,1,10.8470716,51,1420.706,-1187935985.0,6.15368,1.13,43.5872243040272,102.0563018604608,4.392694728723487,1.851097475591985,2.373021835232472,1.4180063879166482,2.3
38056,20070711004105320.OSVA.3-8.fb1,OSVA,65.047,-16.7707,2007-07-11 00:41:05.320,2007,192.028,65.0695,-16.8084,3.07478,3.6,-12345,-12345,142.833,14.099999,15.757893,3.12423,0.16875,0.005625,7.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,44.167,0.0588052,1,2.76441908,45,248.7471,-1184113985.0,3.50477,1.13,29.249586111700545,125.0441001196224,4.773235109757728,1.86160469014498,2.564043341224066,9.046215003601432,3.6
38057,20070812215747480.OSVA.0.5-5.fb1,OSVA,65.047,-16.7707,2007-08-12 21:57:47.480,2007,224.915,65.0426,-16.7552,0.876601,1.6,-12345,-12345,89.372,14.3,15.962632,5.16935,0.235,0.00375,33.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,56.372,0.0588052,1,3.50529504,50,2427248.0,-1186955985.0,2.60416,1.13,26.6194362092485,148.0092119305158,1.8246038694563385,0.8485473275343958,2.1502676518445325,27.182801412050228,1.6
38058,20070819042717900.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-08-19 04:27:17.900,2007,231.185,65.039,-16.7551,1.14781,1.3,-12345,-12345,117.926,13.9,15.461246,24.6343,0.06,0.001875,-14.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,48.074,0.0588052,1,3.74282432,49,1530.808,-1187497985.0,6.07639,1.13,38.82689949887656,135.56473334996318,1.7373593770737077,0.8185896006133172,2.12238144214392,7.319862038890079,1.2999999999999998
38059,20070716093106900.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-07-16 09:31:06.900,2007,197.396,65.0802,-16.7958,3.89392,3.1,-12345,-12345,59.948,14.099999,15.344557,7.05912,0.02625,0.00375,86.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,26.052,0.0588052,1,4.97585487,33,217.098,-1184577985.0,7.88002,1.13,37.06789144834195,111.831166917948,5.040685337773071,2.012198736276374,2.505063365212618,1.304487613180072,3.1
38060,20070722103722440.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-07-22 10:37:22.440,2007,203.442,65.0131,-16.6595,6.45624,2.3,-12345,-12345,124.768,13.9,15.315849,5.43777,0.0225,0.002812,-82.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,26.768,0.0588052,1,4.62299109,39,196.4026,-1185100985.0,5.68061,1.13,44.431538746550345,83.20504412055872,7.166515258108497,2.8298329174169083,2.53248706451904,0.7950873802229808,2.3671358457575264
38061,20070727122552660.OSVA.1-8.fb1,OSVA,65.047,-16.7707,2007-07-27 12:25:52.660,2007,208.518,65.0856,-16.8149,4.78499,4.0,-12345,-12345,155.156,13.9,15.923949,5.69228,0.04,0.005,37.0,6.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,61.844,0.0588052,1,3.3908999,68,60598.09,-1185538985.0,2.58502,1.13,32.77497774406854,112.42774752832908,6.350961820443294,2.357902080733526,2.693479882959158,1.696301253934962,4.0
38062,20070710071425980.OSVA.4-10.fb1,OSVA,65.047,-16.7707,2007-07-10 07:14:25.980,2007,191.302,65.0149,-16.6701,5.9354,2.4,-12345,-12345,1.842,13.9,15.551119,8.87217,0.20625,0.00375,59.0,9.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,57.158,0.0588052,1,2.76364017,37,735.8844,-1184051985.0,5.95388,1.13,44.16496898074018,87.04586107794516,6.658956153446577,2.646353910588482,2.5162757433172627,7.781942684613696,2.4127874764174795
