,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38234,20070827195545740.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-08-27 19:55:45.740,2007,239.83,65.0238,-16.6787,10.7067,2.1,-12345,-12345,30.418,14.3,15.453848,4.25369,0.046875,0.00625,10.0,7.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,20.418,0.0588052,1,11.6742382,33,362.2101,-1188244985.0,7.94118,1.022,36.82526506236244,56.330035652946165,12.20217193671261,4.267546491342662,2.8592944356825374,1.0983731827508336,3.51041028131291
38235,20071214004149500.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-12-14 00:41:49.500,2007,348.029,65.014,-16.668,10.7921,2.1,-12345,-12345,145.849,14.099999,15.524525,4.26687,0.075,0.001563,-1.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,33.151,0.0588052,1,6.86850119,38,2204.733,-1197592985.0,6.37195,1.022,36.82138105293474,56.32224969282043,12.291895756322155,4.294171127198714,2.862460622136577,1.7464204163758268,3.5123333467716336
38236,20071031104726200.RODGA.0.5-5.fb1,RODGA,64.9851,-16.8864,2007-10-31 10:47:26.200,2007,304.45,65.0131,-16.668,10.763,2.1,-12345,-12345,142.617,13.9,16.070503,6.24028,0.10625,0.0125,-16.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,0.5,5,21.383,0.0588052,1,3.7428484,35,141440300.0,-1193827985.0,1.59091,1.022,36.82269218280098,56.32487787564392,12.262436619872409,4.285431130851937,2.8614242640820726,2.478949575728961,3.511684164273152
38237,20070905234444920.RODGA.3-8.fb1,RODGA,64.9851,-16.8864,2007-09-05 23:44:44.920,2007,248.989,65.005,-16.668,10.5402,6.0,-12345,-12345,142.841,13.9,15.454884,10.6953,0.13125,0.001563,-16.0,1.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,21.159,0.0588052,1,19.7516441,52,6366.2,-1189035985.0,6.37195,1.022,31.82623148731309,104.2982496584448,12.479612243487562,4.040998628763683,3.0882495615460326,3.247103392081385,6.0
38238,20071211112035220.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-12-11 11:20:35.220,2007,345.473,65.0212,-16.6702,10.9617,2.9,-12345,-12345,131.314,14.5,15.497317,4.50756,0.146875,0.001563,-24.0,3.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,24.686,0.0588052,1,11.3649921,33,4177.778,-1197371985.0,6.62791,1.022,36.70188210081083,63.40690693415287,12.26025953068882,4.206250500655655,2.9147716068688103,3.490763486443882,3.5715477741755848
38239,20071118223119140.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-11-18 22:31:19.140,2007,322.938,65.022,-16.6893,10.1684,2.0,-12345,-12345,95.937,14.7,15.408274,3.54334,0.05,0.001563,70.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,25.937,0.0588052,1,15.2350302,33,1614.803,-1195424985.0,6.10938,1.022,42.97597162495877,69.44703672090426,11.0094782351447,4.126321441015984,2.668109693469238,1.2116885579132486,2.6555697885057814
38240,20071103213521700.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-11-03 21:35:21.700,2007,307.899,65.0586,-16.8593,8.29183,5.1,-12345,-12345,38.881,14.7,15.435549,15.5021,0.215625,0.003125,17.0,3.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,21.881,0.0588052,1,40.6754456,22,3939.657,-1194125985.0,6.54762,1.022,32.68789129793483,102.4043736667124,10.031172807913826,3.394867032504051,2.954805802958015,6.345107754140145,5.1
38241,20071222214008880.RODGA.2-3.fb1,RODGA,64.9851,-16.8864,2007-12-22 21:40:08.880,2007,356.903,65.014,-16.685,10.0306,7.2,-12345,-12345,125.021,13.9,16.226383,14.1947,0.08125,0.00625,-14.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,3,40.979,0.0588052,1,12.0705166,25,1231.665,-1198359985.0,2.1875,1.022,29.447509145693143,115.2388879749038,12.57938873146556,4.024751062165564,3.1255072766406267,2.018552757793657,7.199999999999999
38242,20071007005502980.RODGA.1-8.fb1,RODGA,64.9851,-16.8864,2007-10-07 00:55:02.980,2007,280.038,65.0149,-16.668,10.8221,1.3,-12345,-12345,11.03,13.9,15.885641,4.3327,0.0625,0.00625,-13.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,24.03,0.0588052,1,3.31746316,38,689417.8,-1191718985.0,3.19712,1.022,43.27759939665389,49.951350123657306,11.842451115886348,4.507870508819808,2.6270610685724387,1.38639733772834,2.586871600266674
38243,20070902093924000.RODGA.4-10.fb1,RODGA,64.9851,-16.8864,2007-09-02 09:39:24.000,2007,245.402,65.0104,-16.668,10.6808,4.3,-12345,-12345,126.95,13.9,15.386524,7.16278,0.134375,0.002344,-27.0,3.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,26.05,0.0588052,1,11.9617682,32,10107.95,-1188725985.0,6.62791,1.022,35.08254657198886,87.00427311400736,12.061985142828714,4.039557163555977,2.9859671876039706,3.325558770100656,4.323824970812772
