,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
29543,20080419140142120.RODGS.3-8.fb1,RODGS,64.9851,-16.8864,2008-04-19 14:01:42.120,2008,110.584,65.0238,-16.6829,10.5237,2.1,-12345,-12345,23.377,14.7,15.596604,3.74654,0.075,0.020313,-27.0,9.5,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,3.0,8,50.377,0.0588052,1,4.94543982,32,302.8082,-1208613985.0,4.82422,1.022,36.83210757245229,56.34375518385112,12.021167448908717,4.213789116483535,2.8528165782868,1.779729810398578,3.5070226292610007
29544,20080422094741540.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-04-22 09:47:41.540,2008,113.408,65.1205,-16.8344,15.2951,1.9,-12345,-12345,87.058,14.3,15.460331,5.06035,0.121875,0.019531,32.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,55.058,0.0588052,1,4.3715477,20,204.7186,-1208857985.0,7.65306,1.022,36.2671150123404,51.65220133269423,16.934176127196594,5.670618501607665,2.986301427682998,2.148988316481848,3.787760134973856
29545,20080419001335260.RODGS.3-8.fb1,RODGS,64.9851,-16.8864,2008-04-19 00:13:35.260,2008,110.009,65.1026,-16.8321,13.3455,2.3,-12345,-12345,39.734,13.9,15.535048,4.20529,0.1125,0.003906,-81.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,3.0,8,59.266,0.0588052,1,3.90330911,34,305.6986,-1208563985.0,5.89744,1.022,36.52497172629485,57.58706102569988,14.828896628350092,5.015719698416309,2.956484317301912,2.242666280183414,3.659379941852409
29546,20080508170033380.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-05-08 17:00:33.380,2008,129.709,65.0731,-16.7128,12.7755,3.0,-12345,-12345,5.64,14.099999,15.477262,3.38475,0.103125,0.021094,59.0,10.0,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,53.36,0.0588052,1,4.00157118,37,398.2226,-1210265985.0,5.25,1.022,36.409143932997246,63.53052860621048,14.084974650831985,4.728260695808282,2.978891299990852,2.180775249857448,3.7169949123119
29547,20080420043043280.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-04-20 04:30:43.280,2008,111.188,65.1026,-16.8342,13.3263,2.1,-12345,-12345,152.174,13.9,15.406251,5.02676,0.1625,0.020313,14.0,7.0,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,41.826,0.0588052,1,2.90847588,27,140.9453,-1208665985.0,6.42857,1.022,36.57500911309113,55.83076953179041,14.862821225159871,5.049183492065395,2.943608852503825,3.217509202637814,3.6345170326464658
29548,20080309181639940.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-03-09 18:16:39.940,2008,69.7614,65.022,-16.6723,10.9057,2.0,-12345,-12345,14.514,14.7,15.637149,3.91719,0.040625,0.002344,-31.0,8.25,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,45.514,0.0588052,1,8.74013996,24,1633.037,-1205086985.0,4.48276,1.022,36.82306981323941,55.41055331616593,12.431980963964014,4.347095083763447,2.859836448114029,0.9345117201149832,3.5114971893800435
29549,20080215225009840.RODGS.1-8.fb1,RODGS,64.9851,-16.8864,2008-02-15 22:50:09.840,2008,46.9514,65.0938,-16.5406,20.3015,1.2,-12345,-12345,135.903,13.9,15.332972,3.58384,0.11875,0.003125,-14.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,30.097,0.0588052,1,7.3316164,37,999252.4,-1203115985.0,5.14706,1.022,34.43179357069245,38.778020947718026,22.64156812101844,7.320703046331199,3.092813351084546,1.6220052740948177,4.623723000047877
29550,20080523062418960.RODGS.1-8.fb1,RODGS,64.9851,-16.8864,2008-05-23 06:24:18.960,2008,144.267,65.0229,-16.6787,10.667,2.1,-12345,-12345,56.901,14.3,15.79541,3.51497,0.096875,0.009375,-55.0,8.75,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,1.0,8,68.099,0.0588052,1,3.10633326,33,88177.04,-1211523985.0,3.40909,1.022,36.82689208233702,56.333297563112936,12.162160022380696,4.255668417367477,2.857873036523864,2.2760808378478714,3.5096047340291223
29551,20080215082428140.RODGS.2-6.fb1,RODGS,64.9851,-16.8864,2008-02-15 08:24:28.140,2008,46.3502,65.092,-16.5406,20.183,1.9,-12345,-12345,147.93,13.9,15.960367,5.12588,0.1,0.008594,-7.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,2.0,6,25.07,0.0588052,1,5.58569288,30,23319.47,-1203063985.0,2.89474,1.022,34.24000145171729,48.24143312042733,22.26255781366532,7.067171271630132,3.150137014937545,1.4149224794834936,4.720398627052575
29552,20080121103737000.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-01-21 10:37:37.000,2008,21.4427,65.0059,-16.668,10.5614,4.0,-12345,-12345,132.539,14.099999,15.434007,7.27634,0.128125,0.001563,-27.0,2.25,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,4.0,10,20.461,0.0588052,1,23.3482552,30,5790.002,-1200911985.0,6.62791,1.022,35.72578542542911,85.59328805316123,11.862662959747103,4.010554464071806,2.957861080311392,3.1938807083420784,4.050820499398576
29553,20080214012612940.RODGS.3-8.fb1,RODGS,64.9851,-16.8864,2008-02-14 01:26:12.940,2008,45.0598,65.0499,-16.5237,18.559,0.9,-12345,-12345,105.239,13.9,15.659129,4.94188,0.11875,0.025,-32.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,20,ACl,3.0,8,42.761,0.0588052,1,5.2852993,33,6719.802,-1202951985.0,4.51172,1.022,35.2477799057771,38.54586866497933,20.842200169434083,6.9338410514413455,3.0058664475877466,1.7124894110423838,4.25267798326667
29554,20080215081505820.RODGS.4-10.fb1,RODGS,64.9851,-16.8864,2008-02-15 08:15:05.820,2008,46.3437,65.0786,-16.5194,20.1882,2.0,-12345,-12345,158.702,14.7,15.377792,3.37609,0.2,0.003906,48.0,5.75,0.0,anginc_corr,ass_5_16,Apr,comment,20,ACl,4.0,10,69.298,0.0588052,1,6.74151564,27,541.2998,-1203062985.0,5.92105,1.022,34.19168186537277,50.52422116251422,22.243885469907468,7.044695963123063,3.157536618520905,2.838443521744693,4.744903130342399
