,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38258,20140915164342820.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-09-15 16:43:42.820,2014,258.697,65.014,-16.6574,9.3548,2.1,-12345,-12345,105.31,14.099999,15.466269,5.04151,0.025,0.00125,65.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,40.31,0.0588052,1,13.5350494,45,86756.8,-1410798985.0,7.33963,1.004,43.29759962335604,72.21856009223033,10.15903268475024,3.840954886205564,2.6449237196811324,0.6508729201073038,2.582350605866812
38259,20150819013943020.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2015-08-19 01:39:43.020,2015,231.069,65.0194,-16.6659,9.26771,2.2,-12345,-12345,52.44,13.9,15.334211,5.49005,0.05625,0.00375,-12.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,64.44,0.0588052,1,3.3244133,58,481.1211,-1439947985.0,7.29668,1.004,43.155327765518415,73.72816867490465,10.071582427001454,3.80163694301024,2.649275188026372,1.4795447984027987,2.614543051865754
38260,20140915045657560.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-09-15 04:56:57.560,2014,258.206,65.0597,-16.5577,15.9765,2.0,-12345,-12345,47.015,14.099999,15.439395,3.92977,0.0575,0.0025,27.0,10.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,20.015,0.0588052,1,12.0956392,40,47381.52,-1410756985.0,7.57324,1.004,36.07947240586361,53.98880458924811,17.601237311805754,5.844760740361738,3.0114555742646867,0.9837632600522284,3.881449604487922
38261,20150713030145740.SOFA.3-8.fb1,SOFA,64.9789,-16.8376,2015-07-13 03:01:45.740,2015,194.126,65.0489,-16.7764,8.31288,1.7,-12345,-12345,83.128,13.9,15.649576,5.0781,0.03,0.004687,-38.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,58.872,0.0588052,1,3.58302808,36,5835.918,-1436755985.0,4.75781,1.004,44.75367186969483,60.0108551350654,9.095822863594728,3.5467146426190594,2.564577018487721,0.8458380907768515,2.3127823609424496
38262,20150716132657720.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2015-07-16 13:26:57.720,2015,197.56,65.0149,-16.6701,8.85714,2.4,-12345,-12345,119.945,13.9,15.381694,5.28631,0.02625,0.002812,85.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,34.945,0.0588052,1,3.27683926,52,2604.664,-1437052985.0,7.3576,1.004,42.94226576275898,77.55494319536645,9.6564575196189,3.645240648920999,2.649058992162077,0.7201077302227077,2.6633068083976523
38263,20140914234242860.SOFA.3-8.fb1,SOFA,64.9789,-16.8376,2014-09-14 23:42:42.860,2014,257.988,65.0364,-16.5811,13.6903,2.5,-12345,-12345,89.703,13.9,15.509719,3.51532,0.035,0.00125,47.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,42.703,0.0588052,1,11.7486477,35,425351.2,-1410737985.0,5.96789,1.004,36.41106250929536,59.28192368307723,15.119033321382398,5.076921578320748,2.9779922908289627,0.6893859519720991,3.716039874774115
38264,20141007214154260.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-10-07 21:41:54.260,2014,280.904,65.0766,-16.8,11.0365,2.9,-12345,-12345,76.027,13.9,15.443001,3.05115,0.275,0.004375,-51.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,52.973,0.0588052,1,2.4527936,43,35687.57,-1412717985.0,6.11359,1.004,36.692840572988544,63.38268676993421,12.344512071581384,4.230984532052823,2.917645285172427,6.492819120596138,3.5760318076551423
38265,20140915023955140.SOFA.1-8.fb1,SOFA,64.9789,-16.8376,2014-09-15 02:39:55.140,2014,258.111,65.0176,-16.598,12.0943,3.0,-12345,-12345,102.81,13.9,15.482561,6.71022,0.0425,0.001875,63.0,5.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,39.81,0.0588052,1,6.13001204,43,2931888.0,-1410748985.0,7.50593,1.004,36.52510081500317,63.847829809718064,13.390179513687745,4.5273164234585375,2.957641627235463,0.938725278828656,3.659315778692018
38266,20140831161405540.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-08-31 16:14:05.540,2014,243.676,65.0283,-16.5768,13.4767,2.1,-12345,-12345,91.215,14.099999,15.562957,3.88105,0.0425,0.00125,59.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,32.215,0.0588052,1,6.0891366,56,775322.2,-1409501985.0,6.07395,1.004,36.5544268859382,55.7899212621349,15.001808413582044,5.089490460010737,2.947605174123933,0.8350395675591926,3.644742117591736
38267,20140831015903200.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-08-31 01:59:03.200,2014,243.083,65.0328,-16.5874,13.24,2.4,-12345,-12345,88.887,13.9,15.413961,3.19359,0.0425,0.000625,47.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,41.887,0.0588052,1,8.23425484,48,156198.7,-1409449985.0,5.9309,1.004,36.51788552964643,58.53555283249747,14.684730563867928,4.962711481773582,2.9590135589788256,0.8563709768168337,3.662902279168081
38268,20140907102522360.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-09-07 10:25:22.360,2014,250.434,65.0418,-16.5683,14.5031,1.9,-12345,-12345,4.956,13.9,15.513751,4.95071,0.1025,0.0025,38.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,33.044,0.0588052,1,6.95277786,37,256888.8,-1410085985.0,6.46642,1.004,36.42771405418039,51.9294563380191,16.111325813926616,5.435628530020487,2.9640226010562003,1.885538886408256,3.7077519847121128
38269,20150712174350540.SOFA.2-6.fb1,SOFA,64.9789,-16.8376,2015-07-12 17:43:50.540,2015,193.739,65.1661,-16.95,21.5228,0.9,-12345,-12345,147.244,14.099999,15.81673,3.24477,0.37875,0.006563,-59.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,26.244,0.0588052,1,5.2141118,46,1751.222,-1436722985.0,3.5473,1.004,34.03978464257336,37.18657718122719,24.13592879704365,7.774998053580514,3.1043003008764307,4.86849728529819,4.822530928482888
38270,20150808041944640.SOFA.1-8.fb1,SOFA,64.9789,-16.8376,2015-08-08 04:19:44.640,2015,220.18,65.022,-16.6871,8.57057,1.9,-12345,-12345,120.999,14.7,16.222734,3.14122,0.035,0.00375,82.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,38.999,0.0588052,1,3.13576913,45,90697.08,-1439007985.0,1.9982,1.004,44.10970395071253,67.33601923662988,9.343103350873632,3.596776921882052,2.597632145055233,0.9730703975378674,2.422355151112712
38271,20150109222511580.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2015-01-09 22:25:11.580,2015,9.93403,65.022,-16.668,9.33061,2.0,-12345,-12345,103.303,13.9,15.289021,8.99914,0.0475,0.000625,56.0,2.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,47.303,0.0588052,1,20.4332829,41,97640.38,-1420841985.0,7.32422,1.004,43.47125920464112,70.90898297020918,10.133887327666558,3.843646486663566,2.6365294942780144,1.2357584584009371,2.543333251266927
38272,20150722135451580.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2015-07-22 13:54:51.580,2015,203.58,65.0185,-16.6659,9.21969,2.3,-12345,-12345,125.274,13.9,15.418096,5.27029,0.03,0.002812,-83.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,28.274,0.0588052,1,5.84389114,52,507.4966,-1437572985.0,7.00555,1.004,42.97282113921696,75.21037595415959,10.02640820705594,3.7758027003222576,2.655437532845719,0.7945205015687407,2.656292787902319
38273,20150110023227920.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2015-01-10 02:32:27.920,2015,10.1058,65.0194,-16.6638,9.35532,2.2,-12345,-12345,30.178,13.9,15.445004,4.2008,0.09,0.003125,-28.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,58.178,0.0588052,1,3.56316209,40,9497.96,-1420856985.0,7.3576,1.004,43.10560730208227,73.54739254282994,10.16266545770819,3.8309888667071608,2.652752542829308,2.34893884386338,2.6258520709718045
38274,20140905024831460.SOFA.0.2-3.fb1,SOFA,64.9789,-16.8376,2014-09-05 02:48:31.460,2014,248.117,65.0319,-16.4983,17.0571,0.6,-12345,-12345,154.507,14.099999,16.239523,4.36707,0.1875,0.02625,41.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,0.2,3,66.493,0.0588052,1,3.24595571,29,21149530.0,-1409884985.0,1.36719,1.004,36.138460830513694,38.25315118828385,19.27665285904441,6.607731715608575,2.917287457889628,2.8370139713516096,3.8519726650085735
38275,20140915043616080.SOFA.3-8.fb1,SOFA,64.9789,-16.8376,2014-09-15 04:36:16.080,2014,258.192,65.0597,-16.5577,15.9765,2.1,-12345,-12345,75.679,13.9,15.419841,4.00086,0.0575,0.001875,41.0,6.75,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,34.679,0.0588052,1,8.32021618,33,69227.58,-1410755985.0,6.54151,1.004,36.04970231751933,54.797941752511285,17.579846080922174,5.823778788211176,3.0186321837134846,0.987307396977144,3.896616576952247
38276,20141002160035800.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-10-02 16:00:35.800,2014,275.667,65.0149,-16.6659,9.03619,2.0,-12345,-12345,103.971,14.7,15.437295,3.21193,0.0425,0.000625,57.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,46.971,0.0588052,1,13.0254345,23,40219.64,-1412265985.0,8.91644,1.004,43.59981570812352,71.30431642947494,9.831267866801564,3.7436132909737743,2.626144075966856,1.1352302548971238,2.5146783257861367
38277,20141003120943940.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-10-03 12:09:43.940,2014,276.507,65.0203,-16.6447,10.1988,1.8,-12345,-12345,109.503,14.099999,15.384973,5.51193,0.0325,0.004375,82.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,27.503,0.0588052,1,6.53606224,42,171204.3,-1412337985.0,8.63764,1.004,43.23309029494256,61.08886752363449,11.067256573577112,4.171150008157421,2.6532866360435694,0.7791497953462567,2.596938089507229
38278,20140905043544100.SOFA.4-10.fb1,SOFA,64.9789,-16.8376,2014-09-05 04:35:44.100,2014,248.191,65.0212,-16.6808,8.76709,2.0,-12345,-12345,99.121,13.9,15.494781,6.06129,0.02,0.001875,48.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,51.121,0.0588052,1,7.6652441,35,146288.4,-1409891985.0,7.26859,1.004,43.66405260099705,71.50458374454078,9.559440552037294,3.6522139512715577,2.617437170872498,0.5476089388253058,2.500384278105188
38279,20150109222044680.SOFA.1-8.fb1,SOFA,64.9789,-16.8376,2015-01-09 22:20:44.680,2015,9.93094,65.0212,-16.668,9.27974,2.0,-12345,-12345,74.052,13.9,15.525806,9.76556,0.045,0.001875,39.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,35.052,0.0588052,1,6.97194099,37,17924080.0,-1420841985.0,6.3101,1.004,43.49391211136356,70.97813076356752,10.086568035881058,3.828095302178773,2.634879029824637,1.1754787166722735,2.5382795419186053
