,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
45545,20140828053101400.SOSU.1-8.fb1,SOSU,64.9419,-16.8543,2014-08-28 05:31:01.400,2014,240.23,65.0319,-16.5004,19.4837,1.0,-12345,-12345,34.328,14.7,15.302907,3.16641,0.06,0.001875,-28.0,5.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,62.328,0.0588052,1,15.7019739,37,445885.0,-1409203985.0,7.93159,0.805,34.716678101058385,38.361271829726185,21.84650136648857,7.16092553416445,3.0507929823121205,0.8378658133636918,4.484120384841288
45546,20151118203155180.SOSU.4-10.fb1,SOSU,64.9419,-16.8543,2015-11-18 20:31:55.180,2015,322.855,65.0346,-16.6575,13.8954,-0.8,-12345,-12345,145.303,13.9,15.495104,3.69982,0.11625,0.004687,-65.0,8.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,30.303,0.0588052,1,3.23438096,37,3255.014,-1447878985.0,6.74665,0.805,36.789942286876425,34.43295062631163,16.725875513012564,6.241857392317854,2.679631151714213,1.862264927406443,3.527903019351684
45547,20140829090154680.SOSU.1-8.fb1,SOSU,64.9419,-16.8543,2014-08-29 09:01:54.680,2014,241.376,65.0481,-16.5683,17.9486,2.9,-12345,-12345,104.14,13.9,15.498852,3.98608,0.06,0.004687,36.0,6.75,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,1.0,8,68.14,0.0588052,1,3.32573438,54,2609090.0,-1409302985.0,5.95543,0.805,34.53856746286147,58.02603237570737,19.640324969373417,6.237250066408527,3.148875668004525,0.9619401397714,4.570447663739672
45548,20150612061356900.SOSU.4-10.fb1,SOSU,64.9419,-16.8543,2015-06-12 06:13:56.900,2015,163.26,65.0212,-16.6765,12.1837,2.2,-12345,-12345,117.665,13.9,15.37324,5.68595,0.05625,0.001875,52.0,5.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,65.665,0.0588052,1,8.57244968,58,1205.54,-1434089985.0,6.49909,0.805,36.70224334873693,57.012866411340056,13.673732996384995,4.690574301223448,2.915151134652842,1.199170382705006,3.5713686287081376
45549,20150830143953980.SOSU.4-10.fb1,SOSU,64.9419,-16.8543,2015-08-30 14:39:53.980,2015,242.611,65.0211,-16.702,11.388,1.1,-12345,-12345,150.168,14.099999,15.358811,5.9606,0.11625,0.00375,-51.0,5.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,21.168,0.0588052,1,5.68348312,36,5627.779,-1440945985.0,8.87706,0.805,36.83862702925611,41.20373331068381,13.282191182587688,4.7562640119058255,2.792568105836821,2.443780315877575,3.503795199239417
45550,20150701130736500.SOSU.4-10.fb1,SOSU,64.9419,-16.8543,2015-07-01 13:07:36.500,2015,182.547,65.0059,-16.6616,11.5607,2.3,-12345,-12345,17.725,14.099999,15.409916,3.18622,0.03,0.004687,44.0,8.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,26.275,0.0588052,1,3.60022831,60,705.2262,-1435755985.0,5.74682,0.805,36.74866736375781,58.065208507022064,13.011369807253494,4.484990951648169,2.9010916515833785,0.6688901886946041,3.548353632010497
45551,20150304072022280.SOSU.2-3.fb1,SOSU,64.9419,-16.8543,2015-03-04 07:20:22.280,2015,63.3057,65.022,-16.6871,11.9185,1.8,-12345,-12345,46.054,14.7,15.753325,3.99541,0.1,0.0025,5.0,5.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,2.0,3,41.054,0.0588052,1,29.4389172,18,214.489,-1425453985.0,2.73438,0.805,36.77827760483419,49.92015770611779,13.52176597029576,4.695840109744987,2.879520097423009,2.129303017881057,3.533681439061266
45552,20150724235118820.SOSU.2-6.fb1,SOSU,64.9419,-16.8543,2015-07-24 23:51:18.820,2015,205.994,65.0194,-16.6659,12.3946,2.1,-12345,-12345,120.868,13.9,15.533672,3.56477,0.20625,0.006563,-39.0,5.75,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,2.0,6,20.132,0.0588052,1,3.15108061,43,5172.554,-1437781985.0,5.95543,0.805,36.69603181180861,56.07160777711745,13.912593842950049,4.772092835115483,2.915407206786531,4.319986633087325,3.574449092159206
45553,20151014030119040.SOSU.3-8.fb1,SOSU,64.9419,-16.8543,2015-10-14 03:01:19.040,2015,287.126,65.0212,-16.6659,12.5342,2.0,-12345,-12345,167.253,14.099999,15.429211,4.63111,0.0675,0.00375,28.0,8.75,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,3.0,8,40.747,0.0588052,1,4.00468874,49,7912.871,-1444791985.0,5.95543,0.805,36.69670087276752,55.16634966202107,14.083503865860738,4.834113000274495,2.913358431021583,1.3962584273798484,3.574117275387616
45554,20140726125939380.SOSU.4-10.fb1,SOSU,64.9419,-16.8543,2014-07-26 12:59:39.380,2014,207.541,65.0149,-16.6659,12.0525,2.1,-12345,-12345,170.107,13.9,15.381694,7.1042,0.05625,0.005625,-38.0,9.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,28.107,0.0588052,1,4.92495298,33,5647.073,-1406379985.0,7.23418,0.805,36.731629820714666,56.14266307671407,13.564890693661503,4.6700838682824495,2.904635350510389,1.2044314749488194,3.556798484757909
