,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
45476,20120729145813120.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-07-29 14:58:13.120,2012,211.624,65.0203,-16.668,12.3924,1.8,-12345,-12345,7.028,14.5,15.536124,3.02949,0.27,0.004687,33.0,7.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,25.972,0.0588052,1,3.05908132,28,9794.242,-1343573985.0,5.85286,0.807,36.73806428524863,49.8562519333886,14.002468322145022,4.837375535472591,2.894641571543203,5.577198592474275,3.553608948658736
45477,20120902130916340.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-09-02 13:09:16.340,2012,246.548,65.0176,-16.6638,12.3286,2.4,-12345,-12345,104.278,14.3,15.460832,3.24241,0.02625,0.004687,-50.0,7.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,25.722,0.0588052,1,4.13415051,37,1592.103,-1346590985.0,7.17003,0.807,36.648599759964114,58.8249851402021,13.761445162044955,4.694275659220453,2.93153750675354,0.5591873316006968,3.5979800902892904
45478,20120729234413100.SSUD.0.5-5.fb1,SSUD,64.9419,-16.8542,2012-07-29 23:44:13.100,2012,211.989,65.022,-16.6829,12.052,1.9,-12345,-12345,94.502,13.9,15.472404,5.48586,0.05625,0.001875,37.0,5.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,0.5,5,57.502,0.0588052,1,6.05132484,41,12646370.0,-1343605985.0,6.36661,0.807,36.758137367746656,52.503523625538605,13.617134629421209,4.709879008191201,2.891185655881802,1.1942556113041292,3.543660527035607
45479,20120811134357320.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-08-11 13:43:57.320,2012,224.572,65.0167,-16.6808,11.6853,1.6,-12345,-12345,136.222,14.3,15.439913,3.70484,0.18,0.020625,-23.0,5.25,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,20.778,0.0588052,1,4.93586922,25,23876.59,-1344692985.0,8.48278,0.807,36.80776729257604,45.10535080906758,13.36356201083459,4.681767650259497,2.8543838586466133,3.843281956061162,3.519074613903026
45480,20120708182648320.SSUD.3-8.fb1,SSUD,64.9419,-16.8542,2012-07-08 18:26:48.320,2012,190.768,65.0104,-16.7104,10.216,2.2,-12345,-12345,77.243,13.9,15.402763,6.25743,0.05625,0.001875,28.0,9.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,49.243,0.0588052,1,4.73837757,42,15841.69,-1341771985.0,6.36661,0.807,36.83666449162039,57.29148076992821,11.69217247829656,4.105149357925807,2.8481722487690964,1.3701659809584044,3.504766716407161
45481,20120716185448660.SSUD.3-8.fb1,SSUD,64.9419,-16.8542,2012-07-16 18:54:48.660,2012,198.788,65.0131,-16.685,11.261,2.1,-12345,-12345,162.926,14.5,15.313826,3.44436,0.12,0.006563,50.0,6.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,67.074,0.0588052,1,6.37855005,20,1218.442,-1342464985.0,5.76006,0.807,36.79551157733277,56.27042162407656,12.765506246423072,4.4344438446482375,2.8787164058530763,2.705593835194975,3.5251444290493907
45482,20120710012706880.SSUD.2-6.fb1,SSUD,64.9419,-16.8542,2012-07-10 01:27:06.880,2012,192.06,65.022,-16.6723,12.394,2.2,-12345,-12345,5.49,13.9,15.393059,3.35287,0.27375,0.00375,30.0,4.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,6,24.51,0.0588052,1,5.93405581,36,30920.16,-1341883985.0,5.65733,0.807,36.68007747172549,56.96707700901561,13.874059397493996,4.749246300333915,2.921318146106367,5.759292722702014,3.582362406824464
45483,20120709110949500.SSUD.3-8.fb1,SSUD,64.9419,-16.8542,2012-07-09 11:09:49.500,2012,191.465,65.0212,-16.685,11.9108,2.5,-12345,-12345,79.626,13.9,15.384311,4.4784,0.05625,0.000937,37.0,8.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,42.626,0.0588052,1,4.90870857,51,5730.998,-1341831985.0,6.74665,0.807,36.6781687509713,59.89591005313964,13.317739651968225,4.554111274008568,2.924333388157605,1.235100580962012,3.583309237716273
45484,20120906230918720.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-09-06 23:09:18.720,2012,250.965,65.022,-16.6829,12.052,2.0,-12345,-12345,124.389,13.9,15.38644,3.07471,0.18,0.001875,-32.0,3.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,23.611,0.0588052,1,6.53481579,50,3561.467,-1346972985.0,6.76541,0.807,36.74608945184322,55.261660538630416,13.586167687213436,4.688132039228105,2.89799168912708,3.838068340135692,3.549631283124226
45485,20120716052559560.SSUD.1-8.fb1,SSUD,64.9419,-16.8542,2012-07-16 05:25:59.560,2012,198.226,65.022,-16.6829,12.052,1.9,-12345,-12345,107.863,13.9,15.333122,8.4082,0.05625,0.002812,43.0,4.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,64.863,0.0588052,1,8.26778412,60,6388542.0,-1342415985.0,6.36661,0.807,36.758137367746656,52.503523625538605,13.617134629421209,4.709879008191201,2.891185655881802,1.1942556113041292,3.543660527035607
45486,20120803155348340.SSUD.1-3.fb1,SSUD,64.9419,-16.8542,2012-08-03 15:53:48.340,2012,216.662,65.0212,-16.6702,12.3924,2.0,-12345,-12345,36.921,14.099999,15.859284,3.6091,0.04375,0.00625,8.0,7.5,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,3,28.921,0.0588052,1,3.90041351,42,18883.59,-1344008985.0,1.77735,0.807,36.71239820461421,55.19662453625455,13.935582385860268,4.790760978437758,2.908845264579363,0.913197049220571,3.5663331065284325
45487,20120818024741920.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-08-18 02:47:41.920,2012,231.116,65.0185,-16.6659,12.3246,2.3,-12345,-12345,143.152,13.9,15.397522,4.92117,0.03,0.001875,25.0,6.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,61.848,0.0588052,1,7.79563236,60,927.6646,-1345257985.0,7.17003,0.807,36.668924349444616,57.8941889903204,13.78425865663195,4.71178124657722,2.925487821966533,0.6366954320299101,3.5878953037426013
45488,20120819055455680.SSUD.3-8.fb1,SSUD,64.9419,-16.8542,2012-08-19 05:54:55.680,2012,232.246,65.022,-16.6702,12.4636,2.1,-12345,-12345,144.857,13.9,15.563128,3.21596,0.03375,0.00375,-1.0,9.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,34.143,0.0588052,1,4.97783566,50,4138.634,-1345355985.0,5.74682,0.807,36.6895477469159,56.05867584098067,13.97140022776448,4.7893142371251045,2.9172026590911546,0.7046850412962158,3.57766497486668
45489,20120718205711540.SSUD.2-3.fb1,SSUD,64.9419,-16.8542,2012-07-18 20:57:11.540,2012,200.873,65.0238,-16.685,12.1345,2.0,-12345,-12345,46.651,14.5,16.124092,3.11784,0.27,0.04875,-80.0,10.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,2.0,3,53.349,0.0588052,1,5.38575172,18,40.14651,-1342644985.0,2.4375,0.807,36.73834945433086,55.2467127239859,13.670993690236028,4.713075171017071,2.900652587572852,5.724051241773509,3.5534675977708563
45490,20120803134112300.SSUD.1-8.fb1,SSUD,64.9419,-16.8542,2012-08-03 13:41:12.300,2012,216.57,65.0212,-16.6702,12.3924,2.0,-12345,-12345,66.866,14.099999,15.299742,5.59907,0.0525,0.001875,32.0,5.0,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,34.866,0.0588052,1,10.4467821,49,706741.9,-1344000985.0,6.29735,0.807,36.71239820461421,55.19662453625455,13.935582385860268,4.790760978437758,2.908845264579363,1.095826407112099,3.5663331065284325
45491,20120829022117840.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-08-29 02:21:17.840,2012,242.098,65.0023,-16.7549,8.20218,4.5,-12345,-12345,25.102,13.9,15.483735,9.8431,0.18,0.000937,84.0,4.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,4.0,10,58.898,0.0588052,1,7.67142296,53,1503.316,-1346206985.0,5.85938,0.807,34.37098620458847,97.17347956539554,9.6924520019336,3.341702934906996,2.9004529100080987,5.382573767089838,4.5
45492,20120718211339240.SSUD.2-3.fb1,SSUD,64.9419,-16.8542,2012-07-18 21:13:39.240,2012,200.884,65.0856,-16.7958,16.2596,2.1,-12345,-12345,63.576,14.7,15.902608,6.74546,0.065,0.005,24.0,9.5,0.0,anginc_corr,ass_5_16,Oct,comment,50,ACl,2.0,3,39.576,0.0588052,1,12.2840338,26,1033.887,-1342645985.0,2.73438,0.807,35.98000302509716,54.66237356956191,17.887251735427313,5.9090001682343285,3.027119855502088,1.0999836174988786,3.932293238303062
45493,20120822030815280.SSUD.1-8.fb1,SSUD,64.9419,-16.8542,2012-08-22 03:08:15.280,2012,235.131,65.0203,-16.6702,12.3215,2.1,-12345,-12345,10.037,13.9,15.409916,3.55699,0.03,0.004687,36.0,6.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,1.0,8,25.963,0.0588052,1,4.39236593,47,121408.1,-1345604985.0,5.74682,0.807,36.704412954180526,56.088328093683245,13.83471471405556,4.749271905369614,2.9130180351252952,0.6316694715110316,3.5702927233417325
45494,20120717084440700.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-07-17 08:44:40.700,2012,199.364,65.0292,-16.6914,12.4027,2.1,-12345,-12345,174.771,14.099999,15.460832,3.27916,0.09,0.000937,31.0,4.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,36.229,0.0588052,1,7.15484571,41,1216.489,-1342514985.0,7.17003,0.807,36.695744712410026,56.0710351121695,13.915223552566724,4.772863139822695,2.9154876527810214,1.8854930138346049,3.574591478270233
45495,20120826061032620.SSUD.4-10.fb1,SSUD,64.9419,-16.8542,2012-08-26 06:10:32.620,2012,239.257,65.0095,-16.6574,11.9647,0.7,-12345,-12345,172.971,14.099999,15.306099,4.12309,0.09,0.001875,13.0,3.25,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,4.0,10,20.029,0.0588052,1,8.74007416,49,603.6831,-1345960985.0,6.69643,0.807,36.8316107453138,39.44402330813893,14.040988887350611,5.067706610463485,2.7706791191028404,1.775811259999216,3.5072685927530403
45496,20120715205432180.SSUD.3-8.fb1,SSUD,64.9419,-16.8542,2012-07-15 20:54:32.180,2012,197.871,65.0203,-16.6787,12.0419,2.0,-12345,-12345,69.243,13.9,15.333122,14.4111,0.0525,0.000937,25.0,5.75,0.0,anginc_corr,ass_5_15,Oct,comment,50,ACl,3.0,8,44.243,0.0588052,1,9.53487873,50,62833.18,-1342385985.0,6.36661,0.807,36.74649032910757,55.262434842076274,13.581688278967864,4.6868143723038616,2.897850693474685,1.1201287068644206,3.549432599629359
