,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
42139,20140615113716900.STOR.4-10.fb1,STOR,65.1331,-16.6314,2014-06-15 11:37:16.900,2014,166.484,65.022,-16.668,12.5037,2.8,-12345,-12345,162.216,14.7,15.460832,3.09054,0.245,0.00375,4.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,21.784,0.0588052,1,6.30093098,23,1126.384,-1402831985.0,7.17003,0.721,36.52097846204799,62.042212062596725,13.856279396303004,4.681272429419948,2.9599386929976053,5.230040860919871,3.6613648349093113
42140,20160105084012400.STOR.4-10.fb1,STOR,65.1331,-16.6314,2016-01-05 08:40:12.400,2016,5.36114,65.0167,-16.6701,13.1118,1.7,-12345,-12345,95.39,14.3,15.4165,3.492,0.05,0.000625,51.0,2.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.39,0.0588052,1,15.6350718,35,936.3557,-1451982985.0,7.96494,0.721,36.67389021954734,47.28494341618747,14.763153863197244,5.076168016569119,2.908326480724995,0.9849710869843876,3.5854317109078497
42141,20150916230610660.STOR.4-10.fb1,STOR,65.1331,-16.6314,2015-09-16 23:06:10.660,2015,259.962,65.066,-16.7107,8.362,2.4,-12345,-12345,179.997,13.9,15.375659,3.90042,0.29,0.0025,-45.0,7.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.997,0.0588052,1,2.40978122,41,2823.76,-1442444985.0,5.89286,0.721,43.20288780189644,78.89203977954791,9.137309534796923,3.476133226126757,2.62858438972377,8.328137518831724,2.60377308514742
42142,20131002201806540.STOR.4-10.fb1,STOR,65.1331,-16.6314,2013-10-02 20:18:06.540,2013,275.846,65.0229,-16.7296,13.1274,1.0,-12345,-12345,177.009,14.099999,15.499761,3.6901,0.095,0.015625,67.0,7.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,69.991,0.0588052,1,5.37117052,38,1771.655,-1380744985.0,5.91701,0.721,36.740532169838175,40.68228406989755,15.078913844204166,5.3085071337225855,2.840518711638256,1.7894370800505044,3.5523856999268446
42143,20140530030802500.STOR.3-8.fb1,STOR,65.1331,-16.6314,2014-05-30 03:08:02.500,2014,150.131,65.022,-16.6659,12.4903,2.1,-12345,-12345,172.637,14.7,15.284516,4.6697,0.1925,0.00125,-61.0,2.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,3.0,8,53.637,0.0588052,1,27.319582,17,252.5702,-1401418985.0,6.19507,0.721,36.68481850414203,56.04924580081278,14.013546166705275,4.8016509554532645,2.918484974587752,4.007428185315831,3.58001069460376
42144,20140611042817940.STOR.2-3.fb1,STOR,65.1331,-16.6314,2014-06-11 04:28:17.940,2014,162.186,65.0185,-16.6702,12.9137,2.4,-12345,-12345,145.286,14.099999,16.01457,5.03751,0.285,0.01,-11.0,3.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,2.0,3,23.714,0.0588052,1,12.5120726,22,154.2414,-1402460985.0,2.73438,0.721,36.56824352169899,58.64683111257069,14.354858799472424,4.8670923906985495,2.9493705167598314,5.850641170879811,3.6378778234557583
42145,20130926224555420.STOR.4-10.fb1,STOR,65.1331,-16.6314,2013-09-26 22:45:55.420,2013,269.948,65.084,-16.5789,6.01318,2.5,-12345,-12345,91.846,14.099999,15.527879,3.38327,0.05,0.0025,47.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,44.846,0.0588052,1,4.38637352,34,2735.146,-1380235985.0,6.43706,0.721,43.65006633999223,88.62597390843624,6.753985552137583,2.6682650526018383,2.5312273777118723,1.873712338054645,2.503494202462811
42146,20150917131736780.STOR.4-10.fb1,STOR,65.1331,-16.6314,2015-09-17 13:17:36.780,2015,260.554,65.0212,-16.6723,12.6317,2.1,-12345,-12345,106.336,14.7,15.464478,21.6116,0.1425,0.015625,-40.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,33.664,0.0588052,1,5.69270134,19,776.198,-1442495985.0,7.69043,0.721,36.66951028604871,56.018733262054766,14.14599655312696,4.84038979104879,2.922491196739319,2.9433401712907425,3.587604609408756
42147,20150926020529420.STOR.4-10.fb1,STOR,65.1331,-16.6314,2015-09-26 02:05:29.420,2015,269.087,65.022,-16.668,12.5037,2.0,-12345,-12345,128.109,14.7,15.268497,11.597,0.1,0.0025,17.0,3.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,68.891,0.0588052,1,12.5977116,26,196.6455,-1443232985.0,8.27206,0.721,36.69973668945832,55.17220342012948,14.055510830521808,4.825913401361118,2.9125078843224874,2.0719242039660912,3.572611716578704
42148,20140522061713580.STOR.4-10.fb1,STOR,65.1331,-16.6314,2014-05-22 06:17:13.580,2014,142.262,65.0167,-16.6638,13.0732,2.9,-12345,-12345,77.494,14.7,15.385558,3.80597,0.31,0.001875,32.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,45.494,0.0588052,1,6.60141039,21,471.58,-1400738985.0,6.53609,0.721,36.390396953052736,62.58234324123404,14.409100276255032,4.831180859478852,2.9825213949471907,6.4100593692067775,3.726328109327829
