,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
42198,20121218061415000.VADA.4-10.fb1,VADA,64.9949,-16.5382,2012-12-18 06:14:15.000,2012,353.26,65.0463,-16.5832,6.11208,3.7,-12345,-12345,71.811,14.7,15.539973,4.12859,0.09,0.002812,46.0,10.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,25.811,0.0588052,1,5.5272069,27,9567.527,-1355810985.0,5.2662,0.673,36.086995173728326,97.41319814109336,7.388422644758346,2.7110303644856018,2.725319030559897,3.318856839619144,3.7
42199,20140804085353860.VADA.2-6.fb1,VADA,64.9949,-16.5382,2014-08-04 08:53:53.860,2014,216.371,65.0122,-16.7083,8.25385,2.0,-12345,-12345,139.682,14.7,15.827423,3.22867,0.11625,0.0075,-16.0,6.5,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,2.0,6,24.318,0.0588052,1,9.32867432,23,63009.96,-1407141985.0,3.39286,0.673,44.15415949289279,73.10004175780384,8.999762444770536,3.472489610622514,2.5917320003607287,3.346804737498843,2.4146581481155502
42200,20140916013301200.VADA.0.5-5.fb1,VADA,64.9949,-16.5382,2014-09-16 01:33:01.200,2014,259.064,65.031,-16.5853,4.60402,2.9,-12345,-12345,19.491,14.7,15.4004,4.06113,0.165,0.005625,48.0,6.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,0.5,5,28.509,0.0588052,1,8.63488293,18,3533346.0,-1410830985.0,4.17878,0.673,40.38347355894627,104.21279805398734,5.5486001997125936,2.2126787500301712,2.5076393035531863,7.446686771826094,2.9000000000000004
42201,20141109223401580.VADA.4-10.fb1,VADA,64.9949,-16.5382,2014-11-09 22:34:01.580,2014,313.94,65.0212,-16.6659,6.69984,2.2,-12345,-12345,76.778,14.099999,15.424276,3.74275,0.0825,0.002812,35.0,6.75,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,4.0,10,41.778,0.0588052,1,5.34884024,36,86163.7,-1415571985.0,4.9326,0.673,44.718846820159634,80.93900749232623,7.391123335407904,2.916940763781017,2.533861306743621,2.827740248865496,2.318634278834283
42202,20100727043146740.VADA.1-8.fb1,VADA,64.9949,-16.5382,2010-07-27 04:31:46.740,2010,208.189,65.0104,-16.6553,5.78958,3.2,-12345,-12345,34.27,14.5,15.567591,3.95379,0.16,0.0025,68.0,6.75,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,33.73,0.0588052,1,4.18663931,41,69576.66,-1280204985.0,4.4837,0.673,39.49351027409137,91.31789248304328,6.808252615487227,2.6077010808468093,2.610825552626743,6.129908755595892,3.2
42203,20120804043440080.VADA.1-8.fb1,VADA,64.9949,-16.5382,2012-08-04 04:34:40.080,2012,217.191,65.049,-16.5619,6.13487,3.0,-12345,-12345,63.66,14.099999,15.374125,7.98405,0.06375,0.001875,43.0,2.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,20.66,0.0588052,1,27.2943592,45,18289.66,-1344054985.0,4.6875,0.673,41.32761957379332,95.1630306416878,7.037238760026595,2.7189124240507434,2.588255030863494,2.344365346534971,3.0
42204,20090715060736020.VADA.1-8.fb1,VADA,64.9949,-16.5382,2009-07-15 06:07:36.020,2009,196.255,65.057,-16.5152,7.01379,4.0,-12345,-12345,104.422,14.099999,15.57658,4.84058,0.075,0.0025,50.0,5.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,54.422,0.0588052,1,6.30400181,50,15685.37,-1247637985.0,3.61842,0.673,35.44224875279329,98.03958452288344,8.358715625394767,2.983406715597601,2.8017352048228688,2.5135075912444904,4.0
42205,20081217135658600.VADA.4-10.fb1,VADA,64.9949,-16.5382,2008-12-17 13:56:58.600,2008,352.581,65.1313,-16.8238,20.3029,0.9,-12345,-12345,105.146,13.9,15.472116,3.57503,0.0475,0.0025,52.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,53.146,0.0588052,1,4.39478064,39,5731.018,-1229521985.0,5.56469,0.673,34.515380474853245,37.72111213297462,22.762902320931943,7.427388707919787,3.064724793070272,0.639518358332225,4.581966404882714
42206,20130707223650660.VADA.1-8.fb1,VADA,64.9949,-16.5382,2013-07-07 22:36:50.660,2013,188.942,65.0391,-16.5216,4.99142,2.9,-12345,-12345,117.615,13.9,15.480402,9.18842,0.07875,0.002812,52.0,3.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,65.615,0.0588052,1,16.0327911,65,143067.1,-1373236985.0,3.81836,0.673,40.97317060500447,101.16639484878428,5.910097773779204,2.3401204855390487,2.525552769740319,3.364259135476999,2.9000000000000004
42207,20110724081448640.VADA.1-8.fb1,VADA,64.9949,-16.5382,2011-07-24 08:14:48.640,2011,205.344,65.0829,-16.7958,15.6095,2.3,-12345,-12345,46.662,14.099999,15.648646,5.60799,0.21375,0.031875,-73.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,60.338,0.0588052,1,4.02953005,26,54440.72,-1311494985.0,4.78316,0.673,36.06634756068473,56.62167953838017,17.14411404581001,5.675697484190101,3.0206180110137435,3.7647225367607007,3.888101120466221
