,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
38178,20080804035044740.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-08-04 03:50:44.740,2008,217.16,65.0409,-16.7318,2.82615,2.2,-12345,-12345,162.183,13.9,15.391857,4.25804,0.02625,0.001875,9.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,26.817,0.0588052,1,9.01304531,35,7073.069,-1217821985.0,7.41674,1.11,41.878062111341954,110.46552764147296,3.6136712763505257,1.5629708838796,2.3120528434801586,1.6793754411949635,2.2
38179,20081006204228660.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-10-06 20:42:28.660,2008,280.863,65.066,-16.7255,0.331744,2.7,-12345,-12345,42.849,13.9,15.582683,3.56956,0.035,0.0075,68.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,25.151,0.0588052,1,3.59312296,31,1652463.0,-1223325985.0,4.6875,1.11,5.893143258471277,171.30568892716698,2.720872891365308,1.1537788118642565,2.358227472533464,3.032812826057807,2.7
38180,20080901055154660.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-09-01 05:51:54.660,2008,245.244,65.1485,-16.6876,9.41824,5.9,-12345,-12345,96.615,13.9,15.4197,5.99903,0.0175,0.000625,-49.0,6.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,34.385,0.0588052,1,13.9052944,55,113899.5,-1220247985.0,6.54872,1.11,31.439776222982783,106.67733827209304,11.415712226353314,3.743937798948351,3.0491190931537155,0.4674197423696569,5.9
38181,20080910101011160.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-09-10 10:10:11.160,2008,254.424,65.0283,-16.685,4.77861,3.2,-12345,-12345,95.446,14.099999,15.462785,7.65153,0.0375,0.001875,-16.0,3.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,68.554,0.0588052,1,35.482132,29,1371.494,-1221040985.0,7.65427,1.11,38.49121964115855,101.94041885025304,5.873469441550159,2.294860004585328,2.5594020680191654,1.6339775371974952,3.2
38182,20070728104545000.VIBR.2-6.fb1,VIBR,65.0662,-16.7326,2007-07-28 10:45:45.000,2007,209.448,65.0703,-16.8212,4.19619,3.1,-12345,-12345,101.863,14.7,15.463261,3.68909,0.195,0.000937,-33.0,2.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,45.137,0.0588052,1,26.3162518,25,1256.874,-1185619985.0,4.78316,1.11,37.988101903704525,108.57649661045085,5.29658089716201,2.104123056105569,2.5172391328505395,9.24770484390578,3.1
38183,20080803231004380.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-08-03 23:10:04.380,2008,216.965,65.0167,-16.6659,6.35118,2.3,-12345,-12345,155.564,13.9,15.495492,6.07523,0.02625,0.001875,-4.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,20.436,0.0588052,1,13.6568203,31,4629.385,-1217804985.0,6.72554,1.11,44.484820313894105,83.67730575045668,7.056077739197996,2.7925853409529173,2.5267187490106364,0.9399684153436284,2.3580513569985886
38184,20081030163536140.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-10-30 16:35:36.140,2008,304.691,65.0677,-16.8148,3.87322,3.1,-12345,-12345,113.907,13.9,15.609278,4.87355,0.035,0.005,-39.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,27.093,0.0588052,1,4.82640553,36,2034.048,-1225384985.0,5.07061,1.11,37.00741014378658,112.03024217087444,5.025822637750464,2.0068276773084275,2.5043618316502068,1.7439135066595668,3.1
38185,20070718203247600.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2007-07-18 20:32:47.600,2007,199.856,65.022,-16.6808,5.49306,2.3,-12345,-12345,77.815,13.9,15.463844,5.81821,0.03,0.001875,-33.0,3.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,69.185,0.0588052,1,17.3496208,34,109355.0,-1184790985.0,4.76722,1.11,44.79288791820076,87.92468293872184,6.191101209700658,2.49574596758918,2.480661609835671,1.2020019979189556,2.3062488436974755
38186,20070708021017100.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2007-07-08 02:10:17.100,2007,189.09,65.0649,-16.8318,4.67103,3.0,-12345,-12345,77.612,13.9,15.563375,5.19833,0.03375,0.0075,-36.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,66.388,0.0588052,1,12.0857639,46,20257.26,-1183860985.0,4.58777,1.11,39.8181128575909,105.03615161092316,5.660073446733246,2.243195526805324,2.52321894328762,1.5044649403279209,3.0
38187,20081010064053880.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-10-10 06:40:53.880,2008,284.278,65.0498,-16.7531,2.06731,2.6,-12345,-12345,132.053,13.9,15.428734,7.10563,0.0475,0.0025,-23.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,24.947,0.0588052,1,15.449913,40,5820.773,-1223620985.0,5.76006,1.11,31.0767317792699,131.08073039550183,3.335877747656828,1.410794374179933,2.3645385952122955,3.365943825365747,2.6
38188,20080901070244700.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-09-01 07:02:44.700,2008,245.293,65.1485,-16.6876,9.41824,6.0,-12345,-12345,98.763,14.099999,15.308907,11.4298,0.02,0.00125,-46.0,4.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,35.237,0.0588052,1,24.7350941,31,7182.859,-1220252985.0,6.54872,1.11,31.2357162570089,107.65860599082644,11.460676420277986,3.75194142443644,3.054598972583757,0.5330535758560018,6.0
38189,20070710071425980.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2007-07-10 07:14:25.980,2007,191.302,65.0149,-16.6701,6.43242,2.4,-12345,-12345,71.35,13.9,15.441184,5.33084,0.02625,0.000937,-44.0,3.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,64.65,0.0588052,1,22.9915123,46,50914.81,-1184051985.0,7.03125,1.11,43.98667500917381,84.54228644337151,7.163394995579115,2.817584246242279,2.542388929499696,0.9316289461196448,2.4436864777928786
38190,20070813023152620.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2007-08-13 02:31:52.620,2007,225.105,65.0695,-16.8169,3.98691,3.0,-12345,-12345,24.906,13.9,15.336131,4.74883,0.1275,0.00375,-11.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,35.906,0.0588052,1,7.51905489,32,4373.544,-1186971985.0,5.63713,1.11,38.18073844642775,111.20879731542848,5.06001943857522,2.028710677151426,2.494204568233528,6.278586105621642,3.0
38191,20080902124102420.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-09-02 12:41:02.420,2008,246.528,65.0212,-16.6744,5.71985,2.5,-12345,-12345,89.567,13.9,15.419619,12.6403,0.04,0.001875,-23.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,67.433,0.0588052,1,28.7963581,25,3036.875,-1220358985.0,7.65427,1.11,43.66514513969778,89.72197053372882,6.466389797687739,2.569760033146459,2.516339936134106,1.5564713000884467,2.500142489932502
38192,20081019093027760.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-10-19 09:30:27.760,2008,293.396,65.0212,-16.6808,5.58291,2.7,-12345,-12345,97.605,13.9,15.505503,6.62598,0.025,0.00125,-40.0,9.0,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,42.395,0.0588052,1,13.6528435,40,1464.732,-1224408985.0,5.90019,1.11,42.62387412108214,94.44456480923816,6.391573577586964,2.5257700616205265,2.530544515792601,0.9897729052369186,2.7
38193,20080925104811020.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-09-25 10:48:11.020,2008,269.45,65.0149,-16.668,6.47859,2.5,-12345,-12345,76.989,13.9,15.444316,10.5994,0.0325,0.00375,-37.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,1.0,8,66.011,0.0588052,1,26.5140076,40,547119.7,-1222339985.0,6.93222,1.11,43.58465177547156,86.8774919299592,7.230123110654628,2.830451273881628,2.5544064924811,1.1481889531324896,2.5180551498860826
38194,20070707055309280.VIBR.3-8.fb1,VIBR,65.0662,-16.7326,2007-07-07 05:53:09.280,2007,188.245,65.0499,-16.5386,9.31152,0.8,-12345,-12345,166.998,13.9,15.685833,9.59987,0.06,0.004687,-80.0,7.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,3.0,8,66.998,0.0588052,1,4.7337656,35,3119.628,-1183787985.0,4.42708,1.11,44.95002243191508,49.09469691200343,10.361640211431729,4.134599602348618,2.5060806868809986,1.4510919380001042,2.280160764399749
38195,20081001005957780.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-10-01 00:59:57.780,2008,275.041,65.0462,-16.7297,2.22974,2.1,-12345,-12345,134.701,14.099999,15.53502,13.5238,0.07,0.0025,-1.0,5.5,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,44.299,0.0588052,1,5.36000824,35,247.889,-1222822985.0,5.36932,1.11,39.3378690257093,118.33708267216592,3.080691429507907,1.3582097395241897,2.268200072388776,5.150425293171423,2.1
38196,20080905160914000.VIBR.1-8.fb1,VIBR,65.0662,-16.7326,2008-09-05 16:09:14.000,2008,249.673,65.0749,-16.7702,2.01971,2.1,-12345,-12345,154.806,13.9,15.468204,8.5989,0.1225,0.0025,-62.0,4.25,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,1.0,8,36.806,0.0588052,1,7.76886749,47,621085.8,-1220630985.0,6.5625,1.11,37.229161197354735,122.85363079228637,2.9209849954299174,1.2910618935143352,2.262467051427604,9.467053727325592,2.1
38197,20081025152349740.VIBR.3-8.fb1,VIBR,65.0662,-16.7326,2008-10-25 15:23:49.740,2008,299.641,65.014,-16.668,6.56714,2.2,-12345,-12345,79.103,13.9,15.469961,9.57418,0.04,0.004375,-31.0,5.0,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,3.0,8,69.897,0.0588052,1,21.4166832,30,22728.56,-1224947985.0,7.03125,1.11,44.79771033210807,81.45249621773571,7.260181583861602,2.8728623862382445,2.527159539085392,1.3922721036010444,2.30544714893856
38198,20080821014845180.VIBR.3-8.fb1,VIBR,65.0662,-16.7326,2008-08-21 01:48:45.180,2008,234.075,65.0149,-16.668,6.47859,2.2,-12345,-12345,154.082,13.9,15.495492,4.60179,0.02625,0.001875,-2.0,3.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,23.918,0.0588052,1,14.8651924,37,628.0543,-1219282985.0,6.72554,1.11,44.85333338757137,81.83345153156442,7.168486875667738,2.8418011386728668,2.522515308377789,0.9236902515056044,2.2962050244772145
38199,20070707212934020.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2007-07-07 21:29:34.020,2007,188.895,65.0947,-16.6427,5.28899,3.1,-12345,-12345,106.379,13.9,15.527879,7.20205,0.02625,0.001875,-46.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,27.621,0.0588052,1,5.97332525,38,5203.857,-1183843985.0,6.21501,1.11,40.01210652986432,98.03775653113333,6.277418854558495,2.4474317428072485,2.5649004810888747,1.0725220505321431,3.1
38200,20080911170903820.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-09-11 17:09:03.820,2008,255.714,65.0212,-16.6744,5.71985,2.3,-12345,-12345,100.554,14.7,15.464478,8.85176,0.04,0.0025,-16.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,63.446,0.0588052,1,18.8674393,15,6418.453,-1221152985.0,7.53706,1.11,44.74014791142898,86.77580868494788,6.41125182364741,2.571942878109408,2.4927660245550296,1.5551504602797197,2.3150544759164955
38201,20081011172755320.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-10-11 17:27:55.320,2008,285.728,65.0687,-16.5024,10.8342,4.2,-12345,-12345,140.078,13.9,15.445276,6.9618,0.0725,0.000625,-85.0,1.75,0.0,anginc_corr,ass_5_15,Apr,comment,25,ACl,4.0,10,45.078,0.0588052,1,32.6334305,35,1408.993,-1223745985.0,7.70372,1.11,35.26888022450328,85.93734610244907,12.190214888767375,4.084709007860135,2.984353319981903,1.7747724701223433,4.243602920583338
38202,20080824005127780.VIBR.3-8.fb1,VIBR,65.0662,-16.7326,2008-08-24 00:51:27.780,2008,237.036,65.0149,-16.668,6.47859,2.3,-12345,-12345,150.669,14.3,15.460143,3.64832,0.02625,0.001875,-7.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,22.331,0.0588052,1,16.6883373,28,558.2908,-1219538985.0,6.93222,1.11,44.42036636346404,83.11005189540955,7.188265165424405,2.837175146465745,2.5335993706200304,0.9251962569351236,2.3690417843255167
38203,20070712001514560.VIBR.2-6.fb1,VIBR,65.0662,-16.7326,2007-07-12 00:15:14.560,2007,193.011,65.0167,-16.6786,6.07787,2.4,-12345,-12345,70.054,14.7,15.383745,6.80846,0.075,0.0,-65.0,2.25,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,2.0,6,44.946,0.0588052,1,105.103943,16,352.625,-1184198985.0,4.00152,1.11,44.124055491112166,86.31870274528413,6.801174622370447,2.6948775743637907,2.52374159296497,2.7825190906597186,2.419869701693555
38204,20080905022059980.VIBR.4-10.fb1,VIBR,65.0662,-16.7326,2008-09-05 02:20:59.980,2008,249.098,65.0669,-16.4897,11.431,4.6,-12345,-12345,18.781,14.3,15.326577,5.13053,0.0175,0.000625,-5.0,2.75,0.0,anginc_corr,ass_5_16,Apr,comment,25,ACl,4.0,10,23.781,0.0588052,1,54.7196159,36,460.2385,-1220580985.0,5.87859,1.11,34.443277228500314,87.55056893241348,12.890757207153449,4.246210525337374,3.035826210272332,0.4121304298394079,4.617983756980708
