,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
29728,20160327053155080.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2016-03-27 05:31:55.080,2016,87.2304,65.0758,-16.4981,0.984981,3.2,-12345,-12345,87.132,13.9,15.384973,6.81011,0.15,0.00375,19.0,5.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,68.132,0.0588052,1,4.84619141,35,11749.2,-1459056985.0,9.35872,0.696,13.721069211735326,158.1081707017151,3.353403831761504,1.3700028481812194,2.4477349344298056,10.916264305551238,3.2
29729,20150422052947780.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-04-22 05:29:47.780,2015,112.229,65.1205,-16.8706,18.1723,1.2,-12345,-12345,70.285,14.7,15.398772,3.57534,0.15,0.001875,39.0,4.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,31.285,0.0588052,1,11.1409931,30,822.228,-1429680985.0,6.82218,0.696,35.325929318882395,39.82802145092898,20.28791846635208,6.715056529514001,3.021258030693065,2.23350752530962,4.219247083194816
29730,20141124182629200.VIFE.3-8.fb1,VIFE,65.0845,-16.4935,2014-11-24 18:26:29.200,2014,328.768,65.0758,-16.4981,0.984981,3.9,-12345,-12345,2.478,14.099999,15.4638,5.20115,0.03,0.004687,27.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,24.522,0.0588052,1,2.85660934,54,254471.2,-1416853985.0,7.41674,0.696,10.74158075222786,161.5328335557266,4.027828389170774,1.5673282775906092,2.569869022820537,1.913910004704178,3.9
29731,20160124171524580.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2016-01-24 17:15:24.580,2016,24.7189,65.0113,-16.685,12.1619,1.9,-12345,-12345,109.725,13.9,15.382221,6.66468,0.10125,0.004687,64.0,7.25,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,4.0,10,45.725,0.0588052,1,2.74948001,50,2495.36,-1453655985.0,5.35511,0.696,36.74825527734672,52.48628228351949,13.731467587999562,4.74352793305918,2.8947795357755823,2.1342442078790214,3.548557865223012
29732,20140824064030580.VIFE.0.2-3.fb1,VIFE,65.0845,-16.4935,2014-08-24 06:40:30.580,2014,236.278,65.0194,-16.6617,10.7427,0.2,-12345,-12345,80.425,13.9,15.78203,8.1303,0.09,0.01,19.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.2,3,61.425,0.0588052,1,3.6442976,39,53146220.0,-1408861985.0,3.2197,0.696,44.09807931720598,44.99051731404045,12.109547011438618,4.82979048522892,2.5072613498398275,1.863273132758536,2.424368787816851
29733,20150429065706200.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-04-29 06:57:06.200,2015,119.29,65.1178,-16.8578,17.5213,1.9,-12345,-12345,150.286,14.099999,15.551349,4.60006,0.35625,0.0225,84.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,66.286,0.0588052,1,2.88906074,30,880.9841,-1430290985.0,5.46875,0.696,35.31912253820202,50.03763742049944,19.33788965974768,6.312578396555949,3.0633900198844493,5.639007914781757,4.222149274592959
29734,20151226211402560.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-12-26 21:14:02.560,2015,360.885,65.0212,-16.6659,10.7587,0.3,-12345,-12345,146.592,14.5,15.43797,6.14913,0.09,0.020625,28.0,9.75,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,61.408,0.0588052,1,4.18038321,33,1881.245,-1451163985.0,5.1577,0.696,43.96068869735879,45.29802239752682,12.095261472574716,4.799978388239623,2.519857485652267,1.874843673945748,2.4481977693236585
29735,20140827085410860.VIFE.0.5-5.fb1,VIFE,65.0845,-16.4935,2014-08-27 08:54:10.860,2014,239.371,65.0194,-16.6659,10.8909,1.8,-12345,-12345,145.453,14.7,15.390764,4.96239,0.10125,0.004687,16.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,50.547,0.0588052,1,4.63539076,29,1534022.0,-1409129985.0,5.74682,0.696,36.833505903613954,50.00800837302588,12.487078295436907,4.389427788769236,2.8448077736661426,2.306372043510408,3.506330368052603
29736,20151122200911460.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2015-11-22 20:09:11.460,2015,326.84,65.0158,-16.6638,11.089,2.3,-12345,-12345,120.583,14.5,15.425006,4.29312,0.1125,0.00375,57.0,5.75,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,1.0,8,63.583,0.0588052,1,6.03620481,39,84039.18,-1448222985.0,7.1421,0.696,36.78622644333488,58.14598141817744,12.53527025862272,4.344572175872292,2.885271495370179,2.5890040128899727,3.5297436687475914
29737,20140722233204840.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2014-07-22 23:32:04.840,2014,203.981,65.022,-16.6765,11.0776,2.0,-12345,-12345,135.496,13.9,15.437295,8.50084,0.09,0.00375,-1.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,43.504,0.0588052,1,2.40510917,58,421319.3,-1406071985.0,8.88565,0.696,36.81456957726269,55.39409228141147,12.61200610815368,4.400476906072523,2.866054379412718,2.0450190329242446,3.5157061060722645
29738,20151010180917940.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-10-10 18:09:17.940,2015,283.756,65.084,-16.5512,2.71825,5.8,-12345,-12345,169.055,13.9,15.434008,12.5583,0.02625,0.001875,23.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,33.945,0.0588052,1,8.0105648,53,9735.768,-1444500985.0,7.73438,0.696,16.49723011997499,148.58550125141278,6.424216303368828,2.2533733879502567,2.850932889205952,1.1648806027437786,5.8
29739,20140907082419940.VIFE.0.5-5.fb1,VIFE,65.0845,-16.4935,2014-09-07 08:24:19.940,2014,250.35,65.0821,-16.5342,1.93519,2.2,-12345,-12345,125.802,13.9,15.549632,3.83716,0.12,0.00375,13.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.5,5,67.198,0.0588052,1,4.83893156,61,3216144.0,-1410077985.0,4.96324,0.696,34.7692154554797,126.83551735032836,2.936885162816914,1.2865631784803933,2.282736838688152,9.306977110337655,2.2
29740,20150714112907760.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2015-07-14 11:29:07.760,2015,195.478,65.0212,-16.6702,10.9103,2.0,-12345,-12345,154.121,13.9,15.388972,4.84381,0.1125,0.004687,5.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,30.879,0.0588052,1,3.0374248,46,791349.2,-1436872985.0,7.61218,0.696,36.82269673214041,55.409830724712926,12.440508089228738,4.34962502713938,2.860133462449404,2.585997437347487,3.51168191176848
29741,20160330173245800.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2016-03-30 17:32:45.800,2016,90.731,65.0194,-16.6765,11.2685,1.5,-12345,-12345,100.903,13.9,15.492487,7.17446,0.02625,0.004687,34.0,8.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,66.903,0.0588052,1,4.16813421,33,2822.421,-1459358985.0,7.29668,0.696,36.83146948625086,42.85523781397896,12.98192067964046,4.587069999923359,2.830111744502997,0.5722560391177467,3.5073385259644407
29742,20160408114605440.VIFE.3-8.fb1,VIFE,65.0845,-16.4935,2016-04-08 11:46:05.440,2016,99.4902,65.0247,-16.685,11.2107,1.8,-12345,-12345,61.061,14.099999,15.574564,9.17117,0.0975,0.002812,35.0,4.0,0.0,anginc_corr,ass_5_16,May,comment,50,ACl,3.0,8,26.061,0.0588052,1,10.1096821,54,12581.35,-1460115985.0,4.85157,0.696,36.82089243044963,49.98793579799954,12.810336516136122,4.485395576769394,2.856010422465964,2.173464607685105,3.5125752822989966
29743,20150818084016000.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2015-08-18 08:40:16.000,2015,230.361,65.022,-16.6702,10.8459,2.1,-12345,-12345,31.082,14.099999,15.424214,3.25923,0.05625,0.005625,-84.0,7.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,64.918,0.0588052,1,2.68242884,57,15857.45,-1439886985.0,8.98438,0.696,36.81855407422374,56.316583426693214,12.352910152288036,4.312267638103546,2.864597281285772,1.3043626272832398,3.513733112551675
29744,20120717001336140.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2012-07-17 00:13:36.140,2012,199.009,65.0203,-16.6765,11.2043,2.2,-12345,-12345,6.198,14.099999,15.288518,4.19444,0.21,0.002812,68.0,9.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,61.802,0.0588052,1,3.33018613,39,1055.313,-1342483985.0,7.76855,0.696,36.78948603485429,57.19351049924602,12.67470608544407,4.396489231639246,2.882915303017417,4.773817129067481,3.528129019756787
29745,20140820212246500.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2014-08-20 21:22:46.500,2014,232.891,65.0176,-16.6638,10.9518,2.2,-12345,-12345,141.727,14.099999,15.369383,4.15584,0.11625,0.005625,19.0,6.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,57.273,0.0588052,1,2.33148217,56,380501.0,-1408569985.0,6.29735,0.696,36.805187562166736,57.22609392828301,12.424341340602082,4.322433054779832,2.874386065242352,2.688971343036428,3.520352180915136
29746,20140820203013600.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2014-08-20 20:30:13.600,2014,232.854,65.0149,-16.668,11.3029,2.0,-12345,-12345,114.517,14.099999,15.73686,8.35817,0.11625,0.004687,62.0,8.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,52.517,0.0588052,1,2.04120255,45,7655956.0,-1408566985.0,4.07493,0.696,36.80226150572467,55.37026612867604,12.83449677199502,4.466359659851683,2.8735923099442515,2.6023501703591023,3.52180131202046
29747,20150505194452240.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-05-05 19:44:52.240,2015,125.823,65.0212,-16.668,10.8342,2.0,-12345,-12345,135.864,13.9,15.481483,6.54404,0.09,0.001875,0.0,7.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,44.136,0.0588052,1,4.41447735,37,837.2234,-1430854985.0,7.20545,0.696,36.82603284145945,55.4162925168296,12.361694334030116,4.326236129339859,2.857378553656615,2.0801052444767265,3.5100301471729214
29748,20150726083630240.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-07-26 08:36:30.240,2015,207.359,65.0229,-16.6681,10.705,3.0,-12345,-12345,142.518,14.099999,15.410617,5.98321,0.12,0.002812,-61.0,4.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,23.518,0.0588052,1,5.73225498,37,1325.404,-1437899985.0,7.63889,0.696,36.706485372312926,64.35049994770954,11.989261953992996,4.11808956192952,2.9113650331527663,2.913354245868049,3.569265041436152
29749,20140904131015380.VIFE.1-8.fb1,VIFE,65.0845,-16.4935,2014-09-04 13:10:15.380,2014,247.549,65.0839,-16.5364,2.01848,2.0,-12345,-12345,106.245,13.9,15.482561,7.41839,0.09,0.002812,47.0,8.75,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,59.245,0.0588052,1,2.7923677,56,3598539.0,-1409835985.0,7.1421,0.696,38.956464208163865,120.2766104790172,2.847476256666466,1.2723045020487382,2.238046200482114,7.0649513850334245,2.0
29750,20151211012515380.VIFE.4-10.fb1,VIFE,65.0845,-16.4935,2015-12-11 01:25:15.380,2015,345.059,65.0212,-16.668,10.8342,1.8,-12345,-12345,86.048,14.5,15.437295,4.3102,0.15,0.01875,17.0,6.0,0.0,anginc_corr,ass_5_15,May,comment,50,ACl,4.0,10,69.048,0.0588052,1,5.88051081,34,1436.442,-1449796985.0,9.08098,0.696,36.83533027745279,50.01091202823959,12.42868787306128,4.372071860225822,2.842745561007162,3.4298586586629654,3.5054272081506
