,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32266,20080818004002260.VIKR.4-10.fb1,VIKR,65.0747,-16.5135,2008-08-18 00:40:02.260,2008,231.028,65.0212,-16.668,9.4168,2.0,-12345,-12345,32.443,14.7,15.428276,10.1795,0.08625,0.000937,7.0,4.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,25.443,0.0588052,1,19.412611,28,3348.333,-1219019985.0,6.94444,0.718,43.43133930144276,70.78764844159053,10.213659230839708,3.869795163012739,2.6393281299385625,2.228523416538053,2.552243720640666
32267,20080719035958800.VIKR.4-10.fb1,VIKR,65.0747,-16.5135,2008-07-19 03:59:58.800,2008,201.167,65.0167,-16.6595,9.44663,2.7,-12345,-12345,157.415,13.9,15.303023,8.65574,0.09375,0.001875,40.0,5.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,62.585,0.0588052,1,9.66708469,26,3769.808,-1216439985.0,6.8662,0.718,36.83430800333176,61.9609796205119,10.778865091411106,3.7856297610437424,2.8473109553215386,2.47609080457778,3.505933284336643
32268,20070813190052900.VIKR.1-8.fb1,VIKR,65.0747,-16.5135,2007-08-13 19:00:52.900,2007,225.792,65.0158,-16.6659,9.73455,2.1,-12345,-12345,162.13,13.9,15.382161,10.773,0.09375,0.001875,39.0,3.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,56.87,0.0588052,1,10.716486,55,256607.2,-1187031985.0,6.8662,0.718,43.07484866915016,71.49435169119153,10.549885633895729,3.967146575641074,2.6593132955242296,2.362829634377306,2.6328975053859534
32269,20070729153608060.VIKR.1-8.fb1,VIKR,65.0747,-16.5135,2007-07-29 15:36:08.060,2007,210.65,65.0149,-16.6701,9.94978,2.4,-12345,-12345,82.657,13.9,15.46923,5.56639,0.1125,0.006563,17.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,65.657,0.0588052,1,4.39135742,40,517948.1,-1185722985.0,4.62472,0.718,36.83531687606572,59.24179959013696,11.358323822236802,3.9855098316385686,2.849904855853043,2.8221633943061875,3.505433842455425
32270,20070822003722880.VIKR.0.2-3.fb1,VIKR,65.0747,-16.5135,2007-08-22 00:37:22.880,2007,234.026,65.0212,-16.6829,9.96775,1.9,-12345,-12345,88.291,13.9,15.502164,6.9507,0.04,0.0075,28.0,7.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,0.2,3,60.291,0.0588052,1,5.89565325,41,2085887.0,-1187742985.0,2.67857,0.718,43.26161932984232,65.3112002884085,10.799087928588555,4.071535946321972,2.652337611889176,0.9824065267935111,2.5904849171310502
32271,20070802095106440.VIKR.2-6.fb1,VIKR,65.0747,-16.5135,2007-08-02 09:51:06.440,2007,214.41,65.0901,-16.8171,14.3819,4.5,-12345,-12345,19.749,13.9,15.566198,4.58843,0.37875,0.004687,71.0,8.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,51.251,0.0588052,1,2.5375917,40,60721.29,-1186047985.0,5.62764,0.718,34.11245829963712,80.27069243179095,15.890809642603,5.073769368259753,3.1319534825551942,7.454493869257206,4.785340155761568
32272,20080711021821000.VIKR.1-8.fb1,VIKR,65.0747,-16.5135,2008-07-11 02:18:21.000,2008,193.096,65.0292,-16.6893,9.71012,2.0,-12345,-12345,61.727,14.7,15.444942,4.61563,0.0825,0.000937,16.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,45.727,0.0588052,1,22.2357388,30,6340.831,-1215742985.0,3.95275,0.718,43.26619240658869,70.29250424879119,10.526489993416392,3.971405754291268,2.6505702626940315,2.077125998842177,2.5894507835509124
32273,20080708091746940.VIKR.2-6.fb1,VIKR,65.0747,-16.5135,2008-07-08 09:17:46.940,2008,190.387,65.0301,-16.6681,8.8162,4.7,-12345,-12345,161.273,14.7,15.596719,4.89626,0.2,0.0025,16.0,2.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,34.727,0.0588052,1,30.8003216,33,766.3027,-1215508985.0,2.80172,0.718,34.01975136574328,96.62609972695935,10.34871379955452,3.517279462305408,2.9422495171229404,5.681624047295486,4.7
32274,20080707153431940.VIKR.1-8.fb1,VIKR,65.0747,-16.5135,2008-07-07 15:34:31.940,2008,189.649,65.0212,-16.668,9.4168,2.0,-12345,-12345,70.358,13.9,15.602957,3.59185,0.30375,0.001875,-63.0,4.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,46.642,0.0588052,1,3.01038575,55,70262.95,-1215444985.0,5.27344,0.718,43.43133930144276,70.78764844159053,10.213659230839708,3.869795163012739,2.6393281299385625,7.83719980474622,2.552243720640666
32275,20080806211956720.VIKR.1-8.fb1,VIKR,65.0747,-16.5135,2008-08-06 21:19:56.720,2008,219.889,65.049,-16.5556,3.49012,3.8,-12345,-12345,92.655,14.3,15.483276,3.03407,0.11625,0.002812,27.0,4.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,65.655,0.0588052,1,6.5962472,45,10611.76,-1218057985.0,7.09546,0.718,29.801316112557632,122.78661809164028,5.210286639234275,1.995083863089455,2.6115627195570466,5.821885320113296,3.8
