,Lat,Lon,Elev,Name
0,65.05194,-16.64806,0.955,ASK
1,65.07733,-16.9367,0.801,DALR
2,65.07739,-16.93341,0.801,DDAL
3,65.04944,-16.59703,0.82,DREK
4,64.92149,-16.72847,0.705,DSAN
5,65.1055,-16.92232,0.71,DYFE
6,64.9349,-16.67546,0.688,DYSA
7,65.03358,-16.96212,0.883,EFJA
8,65.18279,-16.49796,0.728,FLAT
9,65.03704,-16.85982,1.266,GODA
10,65.05251,-16.5163,0.708,HOTR
11,65.04748,-16.52985,0.718,HOTT
12,65.15577,-16.67551,0.697,HRUR
13,65.15576,-16.67443,0.701,HRUT
14,65.07747,-16.8057,1.174,JONS
15,64.99901,-16.96539,0.885,KATT
16,65.07529,-16.75322,1.114,KLUR
17,65.15841,-16.82334,0.73,LOGR
18,65.15699,-16.82042,0.734,LOKA
19,65.15699,-16.82042,0.734,LOKAA
20,65.15699,-16.82042,0.734,LOKAS
21,65.13623,-16.91511,0.63,LOKT
22,64.9844,-16.65119,0.702,MOFO
23,65.0135,-16.81258,1.16,MVET
24,65.02023,-16.57285,0.697,NAUG
25,65.02071,-16.5733,0.692,NAUT
26,64.92377,-16.83372,0.741,NOFL
27,64.93392,-16.94952,0.826,NOHR
28,65.04225,-16.79473,1.127,OLAF
29,65.03933,-16.70164,1.209,OSKV
30,65.04696,-16.77066,1.13,OSVA
31,64.98513,-16.88639,1.022,RODG
32,64.98513,-16.88639,1.022,RODGA
33,64.98513,-16.88639,1.022,RODGS
34,64.97894,-16.83757,1.004,SOFA
35,64.94193,-16.8543,0.805,SOSU
36,64.94189,-16.85419,0.807,SSUD
37,64.99691,-16.80959,1.171,STAM
38,65.13313,-16.63144,0.721,STOR
39,65.11746,-16.57498,0.68,SVAD
40,64.93372,-16.67558,0.691,THO
41,64.91658,-16.78473,0.715,TOHR
42,64.99487,-16.53817,0.673,VADA
43,65.06619,-16.73256,1.11,VIBR
44,65.08446,-16.49346,0.696,VIFE
45,65.07474,-16.51347,0.718,VIKR
