# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9937	65.0391	339.84	0.47	0.968	12
-16.9951	65.0570	352.77	0.42	0.991	16
-16.9964	65.0749	346.27	0.46	0.998	21
-16.9977	65.0929	352.77	0.42	0.976	16
-16.9991	65.1108	1.42	0.25	0.989	39
-17.0004	65.1287	296.61	0.20	0.980	33
-17.0018	65.1467	7.71	0.97	-0.345	15
-17.0031	65.1646	296.50	0.88	0.151	7
-17.0045	65.1826	297.68	0.90	1.041	33
-17.0059	65.2005	71.67	0.65	-0.115	6
-16.9434	64.9320	65.78	0.58	0.000	2247
-16.9447	64.9500	71.17	0.57	0.000	384
-16.9460	64.9679	65.20	0.41	0.507	57
-16.9473	64.9858	334.69	0.62	0.029	33
-16.9486	65.0038	283.23	0.65	0.000	19998
-16.9500	65.0217	280.59	0.46	0.000	1479
-16.9513	65.0396	69.33	0.54	0.000	1068
-16.9526	65.0576	341.88	0.22	0.602	159
-16.9539	65.0755	57.54	0.33	0.000	758
-16.9552	65.0934	313.20	0.06	0.938	293
-16.9565	65.1114	297.72	0.12	0.941	302
-16.9578	65.1293	294.71	0.14	0.964	341
-16.9592	65.1472	75.50	0.23	0.915	385
-16.9605	65.1652	84.76	0.41	0.849	348
-16.9618	65.1831	278.69	0.30	0.980	162
-16.9631	65.2010	46.04	0.47	0.482	5
-16.9012	64.9326	35.61	0.50	0.000	109
-16.9024	64.9505	66.72	0.60	0.000	3336
-16.9037	64.9684	292.19	0.33	0.788	83
-16.9050	64.9864	276.37	0.66	0.000	2418
-16.9063	65.0043	283.86	0.67	0.000	17548
-16.9075	65.0222	272.92	0.49	0.000	2153
-16.9088	65.0402	79.65	0.49	0.000	2485
-16.9101	65.0581	73.01	0.17	0.087	1438
-16.9114	65.0761	57.22	0.34	0.000	4467
-16.9127	65.0940	77.04	0.48	0.000	945
-16.9140	65.1119	79.74	0.47	0.000	644
-16.9153	65.1299	77.20	0.44	0.000	3945
-16.9165	65.1478	88.64	0.39	0.800	349
-16.9178	65.1657	277.52	0.40	0.813	382
-16.9191	65.1837	69.76	0.71	0.918	81
-16.9204	65.2016	42.26	0.56	-0.029	6
-16.8589	64.9331	70.65	0.53	0.000	753
-16.8601	64.9510	70.59	0.53	0.000	4842
-16.8614	64.9690	73.50	0.31	0.000	2451
-16.8626	64.9869	276.32	0.70	0.000	15798
-16.8639	65.0048	283.94	0.53	0.000	18720
-16.8651	65.0228	289.17	0.19	0.025	2564
-16.8664	65.0407	280.48	0.31	0.000	3192
-16.8676	65.0587	70.39	0.32	0.000	4058
-16.8689	65.0766	59.04	0.35	0.000	4511
-16.8701	65.0945	68.02	0.39	0.000	3252
-16.8714	65.1125	67.86	0.47	0.000	4174
-16.8727	65.1304	82.53	0.45	0.000	3959
-16.8739	65.1483	6.82	0.22	0.637	337
-16.8752	65.1663	84.38	0.63	0.221	261
-16.8765	65.1842	81.91	0.34	0.989	89
-16.8777	65.2021	31.00	1.00	-13.367	1
-16.8154	64.9157	53.15	0.67	0.000	155
-16.8166	64.9336	53.36	0.66	0.000	1590
-16.8178	64.9516	70.09	0.57	0.000	6178
-16.8190	64.9695	69.89	0.61	0.000	5780
-16.8202	64.9874	30.46	0.48	0.000	11822
-16.8215	65.0054	56.62	0.59	0.000	30879
-16.8227	65.0233	316.29	0.19	0.000	4015
-16.8239	65.0412	278.00	0.32	0.000	3025
-16.8251	65.0592	71.01	0.16	0.036	4298
-16.8264	65.0771	37.76	0.15	0.000	7734
-16.8276	65.0951	68.36	0.45	0.000	6500
-16.8288	65.1130	82.73	0.43	0.000	7887
-16.8301	65.1309	67.04	0.30	0.000	4414
-16.8313	65.1489	281.57	0.40	0.000	4596
-16.8325	65.1668	68.22	0.71	0.000	657
-16.8338	65.1847	89.26	0.62	0.967	22
-16.7731	64.9162	68.58	0.52	0.000	15661
-16.7743	64.9341	68.90	0.54	0.000	25322
-16.7755	64.9521	65.00	0.52	0.000	6277
-16.7767	64.9700	68.13	0.57	0.000	7811
-16.7779	64.9879	49.91	0.37	0.000	8216
-16.7791	65.0059	56.37	0.60	0.000	53612
-16.7803	65.0238	281.21	0.17	0.000	8311
-16.7814	65.0418	44.45	0.23	0.000	3494
-16.7826	65.0597	271.25	0.06	0.097	5404
-16.7838	65.0776	31.80	0.15	0.000	11557
-16.7850	65.0956	57.98	0.49	0.000	8758
-16.7863	65.1135	78.41	0.51	0.000	10360
-16.7875	65.1314	80.38	0.55	0.000	8199
-16.7887	65.1494	82.44	0.45	0.000	3690
-16.7899	65.1673	77.86	0.84	0.000	218
-16.7911	65.1852	284.00	1.00	-0.027	8
-16.7309	64.9167	71.41	0.46	0.000	274
-16.7320	64.9346	71.31	0.35	0.000	3767
-16.7332	64.9526	69.36	0.56	0.000	21927
-16.7343	64.9705	68.25	0.60	0.000	23226
-16.7355	64.9884	63.95	0.56	0.000	15590
-16.7367	65.0064	60.20	0.58	0.000	49343
-16.7378	65.0243	272.73	0.31	0.000	20786
-16.7390	65.0423	288.35	0.04	0.676	7954
-16.7402	65.0602	298.14	0.56	0.000	12618
