# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9543	64.9364	66.35	0.58	0.000	4323
-16.9576	64.9812	283.51	0.68	0.000	26290
-16.9609	65.0260	274.53	0.43	0.000	7923
-16.9642	65.0709	63.73	0.25	0.000	3869
-16.9675	65.1157	270.14	0.22	0.000	1446
-16.9708	65.1606	275.44	0.31	0.000	1256
-16.9742	65.2054	289.93	0.39	0.000	113
-16.8486	64.9377	66.17	0.54	0.000	15271
-16.8517	64.9826	88.39	0.52	0.000	59576
-16.8548	65.0274	282.35	0.55	0.000	51791
-16.8579	65.0722	70.80	0.30	0.000	28948
-16.8611	65.1171	74.67	0.38	0.000	29941
-16.8642	65.1619	77.70	0.43	0.000	6311
-16.8674	65.2068	60.47	0.32	0.002	62
-16.7429	64.9390	68.02	0.51	0.000	76178
-16.7458	64.9838	67.39	0.54	0.000	136399
-16.7487	65.0287	83.78	0.40	0.000	142555
-16.7517	65.0735	65.54	0.31	0.000	74284
-16.7546	65.1184	73.84	0.45	0.000	45788
-16.7576	65.1632	71.63	0.41	0.000	6899
-16.6371	64.9402	42.97	0.69	0.000	40962
-16.6399	64.9850	43.93	0.55	0.000	118716
-16.6426	65.0299	61.21	0.38	0.000	407224
-16.6454	65.0747	57.48	0.32	0.000	218266
-16.6482	65.1196	270.93	0.29	0.000	51954
-16.6509	65.1644	270.05	0.33	0.000	17339
-16.6537	65.2093	78.62	0.84	0.000	16
-16.5314	64.9413	63.43	0.11	0.023	297
-16.5339	64.9862	37.10	0.53	0.000	35088
-16.5365	65.0310	64.63	0.55	0.000	177304
-16.5391	65.0759	71.14	0.56	0.000	179773
-16.5417	65.1207	68.03	0.45	0.000	175324
-16.5443	65.1656	83.73	0.44	0.000	92307
-16.5469	65.2104	280.33	0.97	0.001	8
-16.4304	65.0321	88.09	0.57	0.000	236
-16.4328	65.0769	273.24	0.59	0.000	1290
-16.4352	65.1218	275.42	0.74	0.000	827
-16.4376	65.1666	77.26	0.52	0.000	331
