# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9543	64.9364	65.86	0.58	0.000	4323
-16.9576	64.9812	283.31	0.66	0.000	26290
-16.9609	65.0260	81.57	0.45	0.000	7923
-16.9642	65.0709	57.71	0.32	0.000	3869
-16.9675	65.1157	80.25	0.46	0.000	1446
-16.9708	65.1606	271.76	0.32	0.000	1256
-16.9742	65.2054	278.22	0.35	0.000	113
-16.8486	64.9377	67.08	0.54	0.000	15271
-16.8517	64.9826	73.95	0.47	0.000	59576
-16.8548	65.0274	283.22	0.40	0.000	51791
-16.8579	65.0722	49.35	0.18	0.000	28948
-16.8611	65.1171	76.80	0.43	0.000	29941
-16.8642	65.1619	77.52	0.49	0.000	6311
-16.8674	65.2068	58.34	0.33	0.002	62
-16.7429	64.9390	68.53	0.52	0.000	76178
-16.7458	64.9838	61.60	0.56	0.000	136399
-16.7487	65.0287	74.51	0.18	0.000	142555
-16.7517	65.0735	60.40	0.22	0.000	74284
-16.7546	65.1184	75.76	0.46	0.000	45788
-16.7576	65.1632	77.18	0.41	0.000	6899
-16.6371	64.9402	43.17	0.71	0.000	40962
-16.6399	64.9850	40.60	0.55	0.000	118716
-16.6426	65.0299	80.69	0.36	0.000	407224
-16.6454	65.0747	64.04	0.37	0.000	218266
-16.6482	65.1196	89.93	0.28	0.000	51954
-16.6509	65.1644	285.65	0.34	0.000	17339
-16.6537	65.2093	78.13	0.83	0.000	16
-16.5314	64.9413	27.67	0.27	0.000	297
-16.5339	64.9862	36.07	0.56	0.000	35088
-16.5365	65.0310	65.30	0.68	0.000	177304
-16.5391	65.0759	61.95	0.50	0.000	179773
-16.5417	65.1207	55.59	0.61	0.000	175324
-16.5443	65.1656	84.43	0.46	0.000	92307
-16.5469	65.2104	279.63	0.96	0.001	8
-16.4304	65.0321	83.05	0.44	0.000	236
-16.4328	65.0769	87.52	0.55	0.000	1290
-16.4352	65.1218	276.25	0.73	0.000	827
-16.4376	65.1666	83.15	0.72	0.000	331
