# Columns: lon, lat, SWA_source_to_station_geometric_mean, num_nodes
-16.9543, 64.9364, 1.54, 4323
-16.9576, 64.9812, 1.36, 26290
-16.9609, 65.0260, 1.84, 7923
-16.9642, 65.0709, 2.31, 3869
-16.9675, 65.1157, 1.97, 1446
-16.9708, 65.1606, 1.90, 1256
-16.9742, 65.2054, 1.37, 113
-16.8486, 64.9377, 1.40, 15271
-16.8517, 64.9826, 1.49, 59576
-16.8548, 65.0274, 2.22, 51791
-16.8579, 65.0722, 3.04, 28948
-16.8611, 65.1171, 2.26, 29941
-16.8642, 65.1619, 2.24, 6311
-16.8674, 65.2068, 1.03, 62
-16.7429, 64.9390, 2.26, 76178
-16.7458, 64.9838, 1.32, 136399
-16.7487, 65.0287, 2.45, 142555
-16.7517, 65.0735, 1.95, 74284
-16.7546, 65.1184, 1.78, 45788
-16.7576, 65.1632, 1.98, 6899
-16.6371, 64.9402, 3.25, 40962
-16.6399, 64.9850, 3.40, 118716
-16.6426, 65.0299, 3.09, 407224
-16.6454, 65.0747, 2.19, 218266
-16.6482, 65.1196, 2.45, 51954
-16.6509, 65.1644, 2.47, 17339
-16.6537, 65.2093, 1.59, 16
-16.5314, 64.9413, 2.13, 297
-16.5339, 64.9862, 3.62, 35088
-16.5365, 65.0310, 3.12, 177304
-16.5391, 65.0759, 2.58, 179773
-16.5417, 65.1207, 2.46, 175324
-16.5443, 65.1656, 1.53, 92307
-16.5469, 65.2104, 4.10, 8
-16.4304, 65.0321, 1.97, 236
-16.4328, 65.0769, 2.86, 1290
-16.4352, 65.1218, 2.72, 827
-16.4376, 65.1666, 3.48, 331
