# Columns: lon, lat, SWA_source_to_station_geometric_mean, num_nodes
-16.9543, 64.9364, 1.54, 4323
-16.9576, 64.9812, 1.36, 26290
-16.9609, 65.0260, 2.14, 7923
-16.9642, 65.0709, 2.30, 3869
-16.9675, 65.1157, 1.95, 1446
-16.9708, 65.1606, 2.27, 1256
-16.9742, 65.2054, 1.77, 113
-16.8486, 64.9377, 1.39, 15271
-16.8517, 64.9826, 1.42, 59576
-16.8548, 65.0274, 3.34, 51791
-16.8579, 65.0722, 3.32, 28948
-16.8611, 65.1171, 2.29, 29941
-16.8642, 65.1619, 2.23, 6311
-16.8674, 65.2068, 0.98, 62
-16.7429, 64.9390, 2.26, 76178
-16.7458, 64.9838, 1.05, 136399
-16.7487, 65.0287, 3.50, 142555
-16.7517, 65.0735, 1.79, 74284
-16.7546, 65.1184, 1.85, 45788
-16.7576, 65.1632, 2.08, 6899
-16.6371, 64.9402, 3.25, 40962
-16.6399, 64.9850, 3.46, 118716
-16.6426, 65.0299, 3.22, 407224
-16.6454, 65.0747, 2.07, 218266
-16.6482, 65.1196, 2.57, 51954
-16.6509, 65.1644, 2.49, 17339
-16.6537, 65.2093, 1.57, 16
-16.5314, 64.9413, 2.30, 297
-16.5339, 64.9862, 3.62, 35088
-16.5365, 65.0310, 3.21, 177304
-16.5391, 65.0759, 2.82, 179773
-16.5417, 65.1207, 2.51, 175324
-16.5443, 65.1656, 1.53, 92307
-16.5469, 65.2104, 4.16, 8
-16.4304, 65.0321, 2.46, 236
-16.4328, 65.0769, 5.45, 1290
-16.4352, 65.1218, 2.91, 827
-16.4376, 65.1666, 4.10, 331
