# Columns: lon, lat, tlag_weighted_mean, num_nodes
-16.9748, 64.9271, 0.109, 769
-16.9768, 64.9540, 0.119, 7
-16.9788, 64.9809, 0.060, 2
-16.9808, 65.0078, 0.088, 10661
-16.9828, 65.0347, 0.124, 544
-16.9848, 65.0616, 0.161, 144
-16.9868, 65.0885, 0.167, 157
-16.9888, 65.1154, 0.217, 292
-16.9908, 65.1423, 0.238, 253
-16.9928, 65.1692, 0.185, 223
-16.9948, 65.1961, 0.104, 88
-16.9114, 64.9279, 0.109, 1587
-16.9133, 64.9549, 0.110, 3776
-16.9152, 64.9818, 0.121, 2526
-16.9172, 65.0087, 0.089, 28713
-16.9191, 65.0356, 0.105, 4825
-16.9210, 65.0625, 0.168, 3467
-16.9230, 65.0894, 0.127, 4345
-16.9249, 65.1163, 0.137, 1828
-16.9269, 65.1432, 0.159, 3680
-16.9288, 65.1701, 0.126, 656
-16.9308, 65.1970, 0.093, 63
-16.8480, 64.9287, 0.094, 1764
-16.8498, 64.9557, 0.087, 11750
-16.8517, 64.9826, 0.110, 24917
-16.8536, 65.0095, 0.098, 30340
-16.8554, 65.0364, 0.152, 6571
-16.8573, 65.0633, 0.136, 10257
-16.8592, 65.0902, 0.121, 10343
-16.8611, 65.1171, 0.155, 11943
-16.8629, 65.1440, 0.136, 1698
-16.8648, 65.1709, 0.130, 458
-16.8667, 65.1978, 0.115, 24
-16.7846, 64.9295, 0.131, 41717
-16.7864, 64.9564, 0.111, 14062
-16.7882, 64.9833, 0.099, 18446
-16.7900, 65.0102, 0.055, 83023
-16.7918, 65.0371, 0.156, 7878
-16.7936, 65.0640, 0.127, 16172
-16.7954, 65.0910, 0.122, 19300
-16.7972, 65.1179, 0.123, 20687
-16.7990, 65.1448, 0.119, 13288
-16.8008, 65.1717, 0.141, 774
-16.7211, 64.9303, 0.188, 4334
-16.7229, 64.9572, 0.133, 38562
-16.7246, 64.9841, 0.121, 47129
-16.7263, 65.0110, 0.073, 107318
-16.7281, 65.0379, 0.089, 29085
-16.7298, 65.0648, 0.084, 37184
-16.7316, 65.0917, 0.110, 22839
-16.7333, 65.1186, 0.103, 12528
-16.7351, 65.1455, 0.094, 5883
-16.7368, 65.1724, 0.113, 343
-16.6577, 64.9310, 0.148, 15674
-16.6594, 64.9579, 0.147, 36828
-16.6611, 64.9848, 0.104, 56943
-16.6627, 65.0117, 0.103, 167455
-16.6644, 65.0386, 0.096, 156055
-16.6661, 65.0655, 0.106, 64779
-16.6678, 65.0924, 0.142, 24769
-16.6695, 65.1193, 0.149, 20973
-16.6711, 65.1462, 0.148, 20406
-16.6728, 65.1731, 0.113, 628
-16.6745, 65.2001, 0.095, 6
-16.5943, 64.9317, 0.190, 7
-16.5959, 64.9586, 0.162, 1959
-16.5975, 64.9855, 0.131, 10125
-16.5991, 65.0124, 0.111, 66525
-16.6007, 65.0393, 0.087, 125693
-16.6023, 65.0662, 0.108, 107815
-16.6040, 65.0931, 0.118, 109140
-16.6056, 65.1200, 0.117, 57493
-16.6072, 65.1469, 0.095, 3995
-16.6088, 65.1738, 0.086, 1723
-16.6105, 65.2008, 0.058, 10
-16.5324, 64.9593, 0.105, 350
-16.5339, 64.9862, 0.130, 14924
-16.5355, 65.0131, 0.119, 24386
-16.5370, 65.0400, 0.096, 96088
-16.5386, 65.0669, 0.108, 77639
-16.5401, 65.0938, 0.106, 53194
-16.5417, 65.1207, 0.108, 47233
-16.5433, 65.1476, 0.118, 38519
-16.5448, 65.1745, 0.120, 10832
-16.5464, 65.2014, 0.075, 3
-16.4704, 64.9868, 0.089, 35
-16.4719, 65.0137, 0.089, 1236
-16.4733, 65.0406, 0.094, 5544
-16.4748, 65.0675, 0.108, 10877
-16.4763, 65.0944, 0.113, 13576
-16.4778, 65.1213, 0.094, 12042
-16.4793, 65.1483, 0.088, 21162
-16.4808, 65.1752, 0.105, 40616
-16.4823, 65.2021, 0.096, 5
