# Columns: lon, lat, tlag_weighted_mean, num_nodes
-16.9543, 64.9364, 0.109, 4323
-16.9576, 64.9812, 0.088, 26290
-16.9609, 65.0260, 0.122, 7923
-16.9642, 65.0709, 0.131, 3869
-16.9675, 65.1157, 0.127, 1446
-16.9708, 65.1606, 0.168, 1256
-16.9742, 65.2054, 0.115, 113
-16.8486, 64.9377, 0.091, 15271
-16.8517, 64.9826, 0.075, 59576
-16.8548, 65.0274, 0.151, 51791
-16.8579, 65.0722, 0.124, 28948
-16.8611, 65.1171, 0.159, 29941
-16.8642, 65.1619, 0.127, 6311
-16.8674, 65.2068, 0.091, 62
-16.7429, 64.9390, 0.134, 76178
-16.7458, 64.9838, 0.051, 136399
-16.7487, 65.0287, 0.081, 142555
-16.7517, 65.0735, 0.080, 74284
-16.7546, 65.1184, 0.114, 45788
-16.7576, 65.1632, 0.124, 6899
-16.6371, 64.9402, 0.147, 40962
-16.6399, 64.9850, 0.100, 118716
-16.6426, 65.0299, 0.090, 407224
-16.6454, 65.0747, 0.096, 218266
-16.6482, 65.1196, 0.146, 51954
-16.6509, 65.1644, 0.147, 17339
-16.6537, 65.2093, 0.071, 16
-16.5314, 64.9413, 0.103, 297
-16.5339, 64.9862, 0.130, 35088
-16.5365, 65.0310, 0.096, 177304
-16.5391, 65.0759, 0.112, 179773
-16.5417, 65.1207, 0.116, 175324
-16.5443, 65.1656, 0.105, 92307
-16.5469, 65.2104, 0.093, 8
-16.4304, 65.0321, 0.085, 236
-16.4328, 65.0769, 0.102, 1290
-16.4352, 65.1218, 0.108, 827
-16.4376, 65.1666, 0.087, 331
