# @VGMT1.0 @GMULTILINESTRING
# @R-16.8742535489/-16.657581527/65.0095091627/65.1158027901              
# @Je4326
# @Jp"+proj=longlat +datum=WGS84 +no_defs "
# @Jw"GEOGCS[\"WGS 84\",DATUM[\"WGS_1984\",SPHEROID[\"WGS 84\",6378137,298.257223563,AUTHORITY[\"EPSG\",\"7030\"]],AUTHORITY[\"EPSG\",\"6326\"]],PRIMEM[\"Greenwich\",0,AUTHORITY[\"EPSG\",\"8901\"]],UNIT[\"degree\",0.0174532925199433,AUTHORITY[\"EPSG\",\"9122\"]],AUTHORITY[\"EPSG\",\"4326\"]]"
# @Nid
# @Tinteger
# FEATURE_DATA
>
# @D1
-16.662730035096253 65.070660914451992
-16.661078813320934 65.073579154601148
-16.660188563165246 65.07577326558561
-16.658872278215139 65.078843921555105
-16.657581527032963 65.081620565931473
-16.657710407070731 65.084125002401862
-16.659181843730686 65.087239223394178
-16.659336726409869 65.089449657763737
-16.66150589317575 65.09257474216065
-16.663068503872228 65.094659925677945
-16.666336120847046 65.097213245744655
-16.668996975261646 65.098726650318554
-16.675081240628874 65.101029134329309
-16.682276825005662 65.10261254597134
-16.691255401534921 65.103781472750768
-16.696474341276598 65.104008948872433
-16.701693370096596 65.104236243388229
-16.707273931189 65.104321687527673
-16.713291670490634 65.10338322001499
-16.719682921550184 65.10215580818074
-16.725401200088914 65.100623532866933
-16.730346223968297 65.099962511060937
>
# @D1
-16.70531299791984 65.037905640908562
-16.711101606501089 65.039466324548087
-16.713771832990627 65.040831942982351
-16.71649263244581 65.041609492776843
-16.720966040953364 65.042266507634821
-16.722257609675971 65.043463754267563
-16.72419517991128 65.045259602918279
-16.727637822678162 65.045753525274563
-16.732137181218729 65.046116193738129
-16.737718152382861 65.046053499308243
-16.740875323280534 65.045806819484127
-16.745747736244265 65.045880319718847
-16.750980595314282 65.045811885971716
-16.756610881446917 65.045160455097843
-16.760128128773363 65.044771579304665
-16.76605677169378 65.044713038616976
-16.770617867568546 65.044339504003659
